,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,135000,82350,0.61,0.61,0.61,0.61,0.01,3
1,2024-09-03,135000,82150,0.61,0.61,0.57,0.57,-0.04,3
2,2024-09-04,0,0,,,,,0.0,0
3,2024-09-05,0,0,,,,,0.0,0
4,2024-09-06,34000,17000,0.5,0.5,0.5,0.5,0.0,1
5,2024-09-09,130000,64000,0.49,0.52,0.49,0.52,0.02,4
6,2024-09-10,124000,64420,0.52,0.52,0.51,0.51,-0.01,3
7,2024-09-11,0,0,,,,,0.0,0
8,2024-09-12,155000,85600,0.53,0.57,0.53,0.56,0.0,4
9,2024-09-13,175000,93950,0.54,0.54,0.53,0.53,-0.03,3
10,2024-09-16,55000,28600,0.52,0.52,0.52,0.52,-0.01,1
11,2024-09-18,60000,29400,0.49,0.49,0.49,0.49,-0.03,2
12,2024-09-19,55000,26400,0.48,0.48,0.48,0.48,-0.01,1
13,2024-09-20,112000,56000,0.5,0.5,0.5,0.5,0.02,2
14,2024-09-23,190000,85500,0.46,0.46,0.44,0.44,-0.06,5
15,2024-09-24,176000,76260,0.45,0.45,0.43,0.43,-0.01,4
16,2024-09-25,284000,136540,0.47,0.52,0.47,0.5,0.07,8
17,2024-09-26,270000,133720,0.49,0.5,0.48,0.48,-0.02,5
18,2024-09-27,230000,115560,0.49,0.54,0.49,0.54,0.06,7
19,2024-09-30,50000,24500,0.49,0.49,0.49,0.49,-0.05,1
20,2024-10-01,136000,62560,0.46,0.46,0.46,0.46,-0.03,2
21,2024-10-04,136000,62560,0.46,0.46,0.46,0.46,0.0,2
22,2024-10-07,0,0,,,,,0.0,0
23,2024-10-08,136000,61200,0.45,0.45,0.45,0.45,0.0,2
24,2024-10-09,333000,171280,0.49,0.58,0.49,0.58,0.13,11
25,2024-10-11,394000,236790,0.6,0.61,0.59,0.59,0.01,13
26,2024-10-14,512000,296290,0.56,0.6,0.56,0.56,-0.03,14
27,2024-10-15,443000,268000,0.61,0.61,0.59,0.6,0.04,20
28,2024-10-16,270000,166960,0.57,0.65,0.57,0.65,0.05,7
29,2024-10-17,589000,387980,0.65,0.67,0.65,0.66,0.01,7
30,2024-10-18,398000,232770,0.59,0.59,0.57,0.59,-0.07,8
31,2024-10-21,380000,228850,0.6,0.62,0.6,0.62,0.03,12
32,2024-10-22,59000,39970,0.68,0.68,0.67,0.67,0.05,2
33,2024-10-23,88000,58960,0.66,0.68,0.66,0.68,0.01,2
34,2024-10-24,44000,28160,0.64,0.64,0.64,0.64,-0.04,1
35,2024-10-25,0,0,,,,,0.0,0
36,2024-10-28,136000,78880,0.58,0.58,0.58,0.58,0.0,2
37,2024-10-29,126000,70560,0.56,0.56,0.56,0.56,-0.02,1
38,2024-10-30,0,0,,,,,0.0,0
39,2024-11-01,250000,132500,0.53,0.53,0.53,0.53,0.0,2
40,2024-11-04,395000,220800,0.54,0.57,0.54,0.57,0.04,3
41,2024-11-05,395000,228050,0.57,0.59,0.57,0.59,0.02,3
42,2024-11-06,308000,188580,0.61,0.67,0.61,0.67,0.08,5
43,2024-11-07,73000,47620,0.63,0.7,0.63,0.67,0.0,5
44,2024-11-08,53000,35730,0.67,0.68,0.67,0.67,0.0,3
45,2024-11-11,161000,93860,0.61,0.61,0.57,0.58,-0.09,4
46,2024-11-12,377000,217450,0.58,0.58,0.57,0.57,-0.01,3
47,2024-11-13,522000,292120,0.56,0.56,0.54,0.54,-0.03,5
48,2024-11-14,643000,329180,0.53,0.53,0.5,0.5,-0.04,3
49,2024-11-15,0,0,,,,,0.0,0
50,2024-11-18,0,0,,,,,0.0,0
51,2024-11-19,20000,10430,0.52,0.53,0.52,0.53,0.0,2
52,2024-11-20,68000,34060,0.52,0.52,0.5,0.5,-0.03,2
53,2024-11-21,195000,98150,0.49,0.51,0.49,0.51,0.01,3
54,2024-11-22,241000,127540,0.52,0.54,0.52,0.54,0.03,5
55,2024-11-25,128000,68610,0.54,0.54,0.51,0.51,-0.03,3
56,2024-11-26,9000,4590,0.51,0.51,0.51,0.51,0.0,1
57,2024-11-27,9000,4320,0.48,0.48,0.48,0.48,-0.03,1
58,2024-11-28,0,0,,,,,0.0,0
59,2024-11-29,0,0,,,,,0.0,0
60,2024-12-02,0,0,,,,,0.0,0
61,2024-12-03,136000,70720,0.52,0.52,0.52,0.52,0.0,2
62,2024-12-04,214000,102720,0.48,0.48,0.48,0.48,-0.04,4
63,2024-12-05,165000,79880,0.48,0.49,0.48,0.49,0.01,3
64,2024-12-06,250000,121990,0.47,0.5,0.47,0.5,0.01,5
65,2024-12-09,163000,74580,0.46,0.46,0.42,0.42,-0.08,4
66,2024-12-10,0,0,,,,,0.0,0
67,2024-12-11,142000,52540,0.37,0.37,0.37,0.37,0.0,2
68,2024-12-12,172000,63640,0.37,0.37,0.37,0.37,0.0,3
69,2024-12-13,0,0,,,,,0.0,0
70,2024-12-16,76000,26600,0.35,0.35,0.35,0.35,0.0,1
71,2024-12-17,238000,72160,0.31,0.31,0.3,0.3,-0.05,4
72,2024-12-18,316000,99600,0.31,0.32,0.31,0.32,0.02,5
73,2024-12-19,243000,80050,0.31,0.35,0.31,0.35,0.03,4
74,2024-12-20,235000,79900,0.34,0.34,0.34,0.34,-0.01,3
75,2024-12-23,234000,79560,0.34,0.34,0.34,0.34,0.0,3
76,2024-12-24,234000,81120,0.35,0.35,0.34,0.34,0.0,3
77,2024-12-25,156000,49920,0.32,0.32,0.32,0.32,-0.02,2
78,2024-12-26,0,0,,,,,0.0,0
79,2024-12-27,0,0,,,,,0.0,0
80,2024-12-30,20000,5600,0.28,0.28,0.28,0.28,0.0,1
81,2024-12-31,0,0,,,,,0.0,0
82,2025-01-02,0,0,,,,,0.0,0
83,2025-01-03,0,0,,,,,0.0,0
84,2025-01-06,85000,26250,0.3,0.31,0.3,0.31,0.0,2
85,2025-01-07,421000,140100,0.33,0.35,0.32,0.35,0.04,5
86,2025-01-08,146000,46720,0.32,0.32,0.32,0.32,-0.03,2
87,2025-01-09,410000,137400,0.34,0.34,0.33,0.33,0.01,3
88,2025-01-10,410000,132200,0.32,0.33,0.32,0.32,-0.01,4
89,2025-01-13,0,0,,,,,0.0,0
90,2025-01-14,0,0,,,,,0.0,0
91,2025-01-15,210000,46500,0.25,0.25,0.22,0.22,0.0,2
92,2025-01-16,0,0,,,,,0.0,0
93,2025-01-17,10000,2200,0.22,0.22,0.22,0.22,0.0,1
94,2025-01-20,20000,5000,0.25,0.25,0.25,0.25,0.03,1
95,2025-01-21,0,0,,,,,0.0,0
96,2025-01-22,20000,4800,0.24,0.24,0.24,0.24,0.0,1
97,2025-02-03,20000,2800,0.14,0.14,0.14,0.14,-0.1,1
98,2025-02-04,0,0,,,,,0.0,0
99,2025-02-05,140000,17200,0.12,0.13,0.12,0.13,0.0,3
100,2025-02-06,0,0,,,,,0.0,0
101,2025-02-07,0,0,,,,,0.0,0
102,2025-02-10,20000,3000,0.15,0.15,0.15,0.15,0.0,1
103,2025-02-11,0,0,,,,,0.0,0
104,2025-02-12,0,0,,,,,0.0,0
105,2025-02-13,0,0,,,,,0.0,0
106,2025-02-14,0,0,,,,,0.0,0
107,2025-02-17,40000,6400,0.16,0.16,0.16,0.16,0.0,2
108,2025-02-18,110000,17800,0.16,0.17,0.16,0.17,0.01,5
109,2025-02-19,20000,3400,0.17,0.17,0.17,0.17,0.0,2
110,2025-02-20,0,0,,,,,0.0,0
111,2025-02-21,0,0,,,,,0.0,0
112,2025-02-24,0,0,,,,,0.0,0
113,2025-02-25,0,0,,,,,0.0,0
114,2025-02-26,0,0,,,,,0.0,0
