,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,4413542,146709455,33.45,33.45,33.1,33.25,0.05,2098
1,2024-09-03,6231118,205923685,33.15,33.3,32.9,32.9,-0.35,2751
2,2024-09-04,21735254,693655849,31.6,32.35,31.0,31.95,-0.95,8820
3,2024-09-05,9298007,299842638,32.3,32.7,32.0,32.0,0.05,4400
4,2024-09-06,10373900,337186353,32.05,32.75,31.75,32.75,0.75,4084
5,2024-09-09,16422081,537557410,31.95,33.4,31.9,33.1,0.35,6042
6,2024-09-10,8894251,293171777,33.4,33.4,32.65,32.65,-0.45,5473
7,2024-09-11,8481592,278206766,32.6,33.1,32.6,32.6,-0.05,3908
8,2024-09-12,11701689,391616989,33.3,33.65,33.0,33.6,1.0,5464
9,2024-09-13,8986493,302657159,33.8,33.85,33.35,33.85,0.25,4662
10,2024-09-16,10565889,359522571,33.9,34.2,33.7,34.15,0.3,4778
11,2024-09-18,14739229,483168083,34.2,34.2,33.05,33.3,-0.85,8345
12,2024-09-19,13124059,442362764,33.45,34.1,33.0,33.75,0.45,5549
13,2024-09-20,26132018,878355268,33.9,34.1,33.5,33.5,-0.25,4530
14,2024-09-23,7350976,246162724,33.85,33.85,33.4,33.4,-0.1,3016
15,2024-09-24,10010609,338376548,33.35,33.95,33.35,33.85,0.45,3557
16,2024-09-25,14614953,495539191,34.15,34.15,33.6,33.9,0.05,6004
17,2024-09-26,12897925,432201903,34.0,34.1,33.3,33.3,-0.6,4662
18,2024-09-27,5747135,193240278,33.4,33.8,33.4,33.5,0.2,2783
19,2024-09-30,13409668,448520617,33.6,33.75,33.3,33.3,-0.2,4307
20,2024-10-01,25766403,881877330,33.6,34.5,33.5,34.5,1.2,8856
21,2024-10-04,27690008,953083653,34.25,35.2,33.75,33.95,-0.55,9777
22,2024-10-07,8631251,293959982,34.1,34.3,33.8,34.2,0.25,4578
23,2024-10-08,11361860,385473351,34.0,34.15,33.75,33.95,-0.25,4036
24,2024-10-09,13804572,476853370,34.3,34.85,34.2,34.5,0.55,6399
25,2024-10-11,14258417,496195671,34.75,34.95,34.4,34.9,0.4,6410
26,2024-10-14,11417856,395625161,35.05,35.1,34.35,34.75,-0.15,5138
27,2024-10-15,16813062,589767431,34.9,35.3,34.8,35.1,0.35,6621
28,2024-10-16,11930697,416115062,34.6,35.0,34.5,35.0,-0.1,5770
29,2024-10-17,18541786,658376811,35.35,35.85,35.25,35.5,0.5,7579
30,2024-10-18,15570199,555991234,35.6,35.95,35.5,35.5,0.0,7475
31,2024-10-21,13504220,484161131,35.7,36.0,35.6,36.0,0.5,6693
32,2024-10-22,17493670,631768016,36.15,36.25,35.7,36.2,0.2,7225
33,2024-10-23,9705891,348685169,36.05,36.1,35.85,35.85,-0.35,4398
34,2024-10-24,11327072,406180478,35.75,36.0,35.65,35.8,-0.05,4056
35,2024-10-25,10498918,379185810,35.95,36.2,35.9,36.2,0.4,4923
36,2024-10-28,11960471,433369497,36.35,36.4,36.05,36.3,0.1,5717
37,2024-10-29,14457631,519092747,36.1,36.2,35.5,36.0,-0.3,5863
38,2024-10-30,11482085,411811419,36.3,36.3,35.7,35.85,-0.15,4321
39,2024-11-01,19502448,694917237,34.3,36.2,34.25,36.1,0.25,7582
40,2024-11-04,9715348,351081912,36.0,36.3,35.85,36.05,-0.05,4591
41,2024-11-05,14109980,511612628,36.05,36.4,35.9,36.4,0.35,6291
42,2024-11-06,17798791,649969483,36.4,37.2,36.05,36.2,-0.2,10570
43,2024-11-07,62173402,2351160344,35.95,38.45,35.95,38.15,1.95,23990
44,2024-11-08,37416650,1410159455,38.1,38.45,37.1,37.55,-0.6,18522
45,2024-11-11,15625236,585885727,37.8,37.85,37.15,37.5,-0.05,8584
46,2024-11-12,28644218,1058716353,37.25,37.35,36.65,36.85,-0.65,10618
47,2024-11-13,98871455,3791030479,37.8,39.4,37.4,37.85,1.0,42038
48,2024-11-14,54927332,2096502461,38.2,38.65,37.65,38.1,0.25,20996
