,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,3526346,376645003,107.5,108.0,106.0,107.0,0.0,2513
1,2024-09-03,7537431,794219390,106.5,107.0,104.5,105.0,-2.0,4720
2,2024-09-04,11546853,1170235828,100.5,103.5,99.2,100.5,-4.5,7236
3,2024-09-05,7407463,754389506,102.5,103.0,101.0,101.5,1.0,3970
4,2024-09-06,5279577,538093363,101.5,103.0,100.5,102.0,0.5,3934
5,2024-09-09,6687368,675693271,100.0,102.5,100.0,101.5,-0.5,4218
6,2024-09-10,12990486,1287698196,101.5,102.5,96.7,96.7,-4.8,9707
7,2024-09-11,7985747,784830021,95.5,99.6,95.5,99.6,2.9,4656
8,2024-09-12,7165190,725775535,101.0,102.0,100.5,101.5,1.9,4449
9,2024-09-13,7052332,710695163,102.0,102.0,100.0,101.5,0.0,4834
10,2024-09-16,2479553,250851326,101.5,101.5,100.5,101.5,0.0,2068
11,2024-09-18,8138094,821935944,101.5,102.5,99.8,100.5,-1.0,4445
12,2024-09-19,10639532,1071572805,100.5,102.0,99.5,100.5,0.0,4369
13,2024-09-20,20940396,2081970877,100.5,102.0,98.7,98.7,-1.8,5005
14,2024-09-23,8177878,808872663,100.0,100.0,98.0,98.6,-0.1,6625
15,2024-09-24,8918302,887219778,98.7,100.5,98.7,99.6,1.0,4607
16,2024-09-25,10471013,1056067612,100.5,102.0,100.0,100.5,0.9,4681
17,2024-09-26,7733610,776723975,101.5,102.0,99.5,100.0,-0.5,3655
18,2024-09-27,7827698,786853298,101.0,101.5,100.0,100.0,0.0,3320
19,2024-09-30,5663492,567435430,100.5,101.0,99.5,99.5,-0.5,3706
20,2024-10-01,5761377,582580234,100.0,102.0,100.0,101.5,2.0,3020
21,2024-10-04,7680509,771716160,100.5,101.5,99.8,99.8,-1.7,4502
22,2024-10-07,5401276,545345089,100.5,101.5,100.5,101.0,1.2,3053
23,2024-10-08,6682372,666818932,100.5,100.5,99.0,99.7,-1.3,4170
24,2024-10-09,5742920,580150761,100.0,102.0,100.0,100.5,0.8,3617
25,2024-10-11,3814498,384339363,100.5,101.5,100.0,100.5,0.0,2663
26,2024-10-14,3557513,360712879,101.0,102.0,100.5,101.5,1.0,2211
27,2024-10-15,5793962,590595196,102.0,103.0,101.0,101.5,0.0,3554
28,2024-10-16,7051063,717671847,101.0,102.5,101.0,101.5,0.0,4032
29,2024-10-17,10147600,1055375547,102.0,105.0,102.0,104.5,3.0,6385
