,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,162109,11613173,72.4,72.4,71.4,71.4,-1.0,193
1,2024-09-03,337939,24538357,71.5,73.9,71.0,71.4,0.0,369
2,2024-09-04,799995,53870543,69.2,69.2,65.7,66.8,-4.6,1098
3,2024-09-05,488865,33126754,67.5,69.8,66.3,66.4,-0.4,593
4,2024-09-06,303360,20136502,66.8,67.2,65.8,66.1,-0.3,364
5,2024-09-09,353709,23078377,64.2,66.1,64.2,66.0,-0.1,381
6,2024-09-10,449733,29283479,66.0,66.5,63.7,65.1,-0.9,522
7,2024-09-11,130971,8500688,65.3,65.5,64.5,64.7,-0.4,286
8,2024-09-12,209796,13842451,67.0,67.0,65.3,65.7,1.0,208
9,2024-09-13,143559,9560937,66.2,67.3,65.7,67.0,1.3,198
10,2024-09-16,248350,16986780,67.9,69.0,67.5,68.9,1.9,251
11,2024-09-18,261357,17895119,69.3,69.7,67.3,67.4,-1.5,562
12,2024-09-19,168871,11581669,66.7,69.3,66.7,69.0,1.6,207
13,2024-09-20,228938,15901143,69.8,70.3,68.9,69.4,0.4,504
14,2024-09-23,178835,12447628,70.6,70.9,68.9,69.0,-0.4,379
15,2024-09-24,112083,7706427,69.0,69.5,68.3,68.9,-0.1,296
16,2024-09-25,227385,15888177,68.9,70.2,68.9,70.0,1.1,360
17,2024-09-26,175981,12286067,70.0,70.5,69.2,69.2,-0.8,604
18,2024-09-27,213862,14949730,70.1,70.7,69.3,69.6,0.4,211
19,2024-09-30,216197,15075371,70.0,70.2,68.8,69.6,0.0,362
20,2024-10-01,119279,8194673,70.1,70.1,68.1,68.5,-1.1,166
21,2024-10-04,192964,13010121,68.7,68.7,67.0,67.4,-1.1,230
22,2024-10-07,178555,12193581,68.1,69.0,67.9,68.4,1.0,144
23,2024-10-08,188655,12655523,68.8,68.8,66.5,67.0,-1.4,204
24,2024-10-09,156464,10484792,67.5,68.4,66.4,66.4,-0.6,164
25,2024-10-11,119151,7924985,67.1,67.2,66.1,66.5,0.1,214
26,2024-10-14,189728,12639489,66.9,67.5,65.8,67.5,1.0,173
27,2024-10-15,215484,14671103,67.5,68.7,67.5,68.0,0.5,319
28,2024-10-16,304731,20740698,68.0,69.0,67.2,69.0,1.0,565
29,2024-10-17,384203,26892117,69.9,70.5,69.4,70.1,1.1,376
30,2024-10-18,254943,17944161,70.5,70.8,69.6,70.3,0.2,404
31,2024-10-21,215402,15262275,70.9,71.3,70.2,71.2,0.9,237
32,2024-10-22,275719,19626678,71.5,72.0,70.5,71.4,0.2,600
33,2024-10-23,270654,19368673,71.0,72.5,70.9,71.3,-0.1,584
34,2024-10-24,218640,15580943,71.6,72.0,70.5,70.8,-0.5,404
35,2024-10-25,176509,12439954,70.9,71.1,70.0,70.7,-0.1,312
36,2024-10-28,280793,19603686,71.3,71.3,68.7,69.6,-1.1,505
37,2024-10-29,229353,15768272,69.2,69.9,68.0,68.5,-1.1,278
38,2024-10-30,393681,27767601,68.8,71.8,68.8,69.5,1.0,802
39,2024-11-01,981181,70290229,71.3,73.8,67.9,73.0,3.5,1181
40,2024-11-04,303650,21861330,73.5,73.5,71.4,71.5,-1.5,921
41,2024-11-05,382917,27869143,72.1,74.4,71.5,72.2,0.7,756
42,2024-11-06,124421,8984979,72.2,72.8,71.8,72.2,0.0,547
43,2024-11-07,202706,14662433,71.7,72.9,71.7,72.5,0.3,340
44,2024-11-08,412324,29216316,72.6,73.0,70.0,70.0,-2.5,1022
45,2024-11-11,209149,14643136,70.9,70.9,69.2,70.7,0.7,212
46,2024-11-12,322873,22244086,69.5,70.6,68.3,68.5,-2.2,524
47,2024-11-13,269919,18824350,68.2,71.0,68.2,69.8,1.3,331
