,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,885047,259435722,295.0,297.0,290.0,290.0,-2.5,1478
1,2024-09-03,887312,259595845,291.0,295.0,289.5,292.0,2.0,1552
2,2024-09-04,3074021,837660535,277.0,279.0,267.0,267.0,-25.0,4234
3,2024-09-05,1679281,455878295,273.0,275.5,268.0,268.0,1.0,1848
4,2024-09-06,1704576,457615705,270.5,273.0,266.5,267.0,-1.0,2266
5,2024-09-09,1282148,342166747,257.0,272.0,257.0,271.5,4.5,1740
6,2024-09-10,3162591,878499427,274.0,283.5,269.5,273.0,1.5,3995
7,2024-09-11,1236485,336068122,275.0,277.0,269.5,270.5,-2.5,3880
8,2024-09-12,2149886,602152414,277.5,284.5,274.5,283.5,13.0,4099
9,2024-09-13,1341847,376109288,283.5,284.5,277.0,281.0,-2.5,2134
10,2024-09-16,563737,157823315,283.0,284.0,277.5,277.5,-3.5,2513
11,2024-09-18,661189,181767495,278.0,280.0,272.0,272.0,-5.5,7331
12,2024-09-19,828696,231292153,275.5,281.0,275.0,280.5,8.5,1646
13,2024-09-20,727382,205233010,285.0,285.5,279.5,281.5,1.0,1091
14,2024-09-23,630219,176898168,284.0,284.5,278.5,279.0,-2.5,2930
15,2024-09-24,548122,153134899,279.5,282.0,276.5,280.5,1.5,4451
16,2024-09-25,1453455,411443199,284.0,286.0,280.0,280.0,-0.5,5298
17,2024-09-26,1075503,301091693,283.0,283.0,277.5,278.5,-1.5,3539
18,2024-09-27,1520965,423405495,281.5,286.0,273.0,275.0,-3.5,1812
19,2024-09-30,1969256,527867336,273.0,274.0,265.5,265.5,-9.5,3593
20,2024-10-01,2092434,554081104,269.0,269.0,260.0,264.0,-1.5,2356
21,2024-10-04,1239118,323325588,266.0,267.5,258.0,258.5,-5.5,1918
22,2024-10-07,815108,215482830,262.0,266.5,262.0,265.5,7.0,937
23,2024-10-08,1466116,389884168,268.0,269.5,263.0,266.0,0.5,1493
24,2024-10-09,1109556,295501981,269.5,270.5,261.5,261.5,-4.5,1335
25,2024-10-11,670772,176378729,264.5,266.0,261.5,261.5,0.0,815
26,2024-10-14,4479504,1243751691,263.0,282.5,263.0,278.5,17.0,5191
27,2024-10-15,3580893,1008411534,279.0,287.5,275.0,287.0,8.5,7487
28,2024-10-16,4238456,1234728002,283.0,298.0,281.5,289.5,2.5,6919
29,2024-10-17,3724033,1089782865,296.0,298.0,284.5,294.5,5.0,7192
30,2024-10-18,3087282,912844493,298.0,302.0,288.0,291.5,-3.0,13532
31,2024-10-21,1408559,411387542,295.5,297.0,289.5,290.5,-1.0,4408
32,2024-10-22,2007826,586187880,293.0,297.0,288.0,292.5,2.0,11473
33,2024-10-23,4120138,1232871976,292.0,302.0,292.0,301.0,8.5,5087
34,2024-10-24,2660739,797496359,303.0,306.0,295.0,295.0,-6.0,7462
35,2024-10-25,799654,235123087,296.0,297.5,292.5,292.5,-2.5,3554
36,2024-10-28,857829,247680825,294.5,295.0,286.0,287.0,-5.5,6703
37,2024-10-29,1204253,338663231,286.0,286.0,278.0,281.5,-5.5,10805
38,2024-10-30,627793,177462891,282.0,286.0,279.0,284.0,2.5,2774
39,2024-11-01,938989,267694774,278.0,288.0,277.0,287.0,3.0,4434
40,2024-11-04,543289,154309109,289.0,289.0,282.0,283.0,-4.0,3269
41,2024-11-05,936254,262856456,280.5,286.0,278.0,279.0,-4.0,12730
42,2024-11-06,603899,171950131,281.5,287.0,281.5,283.0,4.0,4490
43,2024-11-07,1576472,460407220,283.0,297.0,282.5,295.0,12.0,7337
44,2024-11-08,2152615,623246380,291.0,292.5,286.5,290.0,-5.0,6231
45,2024-11-11,8468216,2639343985,296.5,319.0,293.5,316.5,26.5,8396
46,2024-11-12,5053551,1582042648,312.0,321.0,306.0,307.5,-9.0,6974
47,2024-11-13,3904566,1221361657,310.0,316.0,308.0,312.5,5.0,5107
48,2024-11-14,2033789,629812972,312.0,315.5,306.0,306.5,-6.0,9418
49,2024-11-15,1763890,529849628,309.5,309.5,295.5,297.0,-9.5,15656
50,2024-11-18,1007746,296387020,297.0,298.0,291.0,291.0,-6.0,2181
51,2024-11-19,1530887,443667351,289.0,293.5,286.5,288.0,-3.0,2407
52,2024-11-20,1324707,385098144,291.5,296.0,287.5,293.0,5.0,1429
53,2024-11-21,821570,240739700,293.0,296.0,291.0,291.0,-2.0,993
54,2024-11-22,1186607,354339982,295.5,302.0,295.0,298.0,7.0,1488
