,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,7340793,240745515,32.9,32.95,32.7,32.75,-0.2,4806
1,2024-09-03,16950458,548943492,32.75,32.75,32.15,32.15,-0.6,12167
2,2024-09-04,25818848,817361810,31.55,31.85,31.4,31.75,-0.4,13403
3,2024-09-05,10363295,328523717,31.75,31.95,31.55,31.55,-0.2,6664
4,2024-09-06,8398998,266392248,31.55,31.9,31.4,31.75,0.2,4474
5,2024-09-09,13168926,415230608,31.3,31.85,31.3,31.55,-0.2,6728
6,2024-09-10,7294130,230148274,31.55,31.8,31.45,31.45,-0.1,4386
7,2024-09-11,8281773,260288138,31.5,31.6,31.3,31.3,-0.15,4583
8,2024-09-12,9277899,291846804,31.55,31.55,31.2,31.5,0.2,4267
9,2024-09-13,10086881,320138176,31.5,31.95,31.5,31.8,0.3,3654
10,2024-09-16,10363072,333505307,32.0,32.35,31.95,32.2,0.4,4551
11,2024-09-18,6508592,209043799,32.2,32.25,31.95,32.1,-0.1,5087
12,2024-09-19,9255450,297257495,32.05,32.3,31.9,32.2,0.1,4536
13,2024-09-20,11362138,366119468,32.25,32.3,32.05,32.3,0.1,4452
14,2024-09-23,9536951,307250300,32.3,32.4,32.1,32.2,-0.1,4092
15,2024-09-24,6829797,219592720,32.15,32.3,32.0,32.25,0.05,3576
16,2024-09-25,14309719,465470171,32.45,32.75,32.3,32.75,0.5,6201
17,2024-09-26,9979334,325609481,32.95,32.95,32.5,32.6,-0.15,6707
18,2024-09-27,26808523,885782844,32.9,33.3,32.7,33.3,0.7,8864
19,2024-09-30,41315092,1398220322,33.5,34.2,33.45,33.8,0.5,16946
20,2024-10-01,15831917,532617470,33.9,33.9,33.45,33.7,-0.1,6956
21,2024-10-04,17712471,596808647,33.5,34.0,33.5,33.8,0.1,6948
22,2024-10-07,13191324,441683619,33.8,33.85,33.3,33.5,-0.3,10491
23,2024-10-08,14236524,471260374,33.25,33.45,32.9,33.05,-0.45,7639
24,2024-10-09,11396786,372196772,32.9,32.95,32.45,32.45,-0.6,6161
25,2024-10-11,9445221,308338612,32.75,33.0,32.4,32.5,0.05,4901
26,2024-10-14,6059012,197231957,32.55,32.7,32.45,32.55,0.05,3392
27,2024-10-15,8102874,263725318,32.6,32.7,32.45,32.5,-0.05,4319
28,2024-10-16,10435147,336585907,32.5,32.5,32.15,32.15,-0.35,5901
29,2024-10-17,7485003,242802759,32.2,32.6,32.2,32.5,0.35,3773
30,2024-10-18,10399259,339352425,32.6,32.75,32.2,32.75,0.25,4767
31,2024-10-21,9212412,298831474,32.9,32.9,32.3,32.3,-0.45,6781
32,2024-10-22,7879493,253198664,32.2,32.25,32.0,32.15,-0.15,4529
33,2024-10-23,9427404,302950218,32.15,32.2,32.0,32.2,0.05,3961
34,2024-10-24,7638176,244591275,32.1,32.2,31.95,32.0,-0.2,4342
35,2024-10-25,4918977,157533530,32.05,32.1,31.95,32.05,0.05,3051
36,2024-10-28,6389435,204869800,32.05,32.15,31.9,32.15,0.1,3443
37,2024-10-29,11917118,380624371,32.1,32.15,31.75,32.1,-0.05,6091
38,2024-10-30,6170296,197703326,32.1,32.15,31.95,31.95,-0.15,2831
39,2024-11-01,15523104,495545944,31.7,32.2,31.7,32.1,0.15,7390
40,2024-11-04,10838367,350960430,32.05,32.5,32.0,32.45,0.35,4438
41,2024-11-05,7579945,246001414,32.45,32.55,32.3,32.55,0.1,4463
42,2024-11-06,6635440,213646010,32.3,32.5,32.0,32.05,-0.5,4779
43,2024-11-07,8858869,283552115,31.9,32.2,31.9,31.95,-0.1,4532
44,2024-11-08,5782501,185189940,32.0,32.25,31.9,31.9,-0.05,3109
45,2024-11-11,8687599,278898704,32.0,32.35,31.85,32.25,0.35,3761
46,2024-11-12,23133880,751879456,32.7,32.75,32.2,32.45,0.2,8988
47,2024-11-13,18234486,592768469,32.25,32.75,32.2,32.45,0.0,8068
48,2024-11-14,16628243,540191091,32.45,32.65,32.3,32.35,-0.1,6504
49,2024-11-15,29762494,985479880,32.6,33.35,32.55,33.15,0.8,10618
50,2024-11-18,19396963,648534611,33.25,33.7,33.15,33.25,0.1,9277
51,2024-11-19,13475094,451487388,33.5,33.6,33.4,33.5,0.25,5787
52,2024-11-20,13091743,437933277,33.5,33.55,33.3,33.5,0.0,6707
53,2024-11-21,10004871,332898763,33.3,33.4,33.1,33.2,-0.3,4558
54,2024-11-22,7604258,253438044,33.25,33.5,33.15,33.35,0.15,3511
55,2024-11-25,43141500,1461822890,33.9,34.2,33.6,33.9,0.55,12776
56,2024-11-26,13835070,469352937,33.75,34.1,33.7,33.8,-0.1,6556
57,2024-11-27,9759509,328247368,33.9,34.0,33.4,33.4,-0.4,6265
58,2024-11-28,11774034,395310230,33.5,33.9,33.4,33.4,0.0,5431
59,2024-11-29,15250114,510166688,33.3,33.75,33.05,33.5,0.1,5736
60,2024-12-02,10476900,350853624,33.6,33.85,33.3,33.3,-0.2,5885
61,2024-12-03,12935083,434932495,33.25,33.8,33.25,33.8,0.5,4911
62,2024-12-04,10581865,357118006,33.85,34.0,33.6,33.8,0.0,3952
63,2024-12-05,7320912,246193003,33.8,33.9,33.5,33.6,-0.2,4166
64,2024-12-06,4995779,167754329,33.6,33.7,33.45,33.7,0.1,3902
65,2024-12-09,6516645,219571178,33.8,33.85,33.55,33.55,-0.15,4275
66,2024-12-10,11409182,378718520,33.55,33.6,33.0,33.15,-0.4,8455
67,2024-12-11,14176693,474266488,33.4,33.75,33.25,33.3,0.15,7015
