,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,19272593,18270058260,950.0,955.0,943.0,948.0,4.0,31642
1,2024-09-03,23205623,21908471541,948.0,952.0,939.0,940.0,-8.0,47139
2,2024-09-04,93169835,83424133824,894.0,905.0,888.0,889.0,-51.0,393210
3,2024-09-05,34147890,30998595394,907.0,915.0,900.0,902.0,13.0,63902
4,2024-09-06,28248063,25786016936,909.0,918.0,903.0,918.0,16.0,38415
5,2024-09-09,38448946,34456838126,892.0,900.0,891.0,899.0,-19.0,102365
6,2024-09-10,34312646,31067424234,907.0,911.0,901.0,904.0,5.0,45141
7,2024-09-11,19513256,17621000956,906.0,906.0,900.0,901.0,-3.0,30789
8,2024-09-12,43749260,40999951508,936.0,944.0,928.0,940.0,0.0,80643
9,2024-09-13,28307441,26795862243,955.0,955.0,939.0,947.0,7.0,39071
10,2024-09-16,14456888,13692259575,952.0,952.0,943.0,947.0,0.0,26421
11,2024-09-18,30094662,28303054525,945.0,948.0,933.0,941.0,-6.0,46622
12,2024-09-19,35254383,33482773635,940.0,960.0,936.0,960.0,19.0,53494
13,2024-09-20,66762167,65105344444,981.0,982.0,971.0,973.0,13.0,67911
14,2024-09-23,15399658,15013916758,971.0,977.0,971.0,977.0,4.0,26106
15,2024-09-24,29324170,28726805585,976.0,987.0,971.0,987.0,10.0,63433
16,2024-09-25,43039991,43053012337,1000.0,1005.0,998.0,1005.0,18.0,82005
17,2024-09-26,43341810,43835515361,1010.0,1015.0,1005.0,1015.0,10.0,78670
18,2024-09-27,37665070,38074974690,1020.0,1025.0,1000.0,1000.0,-15.0,52093
19,2024-09-30,66874949,65017701862,978.0,990.0,957.0,957.0,-43.0,166934
20,2024-10-01,27877267,27093881327,967.0,977.0,967.0,972.0,15.0,37862
21,2024-10-04,43765757,42845984122,986.0,986.0,967.0,977.0,5.0,43935
22,2024-10-07,43850831,43905376215,993.0,1010.0,989.0,1005.0,28.0,79851
23,2024-10-08,35344059,35503172585,1000.0,1010.0,997.0,1010.0,5.0,42227
24,2024-10-09,53208610,54663169800,1030.0,1035.0,1020.0,1020.0,10.0,80835
25,2024-10-11,47776351,49706577415,1025.0,1050.0,1020.0,1045.0,25.0,89915
26,2024-10-14,39906157,41745442865,1045.0,1055.0,1035.0,1045.0,0.0,49228
27,2024-10-15,52066470,55504081569,1050.0,1075.0,1050.0,1070.0,25.0,88895
28,2024-10-16,60312846,63228552464,1040.0,1070.0,1035.0,1045.0,-25.0,69585
29,2024-10-17,56618332,58862054838,1050.0,1055.0,1030.0,1035.0,-10.0,58589
30,2024-10-18,91036335,99230303460,1095.0,1100.0,1075.0,1085.0,50.0,132797
31,2024-10-21,42094031,45813114865,1090.0,1095.0,1080.0,1085.0,0.0,43553
32,2024-10-22,43740591,46707090730,1065.0,1075.0,1060.0,1075.0,-10.0,56089
33,2024-10-23,32895421,34912308143,1060.0,1070.0,1055.0,1060.0,-15.0,40549
34,2024-10-24,40791484,43477824029,1070.0,1075.0,1055.0,1060.0,0.0,42113
35,2024-10-25,23347890,24867260319,1065.0,1070.0,1060.0,1065.0,5.0,25884
36,2024-10-28,41665065,44216316045,1075.0,1080.0,1050.0,1050.0,-15.0,55098
37,2024-10-29,48097705,49680152085,1035.0,1040.0,1020.0,1040.0,-10.0,93617
38,2024-10-30,40765247,42368799669,1040.0,1055.0,1030.0,1030.0,-10.0,46750
39,2024-11-01,61545741,62269386415,996.0,1030.0,996.0,1025.0,-5.0,77404
40,2024-11-04,28225506,29263376605,1030.0,1045.0,1025.0,1040.0,15.0,33492
41,2024-11-05,33407780,34851674542,1030.0,1055.0,1030.0,1050.0,10.0,28872
42,2024-11-06,59404980,63110184620,1050.0,1080.0,1040.0,1060.0,10.0,58611
43,2024-11-07,46030563,48979606039,1050.0,1075.0,1050.0,1065.0,5.0,41583
44,2024-11-08,38840413,42224017162,1085.0,1090.0,1080.0,1090.0,25.0,58203
45,2024-11-11,36630666,39467913757,1080.0,1090.0,1070.0,1085.0,-5.0,48859
46,2024-11-12,54098799,57135037210,1060.0,1065.0,1050.0,1050.0,-35.0,92756
47,2024-11-13,46420969,48395649023,1045.0,1050.0,1035.0,1035.0,-15.0,75428
48,2024-11-14,49328914,50864201443,1030.0,1040.0,1025.0,1035.0,0.0,62545
49,2024-11-15,37405855,38824519360,1040.0,1045.0,1030.0,1035.0,0.0,38669
50,2024-11-18,33583180,34422999050,1030.0,1035.0,1020.0,1025.0,-10.0,56311
51,2024-11-19,25497606,26433399155,1030.0,1045.0,1025.0,1040.0,15.0,26315
52,2024-11-20,40203197,41541948790,1045.0,1050.0,1020.0,1025.0,-15.0,53280
53,2024-11-21,44679981,45374625920,1020.0,1025.0,1010.0,1010.0,-15.0,67481
54,2024-11-22,32509453,33754431973,1035.0,1050.0,1035.0,1040.0,30.0,28859
55,2024-11-25,54443912,56293841760,1045.0,1050.0,1030.0,1030.0,-10.0,34710
56,2024-11-26,31309332,31750783325,1015.0,1020.0,1010.0,1010.0,-20.0,79568
57,2024-11-27,34602143,34822499480,1010.0,1020.0,1000.0,1000.0,-10.0,111382
58,2024-11-28,37166049,37181706464,1005.0,1005.0,992.0,1005.0,5.0,82426
59,2024-11-29,43621329,43637043385,995.0,1010.0,994.0,996.0,-9.0,47567
60,2024-12-02,33333423,34325585125,1020.0,1040.0,1015.0,1035.0,39.0,42112
61,2024-12-03,48632084,51509603939,1060.0,1065.0,1055.0,1055.0,20.0,55988
62,2024-12-04,35431584,37738286825,1065.0,1070.0,1055.0,1070.0,15.0,45553
63,2024-12-05,41293183,44420331699,1070.0,1080.0,1070.0,1075.0,5.0,51311
64,2024-12-06,32090124,34306935479,1075.0,1080.0,1060.0,1065.0,-10.0,33697
65,2024-12-09,30255281,32409791931,1070.0,1075.0,1065.0,1075.0,10.0,25230
66,2024-12-10,32359253,34496134808,1070.0,1075.0,1060.0,1065.0,-10.0,31326
67,2024-12-11,26948940,28278772503,1045.0,1060.0,1045.0,1045.0,-20.0,47194
68,2024-12-12,26574460,28185087817,1060.0,1065.0,1055.0,1060.0,0.0,25096
69,2024-12-13,24329785,25873117992,1060.0,1070.0,1055.0,1065.0,5.0,25787
70,2024-12-16,43679921,47253709874,1085.0,1085.0,1075.0,1085.0,20.0,53568
71,2024-12-17,40033595,43428037809,1090.0,1095.0,1075.0,1075.0,-10.0,42830
72,2024-12-18,47331164,51170937776,1075.0,1090.0,1070.0,1085.0,10.0,40248
73,2024-12-19,46126529,49061396399,1065.0,1070.0,1055.0,1070.0,-15.0,62146
74,2024-12-20,56392109,58923043065,1060.0,1060.0,1035.0,1035.0,-35.0,85875
75,2024-12-23,32800319,35200907996,1065.0,1080.0,1060.0,1080.0,45.0,39942
76,2024-12-24,30069757,32689957470,1095.0,1095.0,1080.0,1080.0,0.0,36423
77,2024-12-25,16186220,17591123835,1090.0,1090.0,1080.0,1085.0,5.0,28032
78,2024-12-26,15017636,16328335510,1085.0,1090.0,1085.0,1085.0,0.0,23380
