,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,7413924,2930876894,405.0,405.0,392.0,394.5,-5.0,6906
1,2024-09-03,6066872,2390909808,394.5,397.0,392.0,392.5,-2.0,5660
2,2024-09-04,13226059,4932389359,372.5,379.0,364.0,372.0,-20.5,19108
3,2024-09-05,8221395,3079740903,375.0,381.0,368.5,369.0,-3.0,9490
4,2024-09-06,7832985,2930851663,370.5,377.0,369.0,375.5,6.5,6058
5,2024-09-09,9876385,3578522122,359.0,366.0,358.5,362.5,-13.0,13221
6,2024-09-10,7432986,2740976967,366.5,371.5,365.5,369.0,6.5,6731
7,2024-09-11,8514514,3099968272,365.0,369.0,360.5,364.5,-4.5,7909
8,2024-09-12,9317959,3586272820,377.0,389.5,376.0,389.0,24.5,10463
9,2024-09-13,4880751,1883460583,392.5,392.5,382.0,385.0,-4.0,5738
10,2024-09-16,4104019,1577292676,385.0,389.0,381.0,385.5,0.5,3968
11,2024-09-18,9165277,3489755635,381.0,385.0,376.5,380.0,-5.5,7338
12,2024-09-19,7321703,2841151137,382.5,391.5,382.5,391.5,11.5,7012
13,2024-09-20,9377882,3656363310,395.0,397.5,387.0,387.0,-4.5,7437
14,2024-09-23,5102479,1997787898,392.5,393.5,389.0,390.5,3.5,4436
15,2024-09-24,3933449,1546680723,390.5,397.0,387.0,397.0,6.5,4926
16,2024-09-25,8739750,3482627343,395.0,401.5,395.0,398.0,1.0,9129
17,2024-09-26,7688086,3052648330,394.0,399.0,394.0,396.0,-2.0,7114
18,2024-09-27,10223004,4098055175,398.0,404.0,397.5,400.0,4.0,8959
19,2024-09-30,8858681,3422312606,389.5,395.0,380.5,380.5,-19.5,11650
20,2024-10-01,5988958,2295918032,379.5,388.0,379.5,384.5,4.0,5757
21,2024-10-04,19998727,7389963712,372.0,376.5,366.0,366.0,-18.5,26214
22,2024-10-07,16223402,5987231615,371.5,377.5,363.5,372.5,6.5,15544
23,2024-10-08,10805050,4068450479,371.0,382.0,370.0,382.0,9.5,8893
24,2024-10-09,9432998,3610184958,387.0,387.5,379.0,381.5,-0.5,8296
25,2024-10-11,5922762,2263075134,381.0,386.5,378.5,380.0,-1.5,6434
26,2024-10-14,6674065,2570270159,376.5,389.0,376.5,387.5,7.5,6964
27,2024-10-15,12290154,4870930660,388.0,400.5,387.5,398.5,11.0,13202
28,2024-10-16,9668211,3772628219,393.0,396.0,387.0,389.0,-9.5,11932
29,2024-10-17,7042283,2745195850,394.5,394.5,385.5,392.0,3.0,5626
30,2024-10-18,13313219,5337898325,397.0,405.0,395.0,402.0,10.0,13790
31,2024-10-21,5461118,2187650911,403.0,404.0,397.5,400.0,-2.0,6040
