,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,3942667,409376326,103.0,104.5,102.5,103.5,1.0,2109
1,2024-09-03,4539727,474889345,104.5,106.0,103.5,104.0,0.5,2463
2,2024-09-04,12331874,1221989678,98.8,101.0,96.4,98.5,-5.5,7175
3,2024-09-05,4911654,493312703,100.5,102.0,99.5,99.9,1.4,2749
4,2024-09-06,4560496,455971758,99.5,101.0,99.0,100.0,0.1,2135
5,2024-09-09,4500945,444968284,96.0,100.5,96.0,100.0,0.0,2487
6,2024-09-10,3769979,374792928,100.5,101.0,98.8,98.8,-1.2,2725
7,2024-09-11,3808748,380215481,99.4,100.0,99.0,100.0,1.2,1930
8,2024-09-12,5570283,561954343,102.0,102.0,99.8,100.5,0.5,3339
9,2024-09-13,5187036,521298430,100.5,101.5,99.6,101.0,0.5,2055
10,2024-09-16,3259601,330585010,100.5,102.0,100.5,101.5,0.5,1660
11,2024-09-18,8539405,857516396,101.0,103.0,101.0,103.0,1.5,3005
12,2024-09-19,7939455,811457856,102.5,105.0,102.0,103.5,0.5,2755
13,2024-09-20,10163480,1041729576,103.5,105.0,102.5,103.0,-0.5,2968
14,2024-09-23,5307448,545230649,103.5,103.5,102.0,102.5,-0.5,2187
15,2024-09-24,6317667,649312602,102.0,103.5,101.5,103.0,0.5,2565
16,2024-09-25,8129989,840769709,103.5,104.0,103.0,103.0,0.0,3466
17,2024-09-26,6849304,709473178,103.5,104.5,102.5,103.0,0.0,3539
18,2024-09-27,4801969,498774705,104.0,104.5,103.0,104.0,1.0,2206
19,2024-09-30,3872698,400987179,104.0,104.5,103.0,103.0,-1.0,1812
20,2024-10-01,4516540,468994091,103.5,104.5,102.5,104.5,1.5,2035
21,2024-10-04,5747508,587725960,103.0,104.0,101.5,102.0,-2.5,3446
22,2024-10-07,4827237,491555173,102.5,102.5,101.0,102.5,0.5,2854
23,2024-10-08,6444848,644319589,101.0,101.5,99.6,99.8,-2.7,3407
24,2024-10-09,4517070,454847660,101.0,101.5,100.0,100.5,0.7,2543
25,2024-10-11,3743571,380603642,100.5,102.5,100.5,102.5,2.0,2325
26,2024-10-14,3026144,307295687,102.5,103.0,100.5,102.0,-0.5,1729
27,2024-10-15,7197950,747900467,102.5,105.0,102.0,104.0,2.0,3975
28,2024-10-16,5514023,573194517,102.5,104.5,102.5,104.5,0.5,3037
29,2024-10-17,3838341,401074858,104.0,105.0,104.0,105.0,0.5,2593
30,2024-10-18,4251837,444691330,105.0,106.0,104.0,104.0,-1.0,2472
31,2024-10-21,4049044,421650057,105.0,105.0,103.5,104.0,0.0,2468
