,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,1647026,79804679,49.6,49.6,47.8,47.9,-0.5,1255
1,2024-09-03,4427661,217234316,48.1,50.3,47.8,47.8,-0.1,3198
2,2024-09-04,2608949,117357128,44.05,46.25,43.45,44.7,-3.1,2482
3,2024-09-05,1524868,69380397,45.1,46.5,44.7,44.8,0.1,1233
4,2024-09-06,1208058,53756204,44.8,45.5,44.15,44.35,-0.45,1000
5,2024-09-09,1292834,55930065,42.5,43.9,42.5,43.9,-0.45,909
6,2024-09-10,2103490,89617671,44.25,44.65,41.6,42.1,-1.8,1582
7,2024-09-11,730162,30537290,42.1,42.25,41.55,41.65,-0.45,681
8,2024-09-12,1243006,53467677,42.4,43.5,42.4,43.2,1.55,1009
9,2024-09-13,1497649,64993773,44.1,44.3,42.75,43.25,0.05,1329
10,2024-09-16,4632555,210861114,43.85,46.65,43.65,44.6,1.35,3103
11,2024-09-18,1097527,48702660,44.9,45.05,43.75,43.75,-0.85,1030
12,2024-09-19,767093,34013457,43.85,44.8,43.75,44.75,1.0,736
13,2024-09-20,839871,37505974,45.0,45.4,44.0,44.15,-0.6,1020
14,2024-09-23,587299,25833533,44.35,44.55,43.8,43.8,-0.35,902
15,2024-09-24,4965269,227087504,44.45,46.5,44.3,46.4,2.6,3862
16,2024-09-25,3147293,146731601,46.6,47.45,46.1,46.15,-0.25,3053
17,2024-09-26,1256319,57961275,46.65,46.8,45.7,45.8,-0.35,1420
18,2024-09-27,2268384,105088518,46.2,47.25,45.55,45.6,-0.2,2390
19,2024-09-30,1116708,50018438,45.5,45.8,44.35,44.5,-1.1,1311
20,2024-10-01,924628,40988746,44.8,44.9,43.8,44.6,0.1,712
21,2024-10-04,1045264,45498892,44.6,45.0,43.0,43.05,-1.55,907
22,2024-10-07,974280,42373098,43.65,43.95,43.1,43.1,0.05,749
23,2024-10-08,1198334,50841142,43.05,43.05,42.0,42.65,-0.45,830
24,2024-10-09,1163040,49109345,43.05,43.2,41.75,41.75,-0.9,971
25,2024-10-11,718176,30080136,42.05,42.4,41.7,41.7,-0.05,563
26,2024-10-14,571605,23885174,42.0,42.3,41.3,41.9,0.2,533
27,2024-10-15,1339290,56096212,42.2,42.8,41.2,41.35,-0.55,988
28,2024-10-16,1063353,44490435,41.25,42.25,41.1,41.85,0.5,708
29,2024-10-17,2096669,90892600,42.15,43.8,42.1,43.4,1.55,1624
30,2024-10-18,1062619,45468607,43.7,43.75,42.1,42.1,-1.3,912
31,2024-10-21,591750,25192153,42.2,42.85,42.2,42.5,0.4,442
32,2024-10-22,694666,29768570,42.55,43.45,42.2,42.9,0.4,971
33,2024-10-23,609189,26009678,43.0,43.35,42.3,42.45,-0.45,536
34,2024-10-24,742279,31270873,42.45,42.9,41.55,41.6,-0.85,845
35,2024-10-25,465130,19342739,41.95,42.2,41.4,41.4,-0.2,409
36,2024-10-28,845372,34469141,41.5,41.55,40.4,40.7,-0.7,765
37,2024-10-29,652225,26249082,40.7,40.7,39.85,40.3,-0.4,574
38,2024-10-30,499684,20149467,40.55,40.95,39.8,40.05,-0.25,425
39,2024-11-01,531814,21431889,39.55,40.8,39.3,40.8,0.75,390
40,2024-11-04,442598,17743860,40.9,40.9,39.85,39.9,-0.9,829
41,2024-11-05,571089,23412052,39.9,41.75,39.9,40.4,0.5,667
42,2024-11-06,363877,14699996,40.9,40.9,40.15,40.15,-0.25,362
43,2024-11-07,787244,32360535,40.7,41.5,40.7,41.25,1.1,580
44,2024-11-08,611368,24931199,41.65,41.65,40.3,40.55,-0.7,822
45,2024-11-11,328665,13301384,40.55,40.8,40.2,40.5,-0.05,352
46,2024-11-12,686692,27155684,39.95,40.0,39.15,39.7,-0.8,701
47,2024-11-13,629452,24904115,40.0,40.2,39.2,39.6,-0.1,438
48,2024-11-14,455088,17778657,39.6,39.7,38.8,38.8,-0.8,454
49,2024-11-15,409442,16235083,38.85,40.0,38.85,39.7,0.9,402
50,2024-11-18,325984,12688350,39.55,39.7,38.6,38.65,-1.05,567
51,2024-11-19,327731,12870314,38.85,39.55,38.85,39.35,0.7,294
52,2024-11-20,234677,9155027,39.45,39.45,38.8,39.05,-0.3,351
53,2024-11-21,309204,12004912,38.9,39.1,38.5,38.9,-0.15,347
54,2024-11-22,427063,16903783,39.35,40.35,39.1,39.1,0.2,377
55,2024-11-25,605081,24352328,39.75,41.15,39.45,40.3,1.2,502
56,2024-11-26,4843567,204890808,41.55,43.4,41.45,41.45,1.15,3543
57,2024-11-27,2949560,124889758,42.4,43.4,41.45,41.65,0.2,2349
58,2024-11-28,1140870,46429894,41.35,41.45,40.0,40.8,-0.85,1248
59,2024-11-29,510456,20693046,40.1,41.1,39.7,41.1,0.3,432
60,2024-12-02,527660,21610665,41.15,41.55,40.6,40.6,-0.5,680
61,2024-12-03,296486,12096700,40.65,41.25,40.55,40.8,0.2,287
62,2024-12-04,350861,14312221,40.8,41.05,40.45,40.95,0.15,319
63,2024-12-05,395993,16161486,41.05,41.4,40.55,40.55,-0.4,454
64,2024-12-06,306009,12401109,40.7,41.2,40.2,40.5,-0.05,303
65,2024-12-09,392923,15735136,40.3,40.35,39.85,40.0,-0.5,372
66,2024-12-10,329180,13153847,40.05,40.45,39.8,40.0,0.0,242
67,2024-12-11,395407,16001919,41.25,41.25,40.15,40.3,0.3,307
68,2024-12-12,4842873,208244624,40.5,44.2,40.5,42.95,2.65,3684
69,2024-12-13,2229887,94707214,43.05,43.5,41.75,42.1,-0.85,2140
70,2024-12-16,2340589,99775767,42.25,43.4,41.55,42.3,0.2,1995
71,2024-12-17,8723550,390783065,42.6,46.0,42.6,45.0,2.7,6716
72,2024-12-18,2535929,112006182,44.3,44.6,43.75,44.2,-0.8,3176
73,2024-12-19,15692154,731683640,43.35,48.25,42.75,47.6,3.4,11221
74,2024-12-20,21443361,1039521642,47.15,50.0,46.8,47.15,-0.45,16196
75,2024-12-23,10865403,522767899,47.0,49.5,46.3,48.3,1.15,7975
76,2024-12-24,8964587,435047427,49.0,49.4,47.1,49.1,0.8,5689
77,2024-12-25,20042912,1027042495,51.7,52.6,50.2,50.5,1.4,13576
78,2024-12-26,6947982,338507486,50.5,50.5,47.5,47.65,-2.85,5063
79,2024-12-27,4467361,213901687,47.8,48.8,47.0,47.4,-0.25,3646
80,2024-12-30,14343837,721696918,48.4,51.8,48.4,49.8,2.4,9619
81,2024-12-31,4326140,214559753,49.05,50.3,49.05,49.85,0.05,4109
82,2025-01-02,3326787,163852657,49.85,50.0,48.6,49.4,-0.45,2715
83,2025-01-03,3998893,191970584,49.4,49.8,46.55,46.9,-2.5,3949
84,2025-01-06,2179881,104057177,47.5,48.55,46.7,48.45,1.55,2003
85,2025-01-07,7477158,369273142,48.8,50.9,47.7,47.7,-0.75,6457
86,2025-01-08,3699008,179347238,47.7,49.3,47.4,48.55,0.85,3038
87,2025-01-09,2920054,137327437,48.6,48.6,46.0,46.1,-2.45,2740
88,2025-01-10,2102925,98021950,46.1,47.5,45.85,46.35,0.25,2072
89,2025-01-13,1958855,86952340,46.35,46.35,43.55,44.35,-2.0,2197
90,2025-01-14,2025798,92239211,45.05,47.2,43.85,47.0,2.65,1856
91,2025-01-15,2240393,102085750,45.5,46.45,44.9,44.95,-2.05,2180
92,2025-01-16,4470138,210629793,46.5,48.2,45.85,47.7,2.75,3788
93,2025-01-17,6469159,309369607,48.1,48.5,47.1,47.8,0.1,5596
94,2025-01-20,2580022,123093416,47.7,48.3,47.15,47.8,0.0,2479
95,2025-01-21,1433619,67746645,47.8,48.0,46.85,47.1,-0.7,1425
96,2025-01-22,5665529,274281929,47.95,49.2,47.8,48.1,1.0,4059
97,2025-02-03,1946557,92825382,46.0,48.6,46.0,48.55,0.45,1882
98,2025-02-04,7634103,379432691,48.75,51.0,48.4,49.3,0.75,6116
99,2025-02-05,6217987,312134303,49.7,50.8,49.4,50.1,0.8,5319
100,2025-02-06,4207359,209601184,49.65,50.6,49.15,49.9,-0.2,3706
101,2025-02-07,7259078,367648130,49.7,51.7,49.65,51.1,1.2,5434
102,2025-02-10,6235809,316142919,51.0,51.7,49.95,50.3,-0.8,4788
103,2025-02-11,8678651,442457749,50.6,51.8,50.0,50.5,0.2,5622
