,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,4275518,186531373,44.0,44.05,43.45,43.5,-0.25,2759
1,2024-09-03,5813148,253563080,43.5,43.8,43.4,43.55,0.05,2927
2,2024-09-04,22483604,929318734,41.5,42.1,40.0,41.5,-2.05,11474
3,2024-09-05,18169899,751702561,42.1,42.2,40.8,40.8,-0.7,8195
4,2024-09-06,18358348,767507526,41.0,42.5,40.8,42.1,1.3,7853
5,2024-09-09,13096257,539855253,41.0,41.75,40.8,41.75,-0.35,7546
6,2024-09-10,14471147,600689285,41.65,42.15,40.95,41.0,-0.75,6133
7,2024-09-11,11981595,487523927,41.05,41.25,40.5,40.5,-0.5,6835
8,2024-09-12,20390754,847785796,41.25,41.9,41.25,41.55,1.05,8399
9,2024-09-13,8650849,362121444,41.75,42.15,41.55,41.85,0.3,4107
10,2024-09-16,4332763,180911660,41.85,41.95,41.65,41.7,-0.15,3355
11,2024-09-18,10486619,429241083,41.9,41.95,41.3,41.3,-0.4,4619
12,2024-09-19,15406316,648876062,41.55,42.5,41.55,42.15,0.85,6199
13,2024-09-20,19815325,838113488,42.3,42.8,42.1,42.1,-0.05,7482
14,2024-09-23,10568002,443500427,42.45,42.5,41.8,41.8,-0.3,4834
15,2024-09-24,11910865,498995094,41.65,42.0,41.65,42.0,0.2,5045
16,2024-09-25,17324607,730563832,42.2,42.6,42.0,42.0,0.0,6513
17,2024-09-26,13262785,558887272,42.45,42.8,41.8,41.85,-0.15,5016
18,2024-09-27,17225408,721590824,42.2,42.3,41.65,41.65,-0.2,6794
19,2024-09-30,15931372,657405858,41.65,41.95,40.8,40.8,-0.85,8724
20,2024-10-01,28119551,1181595979,41.25,42.6,41.05,42.25,1.45,11467
21,2024-10-04,26543982,1097517384,41.75,42.1,40.65,40.65,-1.6,14009
22,2024-10-07,21878041,887300176,40.85,40.95,40.3,40.6,-0.05,11059
23,2024-10-08,19959173,801210297,40.6,40.9,39.9,40.0,-0.6,9835
24,2024-10-09,12620168,508514753,40.4,40.7,40.0,40.0,0.0,7147
25,2024-10-11,20253390,833232968,40.35,41.45,40.3,41.25,1.25,11239
26,2024-10-14,7157695,293862060,41.0,41.25,40.9,41.05,-0.2,4476
27,2024-10-15,9610152,398328905,41.3,41.65,41.15,41.55,0.5,5014
28,2024-10-16,18777586,773604272,41.05,41.4,41.0,41.2,-0.35,6309
29,2024-10-17,12756809,535741590,41.25,42.35,41.25,42.35,1.15,7622
30,2024-10-18,12420872,523802449,42.6,42.7,41.85,41.85,-0.5,7082
31,2024-10-21,9941959,415737636,42.2,42.45,41.6,41.65,-0.2,5232
32,2024-10-22,9754820,409083211,41.9,42.2,41.6,42.1,0.45,4513
33,2024-10-23,5552599,232113257,42.1,42.15,41.65,41.65,-0.45,3828
34,2024-10-24,6715653,277682173,41.5,41.65,41.2,41.2,-0.45,3561
35,2024-10-25,4828258,199482608,41.35,41.65,41.2,41.3,0.1,3339
36,2024-10-28,6564591,269631725,41.5,41.85,40.85,40.95,-0.35,3841
37,2024-10-29,10005233,405709183,41.0,41.0,40.3,40.75,-0.2,5053
38,2024-10-30,10532768,427434926,41.05,41.4,40.2,40.45,-0.3,5389
39,2024-11-01,18826616,748698710,39.9,40.2,39.25,40.05,-0.4,9340
40,2024-11-04,7196186,288754798,40.05,40.3,39.9,40.1,0.05,3526
41,2024-11-05,10492398,424646481,40.05,40.95,40.0,40.95,0.85,5051
42,2024-11-06,14223662,589471981,41.15,41.9,41.1,41.1,0.15,6856
43,2024-11-07,11031904,458512181,40.8,41.95,40.75,41.9,0.8,6343
44,2024-11-08,25269450,1036369582,42.05,42.1,40.35,40.4,-1.5,13315
45,2024-11-11,24888433,987133269,40.0,40.15,39.35,39.6,-0.8,12165
46,2024-11-12,21920689,847847375,39.2,39.25,38.4,38.4,-1.2,13245
47,2024-11-13,13232708,507673096,38.15,38.8,38.05,38.25,-0.15,9407
48,2024-11-14,18381574,695387933,38.2,38.45,37.5,37.55,-0.7,9936
49,2024-11-15,9713291,369386699,37.65,38.45,37.65,38.0,0.45,5487
50,2024-11-18,11298807,428938415,38.0,38.55,37.65,37.65,-0.35,6257
51,2024-11-19,10064802,382924864,37.75,38.35,37.7,38.0,0.35,5313
52,2024-11-20,11277849,427450065,38.05,38.25,37.7,37.8,-0.2,7181
53,2024-11-21,19163044,713373571,37.65,37.65,37.05,37.15,-0.65,10208
54,2024-11-22,10003753,373078355,37.45,37.65,37.05,37.05,-0.1,6485
55,2024-11-25,21828744,828252267,37.4,38.1,37.4,38.1,1.05,5997
56,2024-11-26,13174491,506776348,38.0,38.8,37.7,38.75,0.65,6811
57,2024-11-27,15402789,588015270,38.65,38.75,37.9,37.9,-0.85,6903
58,2024-11-28,9486587,358547408,37.95,38.1,37.6,37.75,-0.15,5359
59,2024-11-29,8856944,334705062,37.5,38.15,37.3,37.85,0.1,4253
60,2024-12-02,8319979,319573482,38.05,38.55,38.05,38.45,0.6,4196
61,2024-12-03,14689857,564533070,38.85,38.95,38.15,38.25,-0.2,9160
62,2024-12-04,11155127,427268214,38.15,38.65,38.05,38.65,0.4,6016
63,2024-12-05,8372583,321617131,38.5,38.6,38.3,38.3,-0.35,4679
64,2024-12-06,8832989,340738421,38.45,38.85,38.25,38.55,0.25,3868
65,2024-12-09,18383693,725462366,38.7,39.9,38.7,39.5,0.95,9692
66,2024-12-10,16862891,665810629,40.05,40.25,39.0,39.0,-0.5,8091
67,2024-12-11,9550090,372016357,38.9,39.4,38.65,38.65,-0.35,4553
68,2024-12-12,9356278,359633411,39.0,39.1,38.15,38.15,-0.5,5030
69,2024-12-13,24266469,900530000,37.5,37.55,36.85,36.85,-1.3,11488
70,2024-12-16,11077547,410152560,36.9,37.55,36.6,36.7,-0.15,6513
71,2024-12-17,13212349,483950256,36.7,37.1,36.45,36.45,-0.25,5944
72,2024-12-18,11699300,437431580,36.5,37.7,36.5,37.6,1.15,6454
73,2024-12-19,8520619,315569314,36.8,37.3,36.7,37.15,-0.45,6491
74,2024-12-20,13252961,494859420,37.05,37.65,36.9,37.2,0.05,5861
75,2024-12-23,11098862,420635777,37.8,38.0,37.55,38.0,0.8,4436
76,2024-12-24,13522358,519617104,38.2,38.7,38.2,38.3,0.3,6168
77,2024-12-25,13851752,538830853,38.6,39.05,38.4,39.0,0.7,6297
78,2024-12-26,10383715,403211088,39.2,39.35,38.6,38.6,-0.4,5546
79,2024-12-27,5475601,211066554,38.6,38.8,38.1,38.6,0.0,3696
80,2024-12-30,27156505,1064562060,38.4,39.5,38.0,39.4,0.8,10974
81,2024-12-31,32660666,1298323930,39.3,40.3,38.9,39.8,0.4,14303
82,2025-01-02,33326063,1335973869,39.65,40.95,39.05,40.95,1.15,16520
83,2025-01-03,22036996,874931045,40.6,40.6,39.0,39.0,-1.95,18164
84,2025-01-06,10317501,403984803,39.3,39.65,38.85,38.85,-0.15,6237
85,2025-01-07,12996573,500317747,39.1,39.1,38.2,38.2,-0.65,6375
86,2025-01-08,7551684,290273348,38.2,38.7,38.15,38.3,0.1,3798
87,2025-01-09,9446840,357092281,38.3,38.45,37.35,37.4,-0.9,6013
88,2025-01-10,8851894,330617697,37.25,37.9,37.05,37.15,-0.25,4972
89,2025-01-13,13309249,484903893,37.0,37.05,36.1,36.3,-0.85,7230
90,2025-01-14,6768136,247124798,36.6,36.8,36.25,36.7,0.4,3955
91,2025-01-15,7813047,288547899,36.85,37.2,36.7,36.8,0.1,4338
92,2025-01-16,11394675,426411376,37.55,38.1,37.0,37.0,0.2,6280
93,2025-01-17,8767138,329735411,37.2,37.9,36.9,37.55,0.55,4915
94,2025-01-20,5389629,202145408,37.65,37.85,37.35,37.4,-0.15,3260
95,2025-01-21,5394545,203233011,37.6,37.9,37.4,37.55,0.15,3024
96,2025-01-22,10043573,375318716,37.55,37.7,37.2,37.2,-0.35,5749
97,2025-02-03,24679014,944571155,37.2,38.8,37.2,38.65,1.45,12683
98,2025-02-04,25291023,983773813,38.1,40.0,38.0,38.0,-0.65,15302
