,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,622182,149627291,241.0,241.5,239.0,241.0,2.0,1035
1,2024-09-03,1115042,270823107,239.5,248.0,237.5,241.0,0.0,4527
2,2024-09-04,1291661,300846783,231.5,237.0,229.0,232.0,-9.0,11319
3,2024-09-05,1108528,260181741,234.5,240.0,231.0,232.0,0.0,2888
4,2024-09-06,1467940,345114615,235.0,238.0,229.0,236.0,4.0,4722
5,2024-09-09,1276697,293285385,230.0,234.0,228.0,229.5,-6.5,7087
6,2024-09-10,1066907,248036106,233.5,237.0,227.5,231.0,1.5,2545
7,2024-09-11,2393267,531467040,229.0,229.0,216.5,219.0,-12.0,19203
8,2024-09-12,3625068,778928223,222.5,223.0,211.0,213.0,-6.0,4281
9,2024-09-13,2207560,467377837,216.0,216.5,210.0,210.0,-3.0,2266
10,2024-09-16,1417376,303354450,212.0,215.5,211.5,215.0,5.0,1596
11,2024-09-18,1949537,416398270,216.0,217.0,210.5,211.0,-4.0,1886
12,2024-09-19,2989685,667515085,214.0,227.0,214.0,226.0,15.0,2982
13,2024-09-20,3421330,770427736,226.5,228.0,222.5,227.0,1.0,9020
14,2024-09-23,1695653,386052033,227.0,230.5,223.5,228.5,1.5,3938
15,2024-09-24,1800958,414705799,230.0,232.5,228.5,231.0,2.5,2191
16,2024-09-25,880264,204575028,234.5,235.5,230.5,232.0,1.0,1415
17,2024-09-26,2181995,497702879,234.5,234.5,223.0,224.5,-7.5,8476
18,2024-09-27,3229719,743953327,227.5,234.5,227.0,229.0,4.5,2581
19,2024-09-30,1455278,328180215,231.0,231.0,224.0,224.0,-5.0,1327
20,2024-10-01,3609652,777068280,225.0,225.0,212.0,214.5,-9.5,4276
21,2024-10-04,5837431,1201897496,205.5,211.5,202.0,203.5,-11.0,6000
22,2024-10-07,2775762,564478931,206.0,206.0,201.0,205.5,2.0,2875
23,2024-10-08,1675212,342214047,205.5,205.5,203.0,204.0,-1.5,1401
24,2024-10-09,1087293,223215438,205.5,207.0,204.0,205.0,1.0,1103
25,2024-10-11,6679807,1291221336,201.0,201.0,190.0,190.0,-15.0,7465
26,2024-10-14,1399513,267324910,190.5,193.0,190.0,190.5,0.5,1633
27,2024-10-15,3043333,568378207,191.0,192.5,185.0,185.0,-5.5,4061
28,2024-10-16,1707735,319704219,185.0,190.5,185.0,187.0,2.0,1889
29,2024-10-17,2079897,392471635,187.5,191.5,186.5,187.5,0.5,1560
30,2024-10-18,1546440,289449063,189.5,189.5,186.0,187.0,-0.5,1898
31,2024-10-21,2677465,496054126,189.0,190.0,184.0,185.5,-1.5,3055
32,2024-10-22,1989839,368099147,186.0,186.5,184.0,186.0,0.5,2092
33,2024-10-23,1118477,209424031,186.5,188.0,186.0,188.0,2.0,1314
34,2024-10-24,1582073,295928871,186.5,189.5,185.5,185.5,-2.5,1476
35,2024-10-25,1297355,241937181,187.0,188.5,185.0,185.5,0.0,1420
36,2024-10-28,1664152,310516477,188.0,190.5,183.5,184.0,-1.5,2032
37,2024-10-29,1417121,259577809,185.5,185.5,182.0,182.5,-1.5,1649
38,2024-10-30,1235956,226330282,185.0,185.0,182.0,182.0,-0.5,1227
39,2024-11-01,2391673,429667104,180.5,182.0,178.0,179.0,-3.0,2664
40,2024-11-04,1991964,359715270,180.0,183.0,177.0,181.0,2.0,1430
41,2024-11-05,1885774,339709355,180.0,185.5,177.5,178.5,-2.5,2025
42,2024-11-06,1270446,227110008,179.0,180.5,177.5,177.5,-1.0,1559
43,2024-11-07,2109516,378313045,177.0,182.0,177.0,178.0,0.5,1941
44,2024-11-08,2858962,512619131,180.0,182.0,177.0,177.5,-0.5,2378
45,2024-11-11,7767440,1276545600,165.0,166.0,161.0,166.0,-11.5,6966
46,2024-11-12,6284811,1014275209,162.5,165.5,158.5,159.0,-7.0,7052
47,2024-11-13,2986557,475473873,159.0,161.0,158.0,158.0,-1.0,3271
48,2024-11-14,4507005,700986997,158.5,159.5,153.5,155.5,-2.5,4740
49,2024-11-15,4582866,703840643,153.0,156.0,151.5,154.5,-1.0,3953
50,2024-11-18,3010396,468501232,155.5,158.5,153.0,156.0,1.5,2376
51,2024-11-19,5989787,903805543,156.5,157.0,149.0,149.0,-7.0,5744
52,2024-11-20,2956210,442622071,150.5,151.0,148.0,149.0,0.0,2662
53,2024-11-21,1912576,287898573,149.5,152.0,149.0,150.5,1.5,1592
54,2024-11-22,2207522,335964833,152.0,155.0,151.0,151.0,0.5,1855
55,2024-11-25,1914268,295295448,151.5,156.0,151.5,154.0,3.0,1872
56,2024-11-26,1566010,242757456,153.5,157.0,152.0,155.0,1.0,1429
57,2024-11-27,1530120,232489979,155.0,155.0,150.0,150.0,-5.0,2082
58,2024-11-28,1300952,195725679,150.5,152.0,149.5,150.0,0.0,1324
59,2024-11-29,826418,124784571,150.0,152.5,148.0,152.0,2.0,763
60,2024-12-02,756779,114529046,152.0,154.0,150.0,150.0,-2.0,966
61,2024-12-03,1921197,293778371,151.5,155.0,151.0,152.5,2.5,1803
62,2024-12-04,1711695,262561557,153.0,156.0,151.5,153.0,0.5,2065
63,2024-12-05,1540033,232790248,153.0,153.5,150.0,150.5,-2.5,1667
64,2024-12-06,1500287,224666671,151.5,152.0,149.0,149.0,-1.5,2456
65,2024-12-09,2203100,323915884,150.0,150.0,146.0,146.0,-3.0,2960
66,2024-12-10,1591934,238497824,147.0,151.0,147.0,150.5,4.5,1437
67,2024-12-11,1697306,250092611,149.0,149.0,146.0,146.0,-4.5,2482
68,2024-12-12,1835855,274572141,148.5,151.0,147.5,149.5,3.5,1253
69,2024-12-13,774964,116594744,149.5,151.0,149.0,150.0,0.5,875
70,2024-12-16,3979119,617574494,151.5,157.0,151.0,156.0,6.0,3043
71,2024-12-17,2562755,391572838,155.0,155.0,151.0,152.0,-4.0,2201
72,2024-12-18,1502035,228549183,152.5,154.0,151.0,151.0,-1.0,1411
73,2024-12-19,1546692,230056425,149.0,150.0,148.0,148.5,-2.5,1625
74,2024-12-20,1232991,182299274,148.5,150.0,147.0,147.0,-1.5,1355
75,2024-12-23,525819,78552585,148.0,150.5,148.0,149.0,2.0,642
76,2024-12-24,1367022,202441585,150.5,152.0,146.5,147.5,-1.5,1634
77,2024-12-25,920116,135317804,148.0,149.5,146.5,147.0,-0.5,1127
78,2024-12-26,1183077,172828717,148.0,148.5,145.0,145.5,-1.5,1889
79,2024-12-27,511249,74268553,145.5,146.0,144.5,145.0,-0.5,735
80,2024-12-30,947863,136043896,145.0,145.0,143.0,143.0,-2.0,1384
81,2024-12-31,1420552,200520447,143.0,143.0,140.0,141.5,-1.5,2089
82,2025-01-02,1339811,188982432,141.5,143.0,140.0,140.5,-1.0,1545
83,2025-01-03,1447003,201909602,141.5,143.5,138.0,139.0,-1.5,2057
84,2025-01-06,1208884,171999247,139.5,144.5,137.5,143.0,4.0,1864
85,2025-01-07,1630115,237660624,143.0,147.5,143.0,145.5,2.5,1927
86,2025-01-08,841605,122038518,145.5,146.0,143.0,144.5,-1.0,1827
87,2025-01-09,1697605,238602885,145.0,145.0,138.0,138.0,-6.5,2142
88,2025-01-10,1740644,246801603,138.5,144.5,137.5,143.5,5.5,1564
89,2025-01-13,1154468,164353043,142.5,143.5,141.0,143.5,0.0,1202
90,2025-01-14,678795,97135405,143.5,145.0,141.5,144.0,0.5,861
91,2025-01-15,746277,106627450,142.0,144.5,142.0,142.0,-2.0,794
92,2025-01-16,1964593,290866252,143.0,150.5,143.0,147.0,5.0,1797
93,2025-01-17,470929,69339053,146.5,149.0,146.0,146.0,-1.0,621
94,2025-01-20,277480,40813759,148.0,148.0,146.0,147.5,1.5,577
95,2025-01-21,498522,73238016,147.5,148.5,146.0,146.0,-1.5,630
96,2025-01-22,1148214,167798966,148.5,148.5,145.0,146.5,0.5,1306
97,2025-02-03,1538892,221069910,146.0,146.5,141.5,143.5,-3.0,1812
98,2025-02-04,897476,126494545,143.0,143.0,140.0,140.0,-3.5,1272
99,2025-02-05,643590,91154011,142.0,143.0,140.5,141.5,1.5,826
100,2025-02-06,2553247,372173547,141.0,148.5,140.5,148.5,7.0,2042
101,2025-02-07,1089814,160569198,148.0,149.0,146.0,147.5,-1.0,1698
