,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,12071008,3249134832,270.5,273.0,267.0,267.0,-1.0,11337
1,2024-09-03,19227832,5200812262,268.0,273.0,265.5,272.0,5.0,14018
2,2024-09-04,44435920,11174784808,255.0,255.0,248.0,250.0,-22.0,64792
3,2024-09-05,20589711,5143128238,251.5,253.0,247.0,247.0,-3.0,21253
4,2024-09-06,28110182,7172538712,250.0,260.0,249.0,256.5,9.5,21429
5,2024-09-09,32446229,8089020130,250.0,251.5,247.5,250.0,-6.5,34763
6,2024-09-10,55884105,13572739942,247.0,247.0,238.0,239.5,-10.5,52347
7,2024-09-11,16807290,4085374481,241.0,245.5,241.0,242.0,2.5,13566
8,2024-09-12,39344947,9975464720,250.0,257.5,250.0,253.0,11.0,27924
9,2024-09-13,18404172,4664863548,254.5,256.0,250.5,254.5,1.5,17297
10,2024-09-16,13299760,3374987226,255.0,256.0,252.0,254.0,-0.5,9662
11,2024-09-18,13594247,3414161501,252.5,254.0,249.0,250.0,-4.0,13886
12,2024-09-19,15193651,3830129330,251.0,254.0,248.0,253.0,3.0,10983
13,2024-09-20,24306991,6199081061,257.5,259.5,252.5,252.5,-0.5,14200
14,2024-09-23,10801017,2765535652,255.0,257.0,253.5,257.0,4.5,8873
15,2024-09-24,20056734,5143379497,256.0,258.5,253.5,256.5,-0.5,12941
16,2024-09-25,49823265,13536508121,263.0,275.0,262.5,272.5,16.0,37800
17,2024-09-26,27630050,7608625477,277.5,278.0,272.5,275.5,3.0,37994
18,2024-09-27,32046559,8927931218,278.0,283.0,275.5,277.0,1.5,46076
19,2024-09-30,33524424,9001990188,272.0,273.0,264.0,264.0,-13.0,46141
20,2024-10-01,13637619,3658603508,268.5,271.5,266.0,268.0,4.0,13618
21,2024-10-04,29276096,7777162332,265.5,272.5,261.5,262.0,-6.0,27466
22,2024-10-07,19612183,5248341681,267.5,271.0,265.0,267.5,5.5,15456
23,2024-10-08,15399298,4069243858,264.5,265.5,262.5,265.5,-2.0,11280
24,2024-10-09,34116165,9380568979,272.5,279.0,271.5,273.5,8.0,26388
25,2024-10-11,38882938,10943539590,277.0,284.0,276.0,282.0,8.5,46843
26,2024-10-14,17240099,4871910613,282.5,285.0,278.5,283.5,1.5,35572
27,2024-10-15,49926934,14682457378,289.0,297.5,287.0,295.5,12.0,52772
28,2024-10-16,30224204,8876612493,290.0,298.0,288.0,295.0,-0.5,55515
29,2024-10-17,26622191,7970880368,300.0,303.0,295.0,300.5,5.5,27163
30,2024-10-18,57479547,17829337666,310.5,316.0,302.5,307.0,6.5,70432
31,2024-10-21,21136809,6565010092,311.0,313.0,309.0,309.0,2.0,24344
32,2024-10-22,44547126,14143656095,312.0,322.5,310.0,319.0,10.0,35167
33,2024-10-23,21766947,6902704884,318.5,319.0,315.0,317.0,-2.0,40435
34,2024-10-24,39743164,12223841750,315.0,315.0,303.5,305.0,-12.0,92688
35,2024-10-25,16081544,4971419199,306.5,312.5,306.0,310.0,5.0,17386
36,2024-10-28,19096682,5931376264,313.0,314.0,306.0,310.0,0.0,18399
37,2024-10-29,23545009,7125320197,308.0,308.0,299.5,303.0,-7.0,38631
38,2024-10-30,16585308,5058173850,304.0,308.5,303.0,303.5,0.5,15851
39,2024-11-01,22156956,6640664747,290.0,307.5,289.5,305.0,1.5,32671
40,2024-11-04,24296494,7549674905,306.5,314.5,306.0,313.5,8.5,35826
41,2024-11-05,26320120,8341870090,310.5,320.0,309.5,318.0,4.5,29655
42,2024-11-06,31233581,10043663763,319.0,324.5,318.0,320.5,2.5,29495
43,2024-11-07,28946990,9432170639,323.0,329.0,320.0,325.5,5.0,42080
44,2024-11-08,32335688,10670191342,328.0,333.0,326.5,328.0,2.5,41765
45,2024-11-11,24134803,7836391237,328.0,328.0,322.0,325.0,-3.0,63918
46,2024-11-12,30705857,9704467805,319.5,321.0,313.0,313.0,-12.0,45275
47,2024-11-13,30693873,9769939420,311.0,322.5,311.0,322.0,9.0,22715
48,2024-11-14,27530632,8668073711,319.0,320.5,310.0,314.5,-7.5,44423
49,2024-11-15,78419034,23582775568,308.0,308.0,295.0,297.0,-17.5,79975
50,2024-11-18,30185974,8815713742,295.0,298.0,288.5,290.5,-6.5,28952
51,2024-11-19,32889679,9551200534,293.5,293.5,288.0,290.0,-0.5,26466
52,2024-11-20,24526181,7252595657,295.5,298.5,293.5,295.5,5.5,20040
53,2024-11-21,19230894,5640550596,290.5,297.0,289.0,294.0,-1.5,13833
54,2024-11-22,20164260,6014718632,298.0,301.0,296.5,297.0,3.0,15230
