,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,3494202,643559859,185.0,185.5,182.5,183.5,0.0,2900
1,2024-09-03,2582469,472046702,183.5,184.5,181.0,181.0,-2.5,2809
2,2024-09-04,6478436,1128743945,172.5,178.0,170.0,172.5,-8.5,10097
3,2024-09-05,2980245,513410133,174.5,176.0,170.0,170.0,-2.5,3168
4,2024-09-06,3915701,671031176,172.5,173.0,168.0,172.5,2.5,2884
5,2024-09-09,4579005,776073687,166.0,172.0,166.0,170.0,-2.5,3071
6,2024-09-10,2594270,441280235,171.0,172.5,167.5,168.0,-2.0,2293
7,2024-09-11,2152007,359501340,168.5,169.5,166.0,166.0,-2.0,2223
8,2024-09-12,2109364,360636102,170.0,173.0,169.0,171.0,5.0,1944
9,2024-09-13,1039422,177755526,170.5,172.0,170.0,171.0,0.0,1211
10,2024-09-16,1139411,194218797,171.5,172.0,170.0,170.5,-0.5,1086
11,2024-09-18,1504855,255662422,171.0,171.0,168.0,169.0,-1.5,1438
12,2024-09-19,2189662,374262585,170.0,172.5,169.0,171.5,2.5,1715
13,2024-09-20,6518505,1149751713,173.0,179.0,173.0,177.0,5.5,4084
14,2024-09-23,3348495,593117760,178.0,180.0,175.5,176.5,-0.5,4205
15,2024-09-24,1790730,316781713,176.5,177.5,175.5,177.5,1.0,2104
16,2024-09-25,2624249,465311713,178.5,178.5,176.5,177.0,-0.5,2584
17,2024-09-26,2413326,422231510,177.5,178.0,173.0,173.5,-3.5,2199
18,2024-09-27,2473927,432080024,174.5,177.0,173.0,173.5,0.0,1899
19,2024-09-30,1954033,340462144,174.0,175.5,173.0,174.0,0.5,1553
20,2024-10-01,2686315,467261783,174.5,175.5,172.0,175.0,1.0,2063
21,2024-10-04,3911910,667631174,174.0,175.5,168.5,170.0,-5.0,3649
22,2024-10-07,3181724,544610608,171.0,173.0,170.0,172.0,2.0,2503
23,2024-10-08,2238824,380884378,170.0,171.0,169.0,170.0,-2.0,2895
24,2024-10-09,2020402,343498530,171.0,172.5,168.0,168.0,-2.0,1827
25,2024-10-11,2026924,350874181,170.5,174.5,170.5,173.5,5.5,1853
26,2024-10-14,1523257,264898425,174.0,175.0,173.0,173.5,0.0,2281
27,2024-10-15,2763118,486516095,175.0,177.5,174.0,176.5,3.0,2573
28,2024-10-16,2805700,498093397,174.5,179.0,174.5,177.5,1.0,4325
29,2024-10-17,2642606,473427066,179.0,181.5,177.5,177.5,0.0,2398
30,2024-10-18,3232400,580755231,179.0,181.5,178.0,179.0,1.5,3183
31,2024-10-21,4156669,753762872,181.5,183.5,179.5,179.5,0.5,4175
32,2024-10-22,1970443,355879070,179.5,181.5,178.5,181.5,2.0,2239
33,2024-10-23,2850488,508850500,181.0,181.0,177.0,177.0,-4.5,3059
34,2024-10-24,2330892,417509495,177.0,180.0,177.0,179.5,2.5,1911
35,2024-10-25,1519541,273339797,180.5,181.0,178.5,180.0,0.5,1281
36,2024-10-28,2196826,398258414,181.5,182.5,180.0,181.5,1.5,3364
37,2024-10-29,3284406,595314086,182.0,182.5,178.0,182.0,0.5,3845
38,2024-10-30,3840314,695132530,183.0,186.0,178.0,178.0,-4.0,11095
39,2024-11-01,3740468,671884773,174.0,182.0,173.5,181.0,3.0,4786
40,2024-11-04,2411193,439108673,181.0,183.0,180.5,182.5,1.5,2182
41,2024-11-05,6736841,1253365561,183.5,188.5,182.0,188.5,6.0,6407
42,2024-11-06,3228590,606382624,187.5,189.5,185.5,189.0,0.5,5863
43,2024-11-07,4043425,763726695,189.0,191.5,186.5,189.0,0.0,9431
44,2024-11-08,4526504,846792783,189.5,191.0,184.0,184.5,-4.5,21171
45,2024-11-11,3031216,555984774,186.0,187.5,182.0,183.0,-1.5,8755
46,2024-11-12,3676471,671059581,180.5,184.5,180.0,181.0,-2.0,2851
47,2024-11-13,12107674,2078099690,178.0,178.5,168.5,172.0,-9.0,11582
48,2024-11-14,5201000,894780814,172.0,174.0,170.5,171.0,-1.0,3594
49,2024-11-15,5924336,1004236574,171.5,173.5,167.0,168.0,-3.0,6031
50,2024-11-18,3094811,519885838,167.5,169.5,165.5,167.5,-0.5,2674
51,2024-11-19,2356083,403949972,169.0,173.0,168.5,172.5,5.0,1994
52,2024-11-20,2312751,395498149,171.5,172.5,169.5,171.5,-1.0,2884
53,2024-11-21,2189531,377175576,169.0,174.0,169.0,174.0,2.5,1707
54,2024-11-22,2766258,480943051,174.0,175.0,172.5,174.0,0.0,2066
55,2024-11-25,4300452,749376808,175.0,177.0,173.0,173.0,-1.0,2435
56,2024-11-26,1282901,222979003,174.0,175.5,172.0,173.5,0.5,2108
57,2024-11-27,1563906,269018454,173.0,174.0,170.0,170.0,-3.5,2600
58,2024-11-28,1680540,284348384,171.0,171.5,168.0,168.0,-2.0,5694
59,2024-11-29,2485596,422699070,167.5,172.0,166.0,171.0,3.0,3340
60,2024-12-02,1468173,252876519,170.5,173.5,170.5,172.0,1.0,1375
61,2024-12-03,1975225,345801408,173.0,176.0,173.0,175.0,3.0,1818
62,2024-12-04,1598490,278978440,175.0,175.5,173.0,175.0,0.0,4039
63,2024-12-05,1928208,335245341,175.5,175.5,171.5,174.0,-1.0,1744
64,2024-12-06,1087115,190229496,174.5,176.0,174.0,174.5,0.5,1583
65,2024-12-09,1741912,303411347,175.0,176.5,173.0,173.0,-1.5,1482
66,2024-12-10,1388796,240038833,172.0,174.0,172.0,172.5,-0.5,1111
67,2024-12-11,1386186,236469294,171.0,172.0,170.0,170.0,-2.5,1396
68,2024-12-12,1037932,177201328,170.5,171.5,170.0,170.5,0.5,967
69,2024-12-13,1417721,241225475,170.5,171.0,169.0,169.5,-1.0,1270
70,2024-12-16,1813608,308642435,171.0,173.0,168.5,168.5,-1.0,1584
71,2024-12-17,2624663,451012730,170.0,174.5,169.0,172.0,3.5,1942
72,2024-12-18,5282070,940776223,172.0,181.0,172.0,179.5,7.5,4685
73,2024-12-19,2550495,452104507,175.5,179.5,174.5,177.5,-2.0,3924
74,2024-12-20,3075955,547067505,176.5,179.0,176.0,178.5,1.0,2064
75,2024-12-23,3453235,620439010,179.5,182.0,178.0,178.5,0.0,2921
76,2024-12-24,2370789,424742694,179.0,181.0,178.0,178.5,0.0,1916
77,2024-12-25,6282318,1154721920,179.5,187.0,179.5,184.5,6.0,5412
78,2024-12-26,3804081,704352514,185.0,187.0,183.0,185.0,0.5,3317
79,2024-12-27,3232743,593902611,185.0,185.0,182.0,184.5,-0.5,10231
80,2024-12-30,3294678,609058763,184.5,187.0,183.5,184.0,-0.5,7320
81,2024-12-31,2027313,373060747,184.0,185.5,183.0,183.5,-0.5,5287
82,2025-01-02,3912051,714717240,182.5,184.5,181.5,183.0,-0.5,5734
83,2025-01-03,3581838,655325759,183.5,184.5,181.0,183.0,0.0,3941
84,2025-01-06,6075333,1135230344,184.5,189.0,183.0,188.0,5.0,9249
85,2025-01-07,13173641,2494624595,189.5,195.0,186.0,186.0,-2.0,19749
86,2025-01-08,20497084,3967646398,186.5,197.5,186.5,195.0,9.0,20889
87,2025-01-09,8876806,1703769995,195.0,196.5,187.5,188.0,-7.0,23156
88,2025-01-10,5267074,974354701,185.0,188.0,182.0,184.5,-3.5,10358
89,2025-01-13,6370459,1170582635,183.0,187.0,180.5,183.5,-1.0,13847
90,2025-01-14,2935332,541439514,183.5,186.5,182.5,185.0,1.5,4531
91,2025-01-15,4564946,826771233,185.0,186.5,179.0,179.5,-5.5,9561
92,2025-01-16,3099126,563006979,183.5,184.5,180.5,180.5,1.0,2522
93,2025-01-17,1821722,329078416,180.5,182.0,179.0,180.0,-0.5,2065
94,2025-01-20,1653879,300976364,182.0,185.0,181.0,181.0,1.0,1620
95,2025-01-21,1742892,316510258,183.0,183.0,181.0,181.0,0.0,1760
96,2025-01-22,2721172,494562599,181.5,183.5,180.5,181.5,0.5,2124
97,2025-02-03,16571470,3194769966,178.5,199.0,177.0,196.0,14.5,13373
98,2025-02-04,18925722,3763346379,199.0,203.5,194.0,195.0,-1.0,20765
99,2025-02-05,7394962,1459775020,197.0,201.0,194.0,197.0,2.0,7540
100,2025-02-06,7137598,1370133417,198.0,198.5,189.0,191.5,-5.5,15684
101,2025-02-07,7285062,1410971045,192.5,197.5,191.0,193.0,1.5,5575
102,2025-02-10,5266728,1000544833,192.0,192.5,187.0,191.0,-2.0,4130
103,2025-02-11,5381598,1049547790,192.0,196.5,191.5,196.0,5.0,3847
104,2025-02-12,5584082,1089927400,197.5,199.5,192.0,193.0,-3.0,4453
105,2025-02-13,6622847,1294312715,194.5,198.0,193.0,194.0,1.0,7887
106,2025-02-14,5452198,1037553392,195.5,195.5,188.0,190.0,-4.0,6968
107,2025-02-17,5362191,1044765305,191.5,197.0,191.5,195.5,5.5,4507
108,2025-02-18,19325933,3954429810,195.5,210.0,195.5,200.5,5.0,20526
109,2025-02-19,7717692,1547485729,202.0,205.0,197.5,199.0,-1.5,8639
110,2025-02-20,7392118,1479628306,199.5,204.5,198.0,199.0,0.0,4755
111,2025-02-21,6488697,1298450820,200.0,204.5,197.5,201.0,2.0,5777
112,2025-02-24,3383224,667596239,199.0,199.5,196.5,198.0,-3.0,5750
113,2025-02-25,2860125,555411169,195.5,195.5,192.5,194.5,-3.5,2614
114,2025-02-26,4754656,919370325,193.0,196.0,191.0,195.5,1.0,3837
115,2025-02-27,12609237,2351964275,195.0,195.0,182.5,185.0,-10.5,10851
116,2025-03-03,7054783,1316389835,183.0,191.0,183.0,185.5,0.5,4374
117,2025-03-04,4499222,822807416,182.5,185.5,180.0,184.5,-1.0,3578
118,2025-03-05,5345767,1013231235,186.0,191.5,185.0,190.0,5.5,3923
119,2025-03-06,2647187,503851738,190.0,192.5,188.0,189.0,-1.0,5171
120,2025-03-07,3709875,685615327,188.5,189.5,182.5,183.0,-6.0,8891
121,2025-03-10,7297373,1298150338,183.5,183.5,175.5,176.5,-6.5,5827
122,2025-03-11,5651436,981999602,173.0,176.5,171.0,175.0,-1.5,4199
123,2025-03-12,3864278,693649851,176.5,182.0,175.0,179.0,4.0,2884
124,2025-03-13,18673300,3157984417,176.0,176.0,166.0,167.0,-12.0,15667
125,2025-03-14,6454202,1088255137,168.0,171.5,164.0,171.0,4.0,4405
126,2025-03-17,5125371,868212933,171.0,171.5,167.5,169.0,-2.0,5423
127,2025-03-18,6746933,1171933668,170.0,176.5,168.5,174.5,5.5,4993
128,2025-03-19,3500206,602114825,174.5,174.5,170.0,171.0,-3.5,4899
129,2025-03-20,2003604,345235594,173.0,175.0,171.0,171.5,0.5,1840
130,2025-03-21,4008499,687128688,171.5,173.0,170.5,171.5,0.0,2247
131,2025-03-24,3213746,551804960,172.0,173.5,171.0,171.0,-0.5,2282
132,2025-03-25,3011298,519291267,172.5,173.5,171.0,172.5,1.5,3201
133,2025-03-26,2138531,370302257,173.0,174.5,172.0,173.5,1.0,1496
134,2025-03-27,3946327,674968664,171.5,173.0,169.5,171.5,-2.0,2348
135,2025-03-28,2785598,473429454,170.0,172.0,169.0,169.5,-2.0,2295
136,2025-03-31,5158659,844249436,165.0,166.5,161.5,162.0,-7.5,4089
137,2025-04-01,1897451,315990186,164.0,169.0,164.0,167.5,5.5,1747
138,2025-04-02,1543682,259958472,168.0,169.5,167.0,168.5,1.0,1383
139,2025-04-07,376442,57219184,152.0,152.0,152.0,152.0,-16.5,813
140,2025-04-08,3394069,464989722,137.0,137.0,137.0,137.0,-15.0,2412
141,2025-04-09,3244762,400732501,123.5,123.5,123.5,123.5,-13.5,2325
142,2025-04-10,6394008,862669646,135.5,135.5,131.5,135.5,12.0,4384
143,2025-04-11,16014651,1987263663,122.5,128.0,122.0,127.0,-8.5,9980
144,2025-04-14,12555289,1699484912,133.5,139.0,132.0,133.5,6.5,9068
145,2025-04-15,5804228,809434422,134.0,143.0,134.0,143.0,9.5,4390
146,2025-04-16,8456098,1164810238,141.5,142.0,135.0,136.0,-7.0,8671
147,2025-04-17,3629303,493447652,136.0,137.0,134.5,136.0,0.0,2985
