,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,745909,118582351,160.5,162.0,157.0,157.5,-2.0,631
1,2024-09-03,4442850,664073363,160.5,160.5,143.0,143.5,-14.0,4079
2,2024-09-04,4318466,573318572,134.5,136.0,130.0,132.0,-11.5,3325
3,2024-09-05,1479028,198204169,137.0,137.0,132.0,132.5,0.5,1354
4,2024-09-06,2368665,328114286,136.0,142.5,134.0,138.0,5.5,1899
5,2024-09-09,1450774,200831091,138.0,141.0,135.5,140.0,2.0,1300
6,2024-09-10,2483467,356167874,141.0,147.0,140.0,141.0,1.0,2655
7,2024-09-11,1338460,188000212,141.0,144.5,138.0,138.0,-3.0,1191
8,2024-09-12,1057812,149766949,141.5,143.0,140.5,141.5,3.5,886
9,2024-09-13,1275207,183701347,142.5,146.5,140.5,145.5,4.0,1235
10,2024-09-16,1175324,167869267,147.5,147.5,141.0,141.5,-4.0,1045
11,2024-09-18,917335,129555813,142.0,142.5,139.5,141.0,-0.5,756
12,2024-09-19,643328,91806834,143.0,144.0,141.0,143.0,2.0,645
13,2024-09-20,2566138,379484386,147.0,152.5,143.5,145.5,2.5,2084
14,2024-09-23,3774640,580308649,147.5,158.0,147.5,153.5,8.0,3155
15,2024-09-24,2508731,379522509,153.0,155.5,147.5,149.5,-4.0,2212
16,2024-09-25,2566917,392121773,154.0,155.0,150.0,153.0,3.5,1858
17,2024-09-26,2071219,313537852,153.5,154.5,147.5,147.5,-5.5,1729
18,2024-09-27,1491679,218900592,150.0,151.0,144.0,144.5,-3.0,1419
19,2024-09-30,1005120,142909501,144.5,145.0,140.0,141.5,-3.0,1089
20,2024-10-01,840353,119001503,142.0,143.0,140.0,142.0,0.5,712
21,2024-10-04,2969397,414815651,148.5,148.5,136.5,137.5,-4.5,2303
22,2024-10-07,1200238,168782026,139.5,142.0,138.5,142.0,4.5,1392
23,2024-10-08,648484,91231005,140.0,143.0,139.5,139.5,-2.5,608
24,2024-10-09,874023,121281073,142.0,142.5,137.5,137.5,-2.0,793
25,2024-10-11,729410,100765154,138.5,140.0,137.0,137.0,-0.5,664
26,2024-10-14,994422,137411631,138.0,140.5,135.5,140.0,3.0,613
27,2024-10-15,3152879,463539071,141.0,152.0,141.0,144.0,4.0,2545
28,2024-10-16,1684271,239986919,144.0,144.0,141.0,142.5,-1.5,1186
29,2024-10-17,2006445,296590387,145.0,150.5,144.0,147.5,5.0,1603
30,2024-10-18,4296172,605045244,150.0,151.5,137.0,139.0,-8.5,4138
31,2024-10-21,992626,140186499,140.0,143.0,139.0,141.5,2.5,811
32,2024-10-22,689721,97140708,141.5,142.0,139.5,141.5,0.0,565
