,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,4677135,740323054,159.0,160.5,157.0,157.0,-1.5,4317
1,2024-09-03,18673545,3006959822,156.5,164.5,156.5,158.0,1.0,12937
2,2024-09-04,13390991,2023283015,150.5,154.0,145.0,152.0,-6.0,12063
3,2024-09-05,13734187,2074721923,153.0,156.5,146.0,148.0,-4.0,10565
4,2024-09-06,6641754,983950279,148.0,150.0,146.0,149.5,1.5,4963
5,2024-09-09,5558271,824564260,145.0,152.0,144.5,152.0,2.5,4398
6,2024-09-10,8706042,1278914252,152.5,153.5,140.5,146.5,-5.5,7187
7,2024-09-11,4572516,664030628,146.5,147.5,143.5,144.5,-2.0,3369
8,2024-09-12,5691762,845674154,148.5,151.0,146.5,148.0,3.5,4285
9,2024-09-13,3391893,500513465,148.5,149.5,145.0,149.0,1.0,2700
10,2024-09-16,10080654,1546393063,151.5,156.0,151.0,154.0,5.0,7269
11,2024-09-18,3660573,560032518,154.5,155.0,151.0,151.0,-3.0,4014
12,2024-09-19,3995502,611228571,151.5,154.5,151.0,154.0,3.0,3033
13,2024-09-20,6010635,923244660,156.5,157.5,152.0,153.5,-0.5,3490
14,2024-09-23,2140937,325633512,154.0,154.0,151.0,151.5,-2.0,2035
15,2024-09-24,2201183,332622759,152.5,153.0,150.0,150.0,-1.5,1938
16,2024-09-25,7790563,1205561912,153.0,157.0,152.0,155.0,5.0,6095
17,2024-09-26,4327985,665854888,156.0,157.0,151.5,153.0,-2.0,5359
18,2024-09-27,14924370,2366554134,152.5,165.5,152.0,152.0,-1.0,10856
19,2024-09-30,3455109,524920216,152.0,153.5,150.0,150.0,-2.0,5449
20,2024-10-01,4098877,607378681,150.0,151.5,146.5,147.0,-3.0,3641
21,2024-10-04,2726738,395405093,147.0,148.0,144.0,144.0,-3.0,3920
22,2024-10-07,2418641,350488993,145.0,146.5,143.5,144.5,0.5,2060
23,2024-10-08,1712329,243941923,144.5,144.5,141.5,142.0,-2.5,1778
24,2024-10-09,2723195,388486061,144.5,145.5,140.5,141.0,-1.0,2614
25,2024-10-11,3389469,465670902,141.5,142.0,136.0,136.0,-5.0,3889
26,2024-10-14,4116029,569143125,137.5,142.0,134.5,140.5,4.5,3452
27,2024-10-15,2940767,415604827,141.0,143.0,140.0,140.5,0.0,2662
28,2024-10-16,14274603,2094252928,140.5,151.0,139.5,147.0,6.5,10850
29,2024-10-17,10610582,1566289085,147.0,150.0,144.0,147.5,0.5,8273
30,2024-10-18,9386450,1406083152,149.5,153.0,145.5,153.0,5.5,7135
31,2024-10-21,8940835,1359068195,155.5,156.0,150.0,150.5,-2.5,6840
32,2024-10-22,2951997,440183087,151.0,152.5,148.0,148.5,-2.0,2592
33,2024-10-23,2689268,399916131,148.5,150.5,147.5,147.5,-1.0,2190
34,2024-10-24,6102132,903572373,148.0,153.0,144.0,145.0,-2.5,4841
35,2024-10-25,1576472,226768726,145.0,146.0,143.0,143.0,-2.0,1702
36,2024-10-28,1873310,264203591,143.0,143.5,140.0,141.5,-1.5,1761
37,2024-10-29,1859907,262183914,140.5,143.5,140.0,140.0,-1.5,1718
38,2024-10-30,1170313,164114583,139.5,141.0,139.0,140.5,0.5,1139
39,2024-11-01,1390007,195374262,138.0,144.0,136.0,144.0,3.5,1309
40,2024-11-04,1321910,186033430,143.0,143.0,139.5,139.5,-4.5,1291
41,2024-11-05,8586443,1258585300,140.0,149.0,140.0,145.5,6.0,6495
42,2024-11-06,2366695,344541107,147.0,147.5,144.5,145.5,0.0,2043
43,2024-11-07,2866771,422557073,145.5,149.0,145.5,149.0,3.5,2582
44,2024-11-08,2161476,316832555,149.0,149.0,144.5,144.5,-4.5,2017
45,2024-11-11,1237996,177323033,144.5,145.5,141.5,143.5,-1.0,1250
46,2024-11-12,4242491,589639620,141.5,144.0,136.0,144.0,0.5,3359
47,2024-11-13,2156921,302437613,141.5,143.0,138.5,138.5,-5.5,1980
48,2024-11-14,2160726,296345706,138.5,139.5,136.0,136.0,-2.5,2115
49,2024-11-15,2997748,414339428,136.0,141.0,135.5,139.0,3.0,2436
50,2024-11-18,3229671,432831288,138.5,138.5,130.0,131.0,-8.0,3285
51,2024-11-19,1632505,217474458,132.0,135.0,131.0,135.0,4.0,1590
52,2024-11-20,1624224,215272307,135.0,135.0,131.0,132.5,-2.5,1591
53,2024-11-21,1364178,181352949,131.0,134.5,130.5,134.5,2.0,1100
54,2024-11-22,1922033,260827947,136.0,137.5,134.0,134.0,-0.5,1530
55,2024-11-25,2452199,332491436,135.5,137.5,134.0,135.0,1.0,1647
56,2024-11-26,13066318,1836352261,135.5,144.5,135.5,139.0,4.0,10290
57,2024-11-27,4891924,673772978,141.0,141.5,134.5,136.0,-3.0,5451
58,2024-11-28,2207236,293652826,135.5,135.5,131.0,132.0,-4.0,1890
59,2024-11-29,3595404,493724768,132.5,142.0,131.5,142.0,10.0,2830
60,2024-12-02,4141276,572074459,140.0,142.0,136.0,137.5,-4.5,4156
61,2024-12-03,2438036,339556969,140.0,141.0,137.5,138.0,0.5,2072
62,2024-12-04,2842314,398158707,139.0,141.5,138.5,140.5,2.5,2674
63,2024-12-05,1714100,241050127,141.5,142.0,139.0,141.0,0.5,2066
64,2024-12-06,3776451,530098670,142.0,144.5,137.0,138.5,-2.5,3533
65,2024-12-09,1039412,142249634,139.0,139.0,136.0,136.0,-2.5,1438
66,2024-12-10,3458841,479355906,138.0,142.5,136.0,137.5,1.5,2833
67,2024-12-11,10500165,1533428434,138.0,151.0,136.5,147.0,9.5,7987
68,2024-12-12,24538529,3745443216,146.0,156.0,146.0,154.0,7.0,24158
69,2024-12-13,16843520,2593615738,154.0,158.0,151.0,151.5,-2.5,16237
70,2024-12-16,14317280,2187168104,153.5,157.5,148.5,148.5,-3.0,10531
71,2024-12-17,41716902,6614172467,151.0,163.0,150.5,163.0,14.5,37901
72,2024-12-18,30792305,4924866866,161.0,163.0,156.0,160.5,-2.5,21302
73,2024-12-19,31241219,5050597001,158.0,165.5,157.0,164.5,4.0,21580
74,2024-12-20,37456731,6268895500,164.0,172.5,162.0,162.0,-2.5,36904
75,2024-12-23,20535406,3417781836,164.0,169.0,163.0,168.5,6.5,20126
76,2024-12-24,24645205,4138374230,168.5,172.0,163.0,169.0,0.5,17733
77,2024-12-25,43921049,7683546138,170.5,180.0,167.0,178.5,9.5,31830
78,2024-12-26,22320154,3870047405,179.0,180.0,168.0,168.0,-10.5,21263
79,2024-12-27,18941821,3150582216,169.0,173.0,161.5,165.0,-3.0,21495
80,2024-12-30,6571432,1084058253,165.0,167.0,163.5,163.5,-1.5,5436
81,2024-12-31,9706372,1616551979,162.5,169.0,162.0,168.0,4.5,7764
82,2025-01-02,9989670,1658294214,169.5,170.0,160.5,164.5,-3.5,7931
83,2025-01-03,9074921,1474197713,165.0,166.5,159.0,160.5,-4.0,7227
84,2025-01-06,8507419,1365972000,164.0,164.5,157.5,160.5,0.0,6939
85,2025-01-07,23882717,3959429769,162.5,171.0,160.0,164.0,3.5,17481
86,2025-01-08,10302892,1672074414,164.0,166.0,160.0,161.5,-2.5,8802
87,2025-01-09,11369406,1774488458,162.0,163.0,151.5,152.5,-9.0,10119
88,2025-01-10,5066739,773244854,152.0,155.0,151.0,151.0,-1.5,4153
89,2025-01-13,10954635,1571098496,146.5,149.5,140.0,144.5,-6.5,8385
90,2025-01-14,5110122,732634643,144.5,145.0,142.0,143.5,-1.0,5871
91,2025-01-15,4737717,675294069,143.5,145.5,141.0,141.0,-2.5,3959
92,2025-01-16,5989823,875398064,144.5,148.0,144.0,146.5,5.5,4707
93,2025-01-17,4545528,652461373,146.5,146.5,142.0,142.5,-4.0,3651
94,2025-01-20,2800688,401540950,144.0,144.5,142.5,143.0,0.5,2360
95,2025-01-21,3123996,441514870,143.0,143.0,140.0,141.0,-2.0,2757
96,2025-01-22,2971901,420789597,142.0,143.0,140.5,141.0,0.0,2420
97,2025-02-03,3575136,482406327,135.0,138.0,132.5,136.5,-4.5,3775
98,2025-02-04,3196409,431159445,136.5,137.0,132.0,137.0,0.5,3027
99,2025-02-05,5580312,786095446,136.5,144.0,136.5,142.5,5.5,4899
100,2025-02-06,4393918,629685786,143.5,146.0,142.0,142.0,-0.5,3634
101,2025-02-07,2367178,338952046,143.5,144.5,141.5,143.5,1.5,2306
102,2025-02-10,3947966,569842583,144.0,146.5,142.0,144.0,0.5,3269
103,2025-02-11,8547008,1277424521,145.0,153.0,145.0,150.5,6.5,8287
104,2025-02-12,12986787,2013189099,151.5,158.0,151.5,153.5,3.0,11142
105,2025-02-13,4880636,741281917,154.0,155.0,149.5,150.5,-3.0,5178
