,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,4545732,1172709160,263.0,263.0,255.0,255.0,-6.0,5857
1,2024-09-03,7292473,1896098905,256.0,263.5,255.0,260.5,5.5,6688
2,2024-09-04,9866948,2427451363,244.0,251.0,238.0,244.5,-16.0,12700
3,2024-09-05,4614856,1133075255,248.0,249.0,242.0,242.5,-2.0,5121
4,2024-09-06,5514421,1375408040,245.0,253.0,243.5,252.5,10.0,5649
5,2024-09-09,4800246,1189810320,245.0,250.5,245.0,249.0,-3.5,5517
6,2024-09-10,8437717,2064944983,253.5,253.5,238.0,239.0,-10.0,9162
7,2024-09-11,3441733,839452319,242.0,247.5,241.5,242.5,3.5,3641
8,2024-09-12,6002934,1512334130,250.5,254.0,250.0,252.5,10.0,7219
9,2024-09-13,3169875,796890583,253.0,254.5,249.5,251.5,-1.0,10319
10,2024-09-16,1917992,482376961,253.0,253.5,250.0,251.5,0.0,2253
11,2024-09-18,3333580,826683502,252.5,252.5,245.0,246.0,-5.5,4958
12,2024-09-19,4708422,1187565317,248.0,256.0,246.0,255.5,9.5,5186
13,2024-09-20,6173869,1588905371,256.5,261.0,255.0,255.0,-0.5,9531
14,2024-09-23,4957158,1295139011,259.5,264.0,258.0,262.0,7.0,5477
15,2024-09-24,4437319,1158871767,263.0,263.5,258.0,263.0,1.0,11095
16,2024-09-25,9103716,2418150905,265.5,269.0,261.5,263.0,0.0,12642
17,2024-09-26,5716483,1506757071,264.0,265.0,261.5,263.5,0.5,13806
18,2024-09-27,4519911,1201926646,266.0,268.0,264.5,266.0,2.5,17373
19,2024-09-30,4808570,1258564504,264.0,266.0,258.5,258.5,-7.5,21537
20,2024-10-01,4119105,1073851597,260.0,264.5,258.0,258.0,-0.5,5006
21,2024-10-04,7871172,2074348900,263.0,267.5,260.5,263.0,5.0,11819
22,2024-10-07,6364851,1699233191,267.0,268.5,265.0,268.0,5.0,8962
23,2024-10-08,3965279,1046541631,266.5,266.5,261.5,265.0,-3.0,9328
24,2024-10-09,6534928,1728851929,268.0,269.5,260.5,260.5,-4.5,8027
25,2024-10-11,4415742,1175672890,263.0,268.0,262.5,266.0,5.5,5374
26,2024-10-14,3546003,935370531,266.0,266.5,262.5,264.5,-1.5,6524
27,2024-10-15,7943590,2134744448,266.0,271.5,265.5,268.5,4.0,8297
28,2024-10-16,4497115,1192495315,264.0,268.0,263.0,265.0,-3.5,11156
29,2024-10-17,10610421,2890088397,268.5,276.5,268.5,270.5,5.5,10266
30,2024-10-18,8592258,2329327582,274.5,277.0,266.5,267.5,-3.0,19648
31,2024-10-21,3744337,1011992167,270.0,272.5,269.0,269.0,1.5,5392
32,2024-10-22,5754691,1567404194,270.5,274.0,268.0,274.0,5.0,7063
33,2024-10-23,5459289,1498993690,274.0,277.0,271.5,276.5,2.5,13220
34,2024-10-24,5261856,1431631191,276.0,276.0,269.0,270.0,-6.5,13730
35,2024-10-25,4629976,1270154785,271.0,276.5,271.0,275.0,5.0,5040
36,2024-10-28,6418425,1737421712,276.0,276.0,267.5,271.0,-4.0,14999
37,2024-10-29,5035998,1332205237,270.0,270.0,261.5,263.5,-7.5,7147
38,2024-10-30,3207452,844445891,265.0,266.0,261.0,261.5,-2.0,3724
39,2024-11-01,22551865,6244754605,256.0,285.0,256.0,282.0,20.5,20264
40,2024-11-04,11755180,3301602746,283.0,284.5,277.5,278.5,-3.5,37280
41,2024-11-05,27098414,7884563526,281.0,297.5,280.0,294.0,15.5,32722
42,2024-11-06,35589881,10806214826,297.0,308.0,297.0,303.0,9.0,42079
43,2024-11-07,16853053,5153706392,304.0,309.0,303.0,304.5,1.5,31845
44,2024-11-08,13104901,4007322675,305.5,309.0,301.5,305.5,1.0,23644
45,2024-11-11,8639082,2640823951,306.0,310.0,303.0,303.0,-2.5,42408
46,2024-11-12,9509104,2830734677,300.0,302.0,295.0,295.0,-8.0,38009
47,2024-11-13,10649627,3161040140,296.5,301.5,292.0,300.5,5.5,51568
48,2024-11-14,10360833,3060735627,301.5,302.5,291.0,291.0,-9.5,27556
49,2024-11-15,17440210,4912028627,285.0,288.5,273.5,282.5,-8.5,17837
50,2024-11-18,14929014,4093703736,280.0,280.5,270.0,275.5,-7.0,14551
51,2024-11-19,7164863,2011815310,276.0,284.0,274.5,282.5,7.0,6947
52,2024-11-20,7918436,2228207513,284.5,286.5,279.0,279.0,-3.5,7699
53,2024-11-21,6455396,1817591530,280.0,286.0,277.0,280.0,1.0,6679
54,2024-11-22,4955258,1407288983,284.5,286.5,281.5,281.5,1.5,6828
55,2024-11-25,8617746,2467257268,285.5,292.0,283.0,283.0,1.5,8324
56,2024-11-26,5513755,1566103993,282.0,289.0,278.0,284.0,1.0,12669
57,2024-11-27,9081414,2522715510,282.0,286.5,271.5,271.5,-12.5,25516
58,2024-11-28,6534428,1763585966,273.0,275.0,266.0,270.0,-1.5,13472
59,2024-11-29,4585781,1242233248,269.0,273.5,268.0,271.5,1.5,5692
60,2024-12-02,2462083,677206821,275.5,277.5,272.5,273.5,2.0,3016
61,2024-12-03,3323456,924346741,280.0,281.0,276.5,278.0,4.5,3273
62,2024-12-04,3445986,969563238,280.0,283.0,279.0,282.0,4.0,4031
63,2024-12-05,2742005,773545574,284.0,284.0,281.0,281.5,-0.5,7161
64,2024-12-06,2224415,627313692,283.0,285.0,280.0,281.5,0.0,2930
65,2024-12-09,5466899,1519450479,283.0,284.0,275.0,277.5,-4.0,8363
66,2024-12-10,3579449,979845538,276.5,277.0,272.0,274.0,-3.5,5815
67,2024-12-11,2462068,672894264,272.0,275.5,270.0,274.5,0.5,3169
68,2024-12-12,4000678,1092529356,274.5,276.0,271.0,271.5,-3.0,4877
69,2024-12-13,3012237,812517639,271.0,272.5,268.0,268.0,-3.5,4049
70,2024-12-16,6037046,1585602495,270.0,271.5,259.0,260.0,-8.0,9035
71,2024-12-17,3061247,813181932,260.0,269.0,260.0,268.0,8.0,3711
72,2024-12-18,2929783,789959381,263.0,273.0,263.0,272.0,4.0,7567
73,2024-12-19,2565681,691800549,267.5,272.0,267.0,272.0,0.0,6493
74,2024-12-20,3501543,948371382,272.0,273.0,268.5,271.0,-1.0,3173
75,2024-12-23,3349311,924402125,274.0,278.5,273.5,277.0,6.0,4307
76,2024-12-24,4328203,1209967704,279.0,282.0,277.0,280.5,3.5,5924
77,2024-12-25,5072534,1426535137,283.0,284.0,279.0,282.0,1.5,9062
78,2024-12-26,2326513,654435740,282.5,283.0,279.0,282.0,0.0,6919
79,2024-12-27,2579501,716861722,281.5,281.5,276.5,276.5,-5.5,5885
80,2024-12-30,2315918,640456420,277.0,278.5,274.5,274.5,-2.0,4014
81,2024-12-31,4500183,1221621335,274.0,276.0,269.0,272.5,-2.0,4508
82,2025-01-02,3408772,917918446,271.5,273.5,267.0,267.0,-5.5,4477
83,2025-01-03,3436488,931883209,269.0,274.0,267.5,273.0,6.0,3498
84,2025-01-06,11697974,3335719345,277.0,289.0,275.0,286.0,13.0,12273
85,2025-01-07,11426586,3288958949,290.0,293.5,283.5,283.5,-2.5,29794
86,2025-01-08,6256102,1789242916,283.0,290.0,282.5,284.5,1.0,18018
87,2025-01-09,4912060,1374947069,284.5,285.5,276.0,276.5,-8.0,10723
88,2025-01-10,4820593,1314507671,278.5,279.0,269.0,271.0,-5.5,6283
89,2025-01-13,7258748,1896501529,268.0,268.0,258.5,260.0,-11.0,9379
90,2025-01-14,4091768,1062600825,261.5,262.5,258.5,258.5,-1.5,5567
91,2025-01-15,9861127,2486930177,260.0,260.0,248.0,248.0,-10.5,13347
92,2025-01-16,4745736,1203039954,257.5,257.5,250.5,250.5,2.5,5000
93,2025-01-17,2716028,684258162,252.5,254.5,250.0,252.0,1.5,3744
94,2025-01-20,2275102,581411591,252.5,256.5,252.5,256.5,4.5,2892
95,2025-01-21,1657549,423140426,257.5,257.5,253.5,255.5,-1.0,2268
96,2025-01-22,3161326,803306079,257.0,257.5,252.5,253.5,-2.0,4156
97,2025-02-03,10045854,2367976278,232.0,240.5,230.0,236.0,-17.5,12931
98,2025-02-04,5999214,1449770869,239.0,245.0,239.0,240.5,4.5,5627
99,2025-02-05,3971735,989186075,243.0,252.5,242.0,251.5,11.0,4330
100,2025-02-06,4216447,1055830072,253.0,254.5,248.0,249.0,-2.5,5001
101,2025-02-07,2416064,608778467,250.0,254.0,249.0,254.0,5.0,4702
102,2025-02-10,2839278,717100919,252.0,255.0,249.0,254.5,0.5,3408
103,2025-02-11,3601024,931905742,257.0,262.5,256.5,257.0,2.5,6362
104,2025-02-12,4660247,1214859457,259.0,265.0,257.5,257.5,0.5,10418
105,2025-02-13,5646329,1488057913,260.5,266.0,260.5,264.0,6.5,7374
106,2025-02-14,3059858,797303053,262.5,263.0,259.5,260.0,-4.0,9545
107,2025-02-17,2750613,722688227,266.0,266.0,260.5,261.0,1.0,6495
108,2025-02-18,3777912,1005193629,263.0,268.0,262.5,267.5,6.5,5124
109,2025-02-19,4988232,1331028146,268.0,269.0,264.5,265.5,-2.0,8764
110,2025-02-20,2378311,634661035,266.5,268.5,265.5,267.5,2.0,5774
111,2025-02-21,1804898,483648777,266.0,269.0,265.0,269.0,1.5,3982
112,2025-02-24,1930859,511556563,266.0,266.5,263.5,265.5,-3.5,5960
113,2025-02-25,2476768,649305512,262.5,264.5,261.0,261.5,-4.0,7674
114,2025-02-26,1745587,461336461,260.5,266.5,259.5,266.5,5.0,5893
115,2025-02-27,3315454,864380338,267.0,267.0,258.5,258.5,-8.0,15343
116,2025-03-03,2791547,721440717,255.5,261.0,255.5,258.5,0.0,4002
117,2025-03-04,3822245,976102377,253.5,260.5,248.0,259.0,0.5,4394
118,2025-03-05,3369097,893383241,259.0,268.0,259.0,268.0,9.0,5337
119,2025-03-06,5407916,1469213819,270.0,273.5,268.5,272.5,4.5,6255
120,2025-03-07,2885822,772787110,269.0,272.0,265.0,265.0,-7.5,8709
121,2025-03-10,2093492,560206770,267.0,269.5,265.5,267.0,2.0,3642
122,2025-03-11,4912522,1286868362,260.0,266.5,255.0,264.0,-3.0,6370
123,2025-03-12,4075934,1080171511,265.0,269.5,261.0,262.0,-2.0,6881
124,2025-03-13,4410071,1142267571,263.0,264.0,255.0,256.0,-6.0,31483
125,2025-03-14,3666448,943742791,257.0,261.5,252.0,260.0,4.0,3205
126,2025-03-17,2340033,609133187,262.5,264.5,258.0,258.5,-1.5,3067
127,2025-03-18,2409361,634606220,259.0,265.0,259.0,265.0,6.5,2664
128,2025-03-19,2804921,739360189,265.0,266.0,261.5,264.0,-1.0,5968
129,2025-03-20,3096145,826095063,266.0,268.5,264.5,268.0,4.0,4213
130,2025-03-21,2870299,763942226,266.0,267.0,263.0,267.0,-1.0,3538
131,2025-03-24,2269662,605136254,269.0,269.0,264.5,266.5,-0.5,2518
