,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,8500099,1303115745,155.5,156.5,152.0,153.0,-0.5,5267
1,2024-09-03,7064674,1073915165,152.5,153.5,151.0,151.5,-1.5,4491
2,2024-09-04,20267352,2914348942,142.5,146.0,140.5,143.5,-8.0,12511
3,2024-09-05,7399656,1070420362,145.0,146.0,143.5,143.5,0.0,4883
4,2024-09-06,7403372,1059583291,144.0,145.0,141.5,141.5,-2.0,3967
5,2024-09-09,12456487,1762859624,138.0,143.0,137.5,142.0,0.5,5759
6,2024-09-10,9582301,1383151716,143.0,146.0,142.5,144.5,2.5,5416
7,2024-09-11,11482771,1629663264,143.5,144.0,141.0,142.0,-2.5,5684
8,2024-09-12,15082196,2228213084,146.0,149.5,146.0,147.5,5.5,7890
9,2024-09-13,9239184,1358870926,147.5,148.0,146.0,147.0,-0.5,5496
10,2024-09-16,21579299,3323846319,153.0,156.0,151.5,154.0,7.0,13019
11,2024-09-18,32408356,4913922812,152.5,155.5,149.0,152.5,-1.5,15884
12,2024-09-19,26227934,3945850238,150.5,152.5,148.0,152.0,-0.5,11145
13,2024-09-20,35560956,5487106093,156.0,157.0,152.5,154.5,2.5,11131
14,2024-09-23,17546019,2731973932,155.0,157.0,153.0,157.0,2.5,7493
15,2024-09-24,19958563,3099783991,155.0,157.0,152.0,157.0,0.0,7399
16,2024-09-25,24871084,3918611565,158.0,159.0,156.0,158.5,1.5,11933
17,2024-09-26,25492960,4092820439,158.0,162.5,158.0,162.5,4.0,14707
18,2024-09-27,26717769,4280778448,163.0,163.5,159.0,159.0,-3.5,13118
19,2024-09-30,18567667,2841712091,155.0,156.5,151.0,151.0,-8.0,13241
20,2024-10-01,10581957,1613154820,150.5,154.5,150.5,151.5,0.5,5955
21,2024-10-04,18726163,2830526352,150.0,153.5,149.0,151.0,-0.5,9117
22,2024-10-07,14192404,2185155542,153.0,155.0,152.0,155.0,4.0,6710
23,2024-10-08,12059586,1838529784,152.5,153.0,151.5,153.0,-2.0,5480
24,2024-10-09,10363308,1595411010,153.0,155.5,153.0,154.0,1.0,5471
25,2024-10-11,12079296,1878256051,155.0,157.0,153.5,155.0,1.0,7007
26,2024-10-14,18333189,2899573093,156.0,160.5,155.0,158.0,3.0,8601
27,2024-10-15,35033115,5784878276,159.5,169.0,158.5,168.5,10.5,24014
28,2024-10-16,34622911,5734312622,163.5,169.0,163.0,165.0,-3.5,20582
29,2024-10-17,14981316,2466127763,166.0,166.5,163.0,165.5,0.5,11128
