,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,13456830,2194999806,164.5,166.0,160.5,162.5,-1.0,8276
1,2024-09-03,20844557,3314560530,162.5,164.5,156.0,156.5,-6.0,15042
2,2024-09-04,39366857,5700886833,145.5,147.5,142.0,143.0,-13.5,33140
3,2024-09-05,20257850,2904119996,144.0,145.5,142.0,142.0,-1.0,13857
4,2024-09-06,11313474,1616366240,142.5,144.5,141.5,142.5,0.5,6706
5,2024-09-09,9589130,1360087288,139.0,143.5,139.0,142.0,-0.5,7157
6,2024-09-10,17557431,2475221562,143.0,144.5,138.0,139.5,-2.5,13978
7,2024-09-11,9729893,1349628755,140.5,140.5,137.5,138.0,-1.5,7594
8,2024-09-12,14073679,2042438792,143.0,147.0,142.5,146.0,8.0,10507
9,2024-09-13,12352823,1823362569,147.5,150.0,145.0,147.5,1.5,10062
10,2024-09-16,8305754,1219801732,148.0,149.5,145.5,146.5,-1.0,6516
11,2024-09-18,11602819,1674999068,147.0,147.0,142.0,143.0,-3.5,7314
12,2024-09-19,14102717,2043420609,144.0,148.0,141.5,147.0,4.0,8023
13,2024-09-20,14811802,2206568727,150.0,152.5,147.0,147.0,0.0,8719
14,2024-09-23,7394737,1097937631,149.0,149.5,146.5,149.5,2.5,5756
15,2024-09-24,12260100,1785421268,148.0,148.0,144.0,145.0,-4.5,9537
16,2024-09-25,13199155,1949980315,148.0,149.5,146.5,146.5,1.5,9069
17,2024-09-26,18713565,2765070887,148.5,151.0,145.5,146.5,0.0,10692
18,2024-09-27,35877459,5439482897,148.5,155.5,148.5,149.0,2.5,21628
19,2024-09-30,18645012,2724222906,147.0,149.5,144.0,144.0,-5.0,12706
20,2024-10-01,9207091,1330052954,145.0,146.0,143.0,144.5,0.5,6621
21,2024-10-04,17255588,2442332877,144.0,144.0,140.0,140.5,-4.0,10609
22,2024-10-07,14518172,2045194023,141.5,142.0,140.0,141.5,1.0,9356
23,2024-10-08,19032166,2623604629,140.0,141.0,137.0,137.0,-4.5,16874
24,2024-10-09,21627178,3095531448,139.5,146.0,139.5,142.5,5.5,14680
25,2024-10-11,13304794,1887528471,142.5,144.0,140.5,141.0,-1.5,9151
26,2024-10-14,8012894,1142798358,142.0,144.0,140.5,143.5,2.5,5346
27,2024-10-15,11120383,1604446906,144.5,145.5,143.0,145.0,1.5,7693
28,2024-10-16,13235973,1893306417,142.5,145.0,141.5,142.5,-2.5,6855
29,2024-10-17,24954940,3684227276,144.5,150.5,144.0,147.0,4.5,16566
30,2024-10-18,16944153,2479524876,149.5,150.0,143.5,144.5,-2.5,11832
31,2024-10-21,39756360,6005906719,146.0,154.0,145.5,151.5,7.0,25822
32,2024-10-22,78605238,12769540760,156.5,166.0,155.5,163.5,12.0,47037
33,2024-10-23,68085499,11363158864,166.5,169.0,164.0,167.5,4.0,47417
34,2024-10-24,33665183,5528965264,168.0,168.0,161.0,161.5,-6.0,20550
35,2024-10-25,25735547,4230771674,164.5,167.5,162.0,166.0,4.5,17596
36,2024-10-28,29840148,4908270593,167.0,167.5,161.5,166.0,0.0,26313
37,2024-10-29,24513540,3981939757,165.0,165.0,160.5,163.5,-2.5,15853
38,2024-10-30,44861891,7244382362,160.0,166.5,156.0,161.5,-2.0,29186
39,2024-11-01,32368477,5243839606,156.0,166.5,155.5,166.0,4.5,21109
40,2024-11-04,19924160,3272350771,167.0,167.5,162.5,163.5,-2.5,19124
41,2024-11-05,18447293,3056962065,163.5,168.0,163.5,165.0,1.5,11186
42,2024-11-06,11714727,1948415604,165.5,168.0,164.5,166.0,1.0,11417
43,2024-11-07,53432051,9271554404,167.0,177.0,166.0,176.5,10.5,36927
44,2024-11-08,35813759,6308352928,179.0,179.0,173.0,174.0,-2.5,34764
45,2024-11-11,16041328,2743984990,174.5,175.0,169.5,170.5,-3.5,12473
46,2024-11-12,18870472,3183595187,167.5,171.5,166.5,167.5,-3.0,12437
47,2024-11-13,20879154,3516581261,168.5,171.0,165.0,169.5,2.0,15070
48,2024-11-14,14952350,2489731673,168.5,170.0,164.0,166.0,-3.5,11281
49,2024-11-15,12161909,1999328018,166.5,167.5,162.0,163.5,-2.5,10478
50,2024-11-18,18093908,2867911951,163.0,163.0,156.5,159.0,-4.5,13353
51,2024-11-19,9143710,1463665998,161.0,162.5,159.0,159.5,0.5,6485
52,2024-11-20,9946676,1576659801,160.0,161.0,156.5,157.5,-2.0,7371
53,2024-11-21,10808296,1723673897,156.0,162.5,155.5,160.5,3.0,7860
54,2024-11-22,9591254,1547712961,162.0,163.0,160.0,161.0,0.5,7044
55,2024-11-25,12937092,2087670972,162.0,164.5,159.0,159.0,-2.0,8440
56,2024-11-26,10666019,1700074928,158.5,162.5,157.5,158.5,-0.5,8020
57,2024-11-27,21475353,3301005540,159.0,159.0,150.0,150.0,-8.5,17564
58,2024-11-28,25955354,3808081175,150.0,150.5,144.0,147.0,-3.0,16559
59,2024-11-29,10490704,1556528730,145.0,151.0,144.0,149.0,2.0,7778
60,2024-12-02,8955742,1339046985,151.0,151.5,148.5,148.5,-0.5,7136
61,2024-12-03,12007460,1802774977,151.0,153.0,148.5,149.0,0.5,8145
62,2024-12-04,10924695,1645769184,150.5,152.0,149.0,150.0,1.0,7016
63,2024-12-05,20272480,3103667362,151.0,156.0,149.0,153.5,3.5,13662
64,2024-12-06,11072765,1697873980,154.0,155.5,151.0,151.5,-2.0,8649
65,2024-12-09,12496512,1859865968,150.0,151.0,147.0,148.5,-3.0,9152
66,2024-12-10,6819107,1016307581,149.5,151.5,148.0,148.0,-0.5,5420
67,2024-12-11,6203098,920897873,147.5,150.5,146.5,148.0,0.0,6241
68,2024-12-12,12392903,1852164600,150.0,153.0,147.0,147.0,-1.0,8467
69,2024-12-13,23241873,3311192281,146.5,147.5,140.0,141.5,-5.5,20098
70,2024-12-16,18665386,2599878877,142.0,142.5,137.0,137.5,-4.0,16432
71,2024-12-17,12941601,1833267912,138.5,143.5,138.5,141.5,4.0,8595
72,2024-12-18,10009796,1427079339,142.0,144.0,140.5,143.0,1.5,7153
73,2024-12-19,12258798,1722355567,140.0,142.5,139.0,141.5,-1.5,8274
74,2024-12-20,9444036,1339367801,141.5,144.0,140.5,141.0,-0.5,5709
75,2024-12-23,15387617,2243300575,143.5,147.5,142.5,145.5,4.5,10611
76,2024-12-24,20492468,3030691624,147.5,151.5,145.0,145.5,0.0,17003
77,2024-12-25,10150136,1477917893,147.5,148.0,144.0,145.0,-0.5,7767
78,2024-12-26,8253911,1205768328,147.0,147.5,145.0,145.5,0.5,6236
79,2024-12-27,7264425,1060705358,145.5,148.0,145.0,145.0,-0.5,6110
80,2024-12-30,8208464,1167538621,144.5,144.5,141.0,141.5,-3.5,8077
81,2024-12-31,8225126,1157338355,140.5,142.0,139.5,141.0,-0.5,6067
82,2025-01-02,23662265,3481273241,142.0,149.5,141.0,147.0,6.0,16008
83,2025-01-03,23601062,3527186253,150.0,151.5,146.5,149.5,2.5,21809
84,2025-01-06,17611508,2672453762,151.5,153.5,149.5,151.5,2.0,16578
85,2025-01-07,19438368,3002051549,155.0,156.0,153.0,154.0,2.5,16170
86,2025-01-08,9635253,1479075905,153.0,154.5,152.5,153.0,-1.0,9672
87,2025-01-09,15474945,2298941211,151.5,152.0,145.5,145.5,-7.5,17475
88,2025-01-10,6873156,1002409278,145.5,148.0,144.5,145.0,-0.5,5186
89,2025-01-13,14729939,2059771322,144.0,144.0,137.5,140.0,-5.0,12893
90,2025-01-14,7594769,1067097687,140.0,141.5,139.5,140.5,0.5,5156
91,2025-01-15,8373775,1166324913,139.5,141.0,138.0,138.5,-2.0,6631
92,2025-01-16,6829116,973593152,141.5,143.5,141.5,142.0,3.5,4785
93,2025-01-17,3867528,548936193,143.0,143.5,141.0,142.0,0.0,4650
94,2025-01-20,9395111,1329397601,143.5,144.0,140.5,141.0,-1.0,7296
95,2025-01-21,15671189,2181789842,141.0,141.0,138.5,139.5,-1.5,12223
96,2025-01-22,21541442,2988871229,139.0,140.0,137.0,139.0,-0.5,14205
97,2025-02-03,42372518,5420569620,135.0,136.0,125.5,126.5,-12.5,34851
98,2025-02-04,32050404,3938418191,127.0,127.5,121.5,121.5,-5.0,23177
99,2025-02-05,18573840,2280985980,122.0,125.0,120.5,123.0,1.5,12919
100,2025-02-06,11631963,1443825982,123.5,125.0,123.0,123.5,0.5,8704
101,2025-02-07,10376117,1292927644,123.5,125.5,123.0,125.0,1.5,7963
102,2025-02-10,10442026,1302958042,125.5,126.0,123.5,123.5,-1.5,8553
103,2025-02-11,9656695,1210883776,124.5,127.0,124.0,124.5,1.0,8116
104,2025-02-12,14365378,1779382979,125.5,127.0,122.0,122.0,-2.5,11979
105,2025-02-13,18484287,2323386767,122.5,128.0,122.0,128.0,6.0,11861
106,2025-02-14,12917354,1634904844,128.5,128.5,125.5,126.5,-1.5,9280
107,2025-02-17,21050144,2637051572,125.5,126.5,124.0,125.0,-1.5,15761
108,2025-02-18,13749305,1747614830,125.5,128.5,125.0,128.0,3.0,10025
109,2025-02-19,32826030,4320155239,129.0,134.0,128.5,130.0,2.0,25232
110,2025-02-20,20451148,2625272845,131.5,132.0,127.0,127.5,-2.5,17379
111,2025-02-21,30653217,4023673887,127.5,133.5,127.0,131.5,4.0,18098
112,2025-02-24,15619617,2034680880,129.0,132.0,128.5,130.5,-1.0,11641
113,2025-02-25,14615685,1905740994,129.0,131.5,129.0,129.5,-1.0,10056
114,2025-02-26,24594723,3087306571,126.5,127.0,124.0,125.5,-4.0,20561
115,2025-02-27,48884472,5878464487,124.0,125.0,117.5,118.0,-7.5,46300
116,2025-03-03,23385297,2677835167,114.0,117.0,113.0,114.0,-4.0,17278
117,2025-03-04,27221360,3063276975,111.5,114.0,110.5,113.5,-0.5,16347
118,2025-03-05,15317030,1765918666,115.0,116.5,113.5,116.0,2.5,11343
119,2025-03-06,11822586,1353982446,116.5,116.5,113.5,113.5,-2.5,10651
120,2025-03-07,14395533,1621938597,112.0,114.5,111.5,112.0,-1.5,9808
121,2025-03-10,11730492,1338026126,114.0,115.5,113.0,113.0,1.0,7505
122,2025-03-11,23006242,2488514940,109.0,109.5,106.0,109.5,-3.5,15192
123,2025-03-12,9461612,1054276801,110.0,113.0,109.5,112.0,2.5,6918
124,2025-03-13,18285159,2013014908,113.5,114.5,107.5,107.5,-4.5,14717
125,2025-03-14,30754863,3242243136,107.0,107.5,103.5,106.0,-1.5,17711
126,2025-03-17,20912192,2232885600,107.0,108.5,105.5,107.5,1.5,9638
127,2025-03-18,7220231,781250932,107.5,109.0,107.5,108.0,0.5,5275
128,2025-03-19,15478599,1637894535,107.0,108.5,104.0,104.5,-3.5,10900
129,2025-03-20,11968322,1295657569,106.5,109.5,106.0,109.5,5.0,7396
130,2025-03-21,12050588,1320573321,109.5,111.0,108.0,110.0,0.5,6866
131,2025-03-24,8092120,874669580,111.0,111.5,106.5,106.5,-3.5,6293
132,2025-03-25,9140092,977821070,108.5,109.5,106.0,106.0,-0.5,5766
133,2025-03-26,5758890,618748300,107.0,108.5,107.0,107.0,1.0,3958
134,2025-03-27,8408689,878208100,105.5,105.5,103.5,104.5,-2.5,6780
135,2025-03-28,32220348,3213923331,103.5,103.5,98.0,99.0,-5.5,24729
136,2025-03-31,29117227,2740538131,94.5,96.6,92.0,92.5,-6.5,20336
137,2025-04-01,19448435,1829684386,94.6,95.8,92.2,95.4,2.9,13614
138,2025-04-02,14472394,1370653614,94.5,96.4,93.0,96.4,1.0,10438
139,2025-04-07,1726645,149872184,86.8,86.8,86.8,86.8,-9.6,2863
140,2025-04-08,16644192,1306725246,78.5,80.5,78.2,78.2,-8.6,10296
141,2025-04-09,27967371,1995753984,71.5,74.4,70.4,70.4,-7.8,18294
142,2025-04-10,15838720,1225588592,77.4,77.4,76.8,77.4,7.0,9292
143,2025-04-11,37134104,2882752321,76.0,80.8,73.4,78.3,0.9,59997
144,2025-04-14,27575720,2346041044,84.6,86.1,83.4,84.7,6.4,23045
145,2025-04-15,29483850,2619911725,87.0,90.3,86.7,88.8,4.1,23486
146,2025-04-16,18142075,1563415592,86.4,87.8,85.2,85.2,-3.6,15767
147,2025-04-17,12533638,1052773539,83.7,85.1,82.7,84.7,-0.5,8909
148,2025-04-18,8575323,730537119,84.7,86.4,84.3,85.2,0.5,6126
149,2025-04-21,10509509,864828996,84.5,84.9,81.0,81.2,-4.0,7822
150,2025-04-22,11446338,933060744,79.4,83.5,79.3,81.0,-0.2,8068
151,2025-04-23,31939800,2826416098,86.3,89.1,86.2,88.8,7.8,19830
152,2025-04-24,23310943,2035311128,88.8,89.3,85.8,86.5,-2.3,18071
153,2025-04-25,37166508,3440069036,90.8,94.4,90.6,92.6,6.1,22502
154,2025-04-28,28567775,2704517348,93.5,96.0,92.8,95.3,2.7,25650
155,2025-04-29,23188041,2221593716,95.5,96.4,94.6,96.0,0.7,22924
156,2025-04-30,17472137,1657752024,95.2,96.7,93.6,93.9,-2.1,24727
157,2025-05-02,16011366,1524289307,95.0,96.4,94.2,94.6,0.7,11505
158,2025-05-05,24571382,2286927944,95.5,96.2,90.6,92.5,-2.1,17470
159,2025-05-06,8914894,821141566,91.0,93.2,91.0,92.3,-0.2,11193
160,2025-05-07,9800618,894623640,92.6,93.2,90.5,90.9,-1.4,7680
161,2025-05-08,9222086,854707627,91.6,93.2,91.3,92.6,1.7,6544
162,2025-05-09,9669770,900959691,93.6,94.4,91.9,93.9,1.3,6420
163,2025-05-12,28936862,2873714484,95.2,102.0,95.1,101.0,7.1,20585
164,2025-05-13,31457143,3198528590,104.0,106.0,99.4,99.8,-1.2,23397
165,2025-05-14,19040392,1941752363,101.5,103.5,100.0,102.5,2.7,11514
166,2025-05-15,10258210,1035786776,102.0,102.0,100.0,101.0,-1.5,6301
167,2025-05-16,12034887,1231300769,102.5,103.5,101.0,102.0,1.0,8416
168,2025-05-19,9640226,966633467,102.0,102.5,99.0,99.0,-3.0,7443
169,2025-05-20,13218867,1340248269,100.5,103.5,99.9,100.5,1.5,7361
170,2025-05-21,10029451,1020291876,101.0,103.0,100.0,102.5,2.0,5746
171,2025-05-22,8702429,881752501,101.5,102.5,100.5,102.0,-0.5,5316
172,2025-05-23,37781246,4015177987,102.0,108.5,101.5,106.0,4.0,23366
173,2025-05-26,18075343,1891349093,106.0,106.5,103.5,104.0,-2.0,11602
174,2025-05-27,68253739,7492798745,106.0,112.5,104.5,110.5,6.5,36458
175,2025-05-28,74406490,8222139681,112.0,115.0,105.5,109.5,-1.0,38171
176,2025-05-29,31984482,3422064106,111.5,111.5,106.0,106.0,-3.5,16767
