,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,431645,13221787,31.0,31.0,30.5,30.55,-0.35,410
1,2024-09-03,605048,18352805,30.4,30.45,30.2,30.2,-0.35,501
2,2024-09-04,1511324,44505239,29.75,29.75,29.1,29.3,-0.9,1426
3,2024-09-05,600350,17636737,29.4,29.75,29.15,29.2,-0.1,622
4,2024-09-06,205381,5995993,29.2,29.3,29.05,29.25,0.05,254
5,2024-09-09,419409,12141399,28.8,29.15,28.8,29.1,-0.15,440
6,2024-09-10,259801,7561898,29.2,29.3,29.0,29.15,0.05,293
7,2024-09-11,257040,7517033,29.4,29.4,29.15,29.15,0.0,247
8,2024-09-12,359531,10620298,29.5,29.8,29.35,29.6,0.45,312
9,2024-09-13,423853,12688140,29.45,30.3,29.45,29.8,0.2,330
10,2024-09-16,515342,15577753,29.8,30.45,29.8,30.2,0.4,430
11,2024-09-18,657100,20036062,30.2,30.7,30.2,30.35,0.15,539
12,2024-09-19,216552,6582575,30.45,30.5,30.25,30.45,0.1,376
13,2024-09-20,661712,20177774,30.65,30.65,30.15,30.65,0.2,479
14,2024-09-23,304400,9268951,30.65,30.75,30.3,30.4,-0.25,386
15,2024-09-24,403111,12281004,30.5,30.55,30.3,30.45,0.05,306
16,2024-09-25,432921,13301367,30.65,30.8,30.6,30.75,0.3,466
17,2024-09-26,339558,10467676,30.7,31.0,30.65,30.65,-0.1,622
18,2024-09-27,398127,12242780,30.85,30.9,30.6,30.75,0.1,425
19,2024-09-30,589797,18217871,30.75,31.2,30.7,30.9,0.15,623
20,2024-10-01,458749,14068533,30.85,31.0,30.55,30.6,-0.3,532
21,2024-10-04,332300,10111555,30.7,30.7,30.35,30.35,-0.25,413
22,2024-10-07,834395,25838301,30.5,31.1,30.5,31.0,0.65,730
23,2024-10-08,282783,8662194,30.7,30.8,30.55,30.6,-0.4,456
24,2024-10-09,294114,8939333,30.8,30.8,30.3,30.3,-0.3,420
25,2024-10-11,408132,12381160,30.6,30.6,30.15,30.2,-0.1,289
26,2024-10-14,230906,6967521,30.2,30.25,30.1,30.1,-0.1,304
27,2024-10-15,310700,9349847,30.15,30.3,30.0,30.05,-0.05,347
28,2024-10-16,2530462,78962606,30.0,31.6,29.9,31.6,1.55,829
29,2024-10-17,689634,21280905,31.1,31.1,30.7,30.85,-0.75,706
30,2024-10-18,280874,8647226,30.85,30.95,30.65,30.65,-0.2,337
31,2024-10-21,351508,10820044,31.0,31.0,30.6,30.6,-0.05,343
32,2024-10-22,115690,3547561,30.75,30.75,30.6,30.7,0.1,167
33,2024-10-23,241492,7400419,30.6,30.8,30.55,30.55,-0.15,260
34,2024-10-24,270584,8250219,30.5,30.65,30.35,30.35,-0.2,249
35,2024-10-25,141933,4313195,30.35,30.5,30.25,30.35,0.0,179
36,2024-10-28,253391,7752363,30.5,30.75,30.4,30.65,0.3,252
37,2024-10-29,278674,8460459,30.5,30.55,30.2,30.25,-0.4,366
38,2024-10-30,364907,11055288,30.6,30.6,30.15,30.25,0.0,198
39,2024-11-01,1201154,37133619,30.25,31.3,30.25,31.2,0.95,869
40,2024-11-04,257067,7917548,31.2,31.2,30.65,30.65,-0.55,613
41,2024-11-05,126102,3877074,30.9,30.9,30.65,30.7,0.05,162
42,2024-11-06,113004,3462484,30.55,30.9,30.55,30.6,-0.1,241
43,2024-11-07,238071,7274289,30.5,30.7,30.45,30.55,-0.05,244
44,2024-11-08,927701,27891529,30.45,30.45,29.8,30.0,-0.55,802
45,2024-11-11,322637,9666751,29.95,30.1,29.85,29.9,-0.1,288
46,2024-11-12,545758,16177016,29.8,29.85,29.5,29.55,-0.35,490
47,2024-11-13,503844,14801885,29.5,29.5,29.3,29.3,-0.25,468
48,2024-11-14,553106,16076430,29.1,29.25,29.0,29.0,-0.3,509
49,2024-11-15,274814,8005487,29.0,29.3,29.0,29.2,0.2,306
50,2024-11-18,665411,19582382,29.3,29.75,29.1,29.35,0.15,581
51,2024-11-19,546306,16012717,29.4,29.55,29.15,29.3,-0.05,436
52,2024-11-20,462565,13479723,29.3,29.3,29.05,29.15,-0.15,475
53,2024-11-21,144006,4204299,29.15,29.35,29.05,29.25,0.1,160
54,2024-11-22,238800,7016874,29.35,29.5,29.25,29.45,0.2,181
55,2024-11-25,548144,16273446,29.65,29.8,29.5,29.8,0.35,384
56,2024-11-26,193212,5741804,29.9,29.9,29.65,29.65,-0.15,478
57,2024-11-27,235069,6913029,29.55,29.7,29.2,29.3,-0.35,297
58,2024-11-28,163042,4774420,29.2,29.35,29.2,29.3,0.0,156
59,2024-11-29,138862,4049457,29.15,29.3,28.95,29.25,-0.05,175
