,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,118166,18466764,156.0,157.5,155.0,156.0,0.5,150
1,2024-09-03,156649,24131286,157.5,157.5,152.5,152.5,-3.5,334
2,2024-09-04,264462,38415582,145.0,147.0,142.0,145.0,-7.5,509
3,2024-09-05,182336,26723433,147.5,148.5,145.0,145.0,0.0,276
4,2024-09-06,92302,13493310,145.5,147.0,144.5,146.5,1.5,148
5,2024-09-09,116432,16623115,141.0,145.0,141.0,143.5,-3.0,199
6,2024-09-10,165590,23569285,145.0,146.0,139.5,140.0,-3.5,259
7,2024-09-11,82553,11614700,139.0,141.5,139.0,140.5,0.5,115
8,2024-09-12,82488,11816858,143.0,144.0,142.0,142.5,2.0,135
9,2024-09-13,85071,12165676,142.5,143.5,142.5,143.5,1.0,131
10,2024-09-16,59355,8553299,143.5,145.0,143.0,145.0,1.5,98
11,2024-09-18,92620,13329089,145.0,146.0,142.0,142.5,-2.5,143
12,2024-09-19,102096,14948495,143.0,148.0,143.0,147.5,5.0,160
13,2024-09-20,103824,15473511,148.5,150.5,147.5,148.5,1.0,139
14,2024-09-23,44102,6613482,150.5,151.0,149.0,150.0,1.5,87
15,2024-09-24,95534,14275698,152.0,152.0,148.0,149.5,-0.5,204
16,2024-09-25,158558,24429101,150.5,155.0,150.5,153.5,4.0,207
17,2024-09-26,86119,13207216,155.0,155.5,151.0,153.5,0.0,346
18,2024-09-27,102104,15770951,156.0,156.0,153.5,153.5,0.0,145
19,2024-09-30,79491,11979594,151.0,152.5,149.5,150.0,-3.5,357
20,2024-10-01,91998,13856008,151.0,151.5,149.0,150.5,0.5,127
21,2024-10-04,128850,19174124,152.5,152.5,146.5,146.5,-4.0,315
22,2024-10-07,62868,9374496,150.0,150.0,148.5,148.5,2.0,349
23,2024-10-08,94698,13829084,148.0,148.0,145.0,145.5,-3.0,293
24,2024-10-09,92475,13464007,146.5,148.0,144.5,145.0,-0.5,188
25,2024-10-11,65404,9545446,145.0,146.5,145.0,145.5,0.5,121
26,2024-10-14,79498,11615098,146.0,147.5,145.0,147.0,1.5,116
27,2024-10-15,87394,12968373,148.0,149.0,147.5,148.0,1.0,188
28,2024-10-16,123291,18050699,147.5,147.5,145.5,147.5,-0.5,282
29,2024-10-17,67476,9975272,147.5,150.0,146.5,148.0,0.5,130
30,2024-10-18,121879,17979712,149.5,149.5,146.0,146.0,-2.0,416
31,2024-10-21,226708,33209909,148.5,148.5,145.5,146.0,0.0,366
32,2024-10-22,102375,15001604,148.0,148.0,146.0,146.0,0.0,297
33,2024-10-23,69695,10212177,146.0,147.5,145.5,146.5,0.5,124
34,2024-10-24,143124,20706359,146.5,146.5,143.0,143.0,-3.5,210
35,2024-10-25,118531,16820855,143.0,143.5,141.0,142.0,-1.0,221
36,2024-10-28,1740168,228533930,141.0,141.0,128.0,129.0,-13.0,1853
37,2024-10-29,329638,42694836,129.0,130.5,128.0,129.0,0.0,482
38,2024-10-30,134462,17462960,130.5,131.0,129.0,129.5,0.5,231
39,2024-11-01,112757,14433947,127.0,130.0,125.0,129.5,0.0,201
40,2024-11-04,73248,9431774,128.5,129.5,128.0,128.5,-1.0,140
41,2024-11-05,160105,20932608,129.0,131.5,129.0,130.5,2.0,183
42,2024-11-06,120667,15885874,130.5,132.5,130.5,132.5,2.0,173
43,2024-11-07,116212,15388329,131.0,133.5,130.5,132.5,0.0,181
44,2024-11-08,423310,54195873,130.0,130.5,126.5,127.5,-5.0,602
45,2024-11-11,250431,30977709,126.0,126.5,122.0,123.5,-4.0,421
46,2024-11-12,361285,43323459,123.0,123.0,118.0,118.5,-5.0,556
47,2024-11-13,196455,23166367,118.0,119.0,117.0,117.5,-1.0,315
48,2024-11-14,120041,14112415,117.0,118.5,116.0,117.5,0.0,167
49,2024-11-15,109326,13028322,117.5,120.0,117.5,118.0,0.5,189
50,2024-11-18,86671,10326108,117.5,120.5,117.5,120.0,2.0,114
51,2024-11-19,54860,6648532,120.5,122.5,119.5,122.0,2.0,104
52,2024-11-20,81399,9839334,122.5,123.0,119.5,120.5,-1.5,199
53,2024-11-21,23911,2878440,119.0,121.5,119.0,120.0,-0.5,49
54,2024-11-22,54096,6589099,120.0,122.5,120.0,122.5,2.5,119
55,2024-11-25,64381,7978845,123.5,124.5,123.0,123.5,1.0,100
56,2024-11-26,55105,6812664,124.0,125.0,123.0,123.5,0.0,101
57,2024-11-27,83298,10131981,123.0,123.0,120.5,120.5,-3.0,144
58,2024-11-28,414720,51612103,122.5,130.0,121.5,121.5,1.0,448
59,2024-11-29,70921,8599080,120.5,123.0,119.5,123.0,1.5,181
60,2024-12-02,24827,3059260,123.0,123.5,122.5,123.0,0.0,46
61,2024-12-03,52862,6568091,124.5,125.5,123.5,123.5,0.5,92
62,2024-12-04,103571,12930134,125.0,126.0,123.5,125.5,2.0,290
63,2024-12-05,120365,15374234,126.0,129.0,126.0,128.0,2.5,367
64,2024-12-06,85927,10875940,128.5,128.5,125.0,126.5,-1.5,451
65,2024-12-09,41491,5219564,127.5,127.5,125.0,125.0,-1.5,87
66,2024-12-10,29516,3685945,125.5,125.5,124.5,124.5,-0.5,102
67,2024-12-11,43101,5386597,124.5,125.5,123.5,124.5,0.0,66
68,2024-12-12,35254,4459086,127.0,127.5,125.5,126.0,1.5,109
69,2024-12-13,46645,5761592,124.5,125.0,122.5,122.5,-3.5,99
70,2024-12-16,83183,10019116,123.0,123.0,118.0,120.0,-2.5,168
71,2024-12-17,26421,3196074,120.0,121.5,120.0,121.0,1.0,69
