,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,511406,178858097,349.0,353.0,348.0,348.0,-1.0,540
1,2024-09-03,1081984,378796609,350.0,354.0,348.0,348.0,0.0,684
2,2024-09-04,2318659,758427002,328.0,333.0,321.5,324.0,-24.0,4851
3,2024-09-05,1120831,366634775,328.0,331.5,323.0,323.5,-0.5,1312
4,2024-09-06,983518,321079950,325.0,329.0,320.0,327.0,3.5,1067
5,2024-09-09,1785388,560216051,310.0,322.0,306.0,321.5,-5.5,1991
6,2024-09-10,631913,203487851,320.5,326.5,318.5,319.5,-2.0,996
7,2024-09-11,712047,229463269,322.0,325.0,320.0,320.0,0.5,549
8,2024-09-12,803798,260581244,326.5,326.5,319.5,323.5,3.5,1858
9,2024-09-13,477541,155625232,323.5,328.0,323.5,325.5,2.0,1295
10,2024-09-16,545133,177217442,327.0,328.0,322.5,325.5,0.0,1503
11,2024-09-18,761209,244606575,328.5,328.5,319.0,320.0,-5.5,1074
12,2024-09-19,988615,317603639,320.5,325.5,318.0,322.5,2.5,1001
13,2024-09-20,1788773,593614081,327.0,333.5,327.0,332.5,10.0,1554
14,2024-09-23,588065,197518433,336.5,338.5,327.5,336.0,3.5,753
15,2024-09-24,677052,223606954,335.5,335.5,325.5,332.0,-4.0,1075
16,2024-09-25,1248435,424465937,340.0,345.0,335.5,336.5,4.5,1356
17,2024-09-26,1293726,438102581,341.0,343.0,334.5,338.5,2.0,1353
18,2024-09-27,1060710,358641197,344.0,344.0,335.0,338.0,-0.5,1285
19,2024-09-30,1900123,617478931,324.0,331.5,321.5,321.5,-16.5,2533
20,2024-10-01,1344367,429620314,320.0,323.0,318.0,319.0,-2.5,2420
21,2024-10-04,2212044,704653309,312.5,322.0,312.5,319.0,0.0,1621
22,2024-10-07,1394450,441493275,319.5,320.5,313.0,316.0,-3.0,2012
23,2024-10-08,1720120,540355968,313.5,317.5,311.5,314.0,-2.0,1715
24,2024-10-09,1516399,482772449,313.5,322.0,313.5,318.5,4.5,1342
25,2024-10-11,975492,311637135,323.0,323.0,316.5,317.5,-1.0,1810
26,2024-10-14,751054,240508581,319.0,323.5,315.5,323.5,6.0,1780
27,2024-10-15,705087,230398901,324.5,329.5,322.0,327.0,3.5,1058
28,2024-10-16,829770,266386974,321.0,323.0,319.0,321.5,-5.5,2484
29,2024-10-17,303489,98378606,320.0,326.5,320.0,325.0,3.5,417
30,2024-10-18,689596,224897145,329.0,331.0,323.5,324.5,-0.5,899
31,2024-10-21,639903,209934185,331.5,332.0,325.5,328.0,3.5,778
32,2024-10-22,1556393,501649857,321.5,325.0,318.5,321.5,-6.5,2296
33,2024-10-23,1343344,427479457,320.0,324.5,315.5,316.0,-5.5,2051
34,2024-10-24,689371,218527301,313.0,320.5,312.0,318.0,2.0,947
35,2024-10-25,356369,113459291,320.0,321.0,317.0,318.0,0.0,696
36,2024-10-28,448122,143199384,321.5,322.5,316.5,320.0,2.0,757
37,2024-10-29,911017,288882706,325.5,325.5,313.5,316.0,-4.0,1253
38,2024-10-30,1058474,337680573,313.5,321.5,313.5,320.0,4.0,1017
39,2024-11-01,2124674,653245682,298.0,314.5,298.0,313.5,-6.5,3604
40,2024-11-04,752329,239591524,315.5,322.0,313.0,322.0,8.5,960
41,2024-11-05,862594,278998236,322.0,326.5,319.0,325.0,3.0,1784
42,2024-11-06,1196886,391232565,325.5,329.5,325.0,327.0,2.0,2277
43,2024-11-07,1419627,476593150,324.0,341.0,323.5,336.5,9.5,1909
44,2024-11-08,1343052,450636483,339.5,341.0,332.0,333.5,-3.0,1365
45,2024-11-11,2945188,952066401,324.5,328.0,319.5,324.0,-9.5,8837
46,2024-11-12,2648308,850552477,319.5,323.5,319.0,321.5,-2.5,2318
47,2024-11-13,2080882,673425461,319.0,325.5,319.0,325.0,3.5,1990
48,2024-11-14,1678896,549430412,324.0,329.5,324.0,328.0,3.0,1426
49,2024-11-15,1227799,404928458,328.0,337.0,326.0,327.0,-1.0,2845
50,2024-11-18,935153,304852813,326.5,327.5,323.5,327.0,0.0,1135
51,2024-11-19,1035925,340211284,323.0,332.0,323.0,331.5,4.5,996
52,2024-11-20,1735322,584463664,331.5,340.0,329.0,340.0,8.5,1436
53,2024-11-21,1153576,394330396,337.5,344.0,337.0,342.0,2.0,1252
54,2024-11-22,1272356,443892137,345.0,351.5,345.0,349.0,7.0,1474
55,2024-11-25,4340287,1532083386,358.0,359.0,349.5,349.5,0.5,2305
56,2024-11-26,696614,242261333,346.5,351.5,344.5,347.5,-2.0,916
57,2024-11-27,961800,335021893,345.0,352.0,343.5,346.5,-1.0,1120
58,2024-11-28,801452,276191152,346.5,348.5,341.5,342.5,-4.0,946
59,2024-11-29,1103455,371595398,337.5,342.0,333.5,335.5,-7.0,1060
60,2024-12-02,1077222,374980710,340.5,352.0,337.5,347.0,11.5,1300
61,2024-12-03,2533616,911200949,350.0,364.0,348.0,362.0,15.0,2860
62,2024-12-04,895246,322857686,361.0,365.0,358.5,360.0,-2.0,1041
63,2024-12-05,553559,199452297,359.0,362.5,357.0,360.0,0.0,768
64,2024-12-06,518285,185594614,360.0,361.0,356.0,357.0,-3.0,1024
65,2024-12-09,578325,205485932,357.0,359.0,351.0,355.5,-1.5,875
66,2024-12-10,706595,250225978,357.5,357.5,352.0,353.5,-2.0,638
67,2024-12-11,598827,212663256,350.5,357.5,350.0,355.0,1.5,736
68,2024-12-12,999708,351926591,352.0,355.5,349.0,352.0,-3.0,870
69,2024-12-13,578875,204371578,352.0,355.5,349.5,352.5,0.5,747
70,2024-12-16,845618,297326060,355.0,357.0,349.5,351.0,-1.5,815
71,2024-12-17,1460226,513223745,349.0,354.0,349.0,351.5,0.5,769
72,2024-12-18,851333,303911183,351.0,359.0,350.5,359.0,7.5,1046
73,2024-12-19,1251688,437083188,346.0,352.5,345.0,352.5,-6.5,1479
74,2024-12-20,1706523,583433364,347.0,351.5,339.0,339.0,-13.5,1982
75,2024-12-23,1052895,367172186,342.0,351.5,342.0,351.5,12.5,1089
