,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,1616531,72512776,45.2,45.2,44.65,44.7,-0.2,1418
1,2024-09-03,5539488,250417031,44.95,45.7,44.7,44.75,0.05,3493
2,2024-09-04,7540286,319000154,43.0,43.0,41.5,41.85,-2.9,5827
3,2024-09-05,2815294,119441643,42.35,42.95,41.9,42.15,0.3,1925
4,2024-09-06,1778232,75481518,42.3,42.75,41.8,42.65,0.5,1250
5,2024-09-09,3564612,149572478,41.0,42.8,41.0,42.75,0.1,1961
6,2024-09-10,6124111,266463217,43.8,44.25,42.75,43.1,0.35,4066
7,2024-09-11,3738769,163703534,43.5,44.4,43.35,43.45,0.35,2538
8,2024-09-12,8488220,380631744,44.6,45.3,44.3,45.15,1.7,4864
9,2024-09-13,13246233,607166871,45.85,46.3,45.4,45.9,0.75,8414
10,2024-09-16,4938615,226827993,46.0,46.2,45.65,46.1,0.2,3111
11,2024-09-18,7360364,336656356,46.65,46.65,45.1,45.1,-1.0,6475
12,2024-09-19,3176854,144834691,45.15,45.8,45.15,45.75,0.65,2062
13,2024-09-20,4750576,217590586,46.0,46.35,45.4,45.4,-0.35,2558
14,2024-09-23,2770703,126006948,45.95,45.95,45.25,45.3,-0.1,2018
15,2024-09-24,3367070,152653351,45.7,45.7,44.9,45.45,0.15,2570
16,2024-09-25,6016461,277029022,46.0,46.25,45.7,45.9,0.45,4123
17,2024-09-26,4430677,203617171,46.1,46.4,45.45,45.45,-0.45,3413
18,2024-09-27,3118205,143098686,45.95,46.1,45.7,45.9,0.45,2020
19,2024-09-30,2797830,126935439,45.65,45.8,45.0,45.0,-0.9,2410
20,2024-10-01,3449944,154875599,45.1,45.4,44.45,45.3,0.3,2157
21,2024-10-04,3645857,165427926,45.3,45.85,45.0,45.45,0.15,2284
22,2024-10-07,2486861,113453696,45.6,45.75,45.45,45.75,0.3,1787
23,2024-10-08,3997532,182891403,45.9,46.2,45.35,45.7,-0.05,2688
24,2024-10-09,20841717,972913380,46.25,47.65,45.7,45.7,0.0,11990
25,2024-10-11,9135544,425337565,46.15,47.2,46.05,46.35,0.65,5912
