,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,18676875,1900105806,102.5,103.5,100.0,100.0,-1.5,9187
1,2024-09-03,29420179,2928230445,100.0,101.0,98.5,99.1,-0.9,17222
2,2024-09-04,36590388,3467039010,94.5,96.6,92.6,94.0,-5.1,28949
3,2024-09-05,15039239,1428090641,95.0,95.9,93.7,94.0,0.0,11493
4,2024-09-06,20965949,2036303085,94.4,98.5,94.0,98.0,4.0,14948
5,2024-09-09,21633888,2073179082,95.9,96.8,94.7,96.8,-1.2,16354
6,2024-09-10,14654068,1399812178,97.4,97.8,94.0,94.3,-2.5,11248
7,2024-09-11,8277213,786899921,95.0,95.7,94.5,94.5,0.2,5549
8,2024-09-12,27864574,2755618199,96.8,99.9,96.8,99.3,4.8,18602
9,2024-09-13,20438830,2050752118,100.0,101.5,99.1,101.0,1.7,15724
10,2024-09-16,19126087,1955359352,102.0,103.0,101.0,103.0,2.0,11387
11,2024-09-18,18508719,1897496111,102.5,103.5,101.0,101.5,-1.5,11806
12,2024-09-19,10461459,1069706217,102.5,103.0,101.5,102.5,1.0,6452
13,2024-09-20,30215927,3072490317,103.5,104.0,101.0,101.0,-1.5,9039
14,2024-09-23,8921369,904206240,101.5,102.0,101.0,101.5,0.5,4837
15,2024-09-24,13348910,1359886246,101.5,102.5,100.5,102.5,1.0,7143
16,2024-09-25,31751525,3315935954,103.5,105.0,103.0,104.5,2.0,18877
17,2024-09-26,19671428,2042935128,105.5,106.0,103.0,103.5,-1.0,15699
18,2024-09-27,16785325,1753461143,104.5,105.5,103.5,104.0,0.5,8592
19,2024-09-30,11898003,1215345129,103.5,103.5,101.0,101.0,-3.0,12198
20,2024-10-01,7399452,750941233,101.5,102.5,101.0,101.5,0.5,7093
21,2024-10-04,20575626,2084861487,102.0,103.5,100.0,100.0,-1.5,12418
22,2024-10-07,15669859,1602000688,102.0,103.5,101.5,102.0,2.0,8699
23,2024-10-08,16807564,1700662081,101.0,102.0,100.5,102.0,0.0,9102
24,2024-10-09,40350903,4225721045,103.5,105.5,103.0,105.0,3.0,22700
25,2024-10-11,56010297,6032915566,105.5,109.0,104.5,108.5,3.5,34315
26,2024-10-14,31497780,3415166889,109.5,110.0,107.5,109.0,0.5,21027
27,2024-10-15,44052220,4825850331,110.0,111.0,108.0,109.0,0.0,25362
28,2024-10-16,26720082,2910782716,107.0,110.0,106.5,109.5,0.5,16386
29,2024-10-17,25097948,2763564212,109.5,111.0,109.0,110.5,1.0,15659
30,2024-10-18,38007366,4221891899,112.5,113.0,109.0,109.0,-1.5,20357
31,2024-10-21,16091842,1777906185,110.0,111.5,109.5,110.5,1.5,9551
32,2024-10-22,41246083,4627828240,111.0,113.0,109.5,113.0,2.5,24370
