,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,795897,1500281870,1925.0,1930.0,1855.0,1855.0,-45.0,3730
1,2024-09-03,828319,1546072485,1860.0,1895.0,1840.0,1840.0,-15.0,2153
2,2024-09-04,3192873,5391655255,1715.0,1725.0,1665.0,1675.0,-165.0,12838
3,2024-09-05,1246839,2088816035,1700.0,1700.0,1660.0,1660.0,-15.0,4095
4,2024-09-06,1427272,2436189660,1665.0,1740.0,1655.0,1715.0,55.0,3110
5,2024-09-09,1135583,1925292890,1665.0,1735.0,1660.0,1715.0,0.0,2499
6,2024-09-10,1350069,2294162290,1725.0,1760.0,1655.0,1675.0,-40.0,4044
7,2024-09-11,2436340,4032319305,1690.0,1690.0,1635.0,1650.0,-25.0,4766
8,2024-09-12,2905100,5203588540,1760.0,1815.0,1740.0,1815.0,165.0,4833
9,2024-09-13,2592017,4686653920,1830.0,1845.0,1780.0,1780.0,-35.0,4331
10,2024-09-16,1056232,1904648660,1800.0,1820.0,1780.0,1820.0,40.0,2169
11,2024-09-18,2569330,4479033045,1790.0,1790.0,1705.0,1715.0,-105.0,6894
12,2024-09-19,2161471,3856751960,1740.0,1830.0,1725.0,1820.0,105.0,3912
13,2024-09-20,1403846,2531735140,1850.0,1870.0,1770.0,1770.0,-50.0,3954
14,2024-09-23,985643,1764585165,1805.0,1815.0,1770.0,1775.0,5.0,2068
15,2024-09-24,1699262,3039553340,1780.0,1805.0,1765.0,1795.0,20.0,2516
16,2024-09-25,2261787,4168296170,1825.0,1875.0,1815.0,1825.0,30.0,4749
17,2024-09-26,1650655,3012891615,1830.0,1840.0,1810.0,1825.0,0.0,3789
18,2024-09-27,2108486,3856634830,1835.0,1880.0,1790.0,1825.0,0.0,4353
19,2024-09-30,2020476,3539366205,1830.0,1830.0,1715.0,1715.0,-110.0,7414
20,2024-10-01,1071563,1881906860,1730.0,1780.0,1725.0,1755.0,40.0,2217
21,2024-10-04,1703147,2984840255,1760.0,1785.0,1730.0,1730.0,-25.0,3187
22,2024-10-07,1500732,2588188065,1765.0,1775.0,1700.0,1705.0,-25.0,4305
23,2024-10-08,1015008,1758651700,1705.0,1760.0,1705.0,1745.0,40.0,1997
24,2024-10-09,2201863,4023350825,1790.0,1875.0,1790.0,1805.0,60.0,5103
25,2024-10-11,2561757,4801935799,1840.0,1905.0,1830.0,1895.0,90.0,6375
26,2024-10-14,3932258,7706611600,1910.0,2005.0,1910.0,1990.0,95.0,8402
27,2024-10-15,2911021,5740156692,2020.0,2025.0,1950.0,1965.0,-25.0,5991
28,2024-10-16,1720038,3311926605,1910.0,1955.0,1900.0,1930.0,-35.0,7097
29,2024-10-17,1165806,2252374253,1950.0,1965.0,1905.0,1950.0,20.0,5520
30,2024-10-18,1498688,2932509860,1980.0,1995.0,1920.0,1935.0,-15.0,3827
31,2024-10-21,1093645,2156914105,1940.0,1990.0,1940.0,1975.0,40.0,3004
32,2024-10-22,2254795,4549776360,1965.0,2045.0,1960.0,2025.0,50.0,5562
33,2024-10-23,1666947,3404686825,2025.0,2060.0,2020.0,2045.0,20.0,4032
34,2024-10-24,1683436,3375561100,2035.0,2035.0,1985.0,1985.0,-60.0,4501
