,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,3294144,4033872708,1240.0,1250.0,1215.0,1225.0,-15.0,5675
1,2024-09-03,3534979,4292070390,1225.0,1225.0,1200.0,1220.0,-5.0,6693
2,2024-09-04,10457652,11943320285,1135.0,1170.0,1130.0,1135.0,-85.0,31959
3,2024-09-05,9432513,10509325015,1120.0,1130.0,1105.0,1110.0,-25.0,21502
4,2024-09-06,5340953,6061653645,1110.0,1150.0,1105.0,1145.0,35.0,7743
5,2024-09-09,7455495,8209712700,1100.0,1115.0,1090.0,1105.0,-40.0,17956
6,2024-09-10,5893397,6599039331,1115.0,1130.0,1100.0,1130.0,25.0,8084
7,2024-09-11,4096499,4588000025,1125.0,1135.0,1110.0,1110.0,-20.0,6026
8,2024-09-12,4719178,5409189304,1150.0,1155.0,1135.0,1155.0,45.0,6893
9,2024-09-13,3546828,4032559340,1160.0,1165.0,1125.0,1125.0,-30.0,6532
10,2024-09-16,3821456,4270566545,1120.0,1130.0,1100.0,1130.0,5.0,8134
11,2024-09-18,7611728,8412320642,1115.0,1120.0,1095.0,1105.0,-25.0,15994
12,2024-09-19,7911002,8750858160,1105.0,1130.0,1080.0,1120.0,15.0,11279
13,2024-09-20,9138981,10381805590,1145.0,1155.0,1125.0,1125.0,5.0,8642
14,2024-09-23,4562996,5195943045,1125.0,1150.0,1120.0,1145.0,20.0,5228
15,2024-09-24,7297056,8563842676,1135.0,1195.0,1135.0,1195.0,50.0,14778
16,2024-09-25,11480089,13988663410,1220.0,1230.0,1205.0,1225.0,30.0,14305
17,2024-09-26,9967330,12562372950,1235.0,1280.0,1230.0,1270.0,45.0,21463
18,2024-09-27,9319433,11879994727,1280.0,1305.0,1250.0,1260.0,-10.0,15498
19,2024-09-30,8944466,10742053380,1235.0,1235.0,1175.0,1175.0,-85.0,21604
20,2024-10-01,6670719,8060023400,1195.0,1230.0,1190.0,1210.0,35.0,8267
21,2024-10-04,7601314,9294983046,1200.0,1240.0,1200.0,1230.0,20.0,8311
22,2024-10-07,9261022,11611379170,1250.0,1295.0,1230.0,1250.0,20.0,14015
23,2024-10-08,4746298,5848883970,1240.0,1250.0,1225.0,1225.0,-25.0,7199
24,2024-10-09,5671636,7099612015,1260.0,1275.0,1240.0,1245.0,20.0,7683
25,2024-10-11,10811730,13968305075,1265.0,1310.0,1265.0,1300.0,55.0,22160
26,2024-10-14,4125156,5348414625,1310.0,1310.0,1285.0,1290.0,-10.0,7589
27,2024-10-15,6492009,8443064872,1310.0,1310.0,1290.0,1300.0,10.0,9409
28,2024-10-16,7425191,9479271445,1260.0,1295.0,1260.0,1275.0,-25.0,9120
29,2024-10-17,4514915,5769191656,1295.0,1295.0,1265.0,1275.0,0.0,6882
30,2024-10-18,8916104,11696603095,1300.0,1330.0,1295.0,1305.0,30.0,16167
31,2024-10-21,6706607,8911068199,1310.0,1345.0,1310.0,1330.0,25.0,11042
32,2024-10-22,5500454,7177881915,1310.0,1315.0,1295.0,1310.0,-20.0,10422
33,2024-10-23,5639751,7338656535,1280.0,1325.0,1275.0,1300.0,-10.0,9043
34,2024-10-24,4698981,6041857535,1300.0,1305.0,1270.0,1270.0,-30.0,9742
35,2024-10-25,7326983,9577728957,1270.0,1325.0,1270.0,1315.0,45.0,10790
36,2024-10-28,5720182,7605546735,1330.0,1340.0,1315.0,1335.0,20.0,9320
37,2024-10-29,5519603,7163705970,1315.0,1315.0,1285.0,1300.0,-35.0,10164
38,2024-10-30,5528055,7169814530,1290.0,1315.0,1285.0,1290.0,-10.0,7456
39,2024-11-01,9461786,11967886995,1220.0,1300.0,1220.0,1290.0,0.0,10479
40,2024-11-04,3513519,4539376735,1285.0,1305.0,1280.0,1295.0,5.0,5920
41,2024-11-05,3688814,4751449530,1285.0,1300.0,1280.0,1290.0,-5.0,6252
42,2024-11-06,3881189,5070565620,1290.0,1320.0,1290.0,1305.0,15.0,6136
43,2024-11-07,4517086,5932832649,1330.0,1330.0,1300.0,1305.0,0.0,6241
44,2024-11-08,4299470,5567448850,1310.0,1320.0,1280.0,1280.0,-25.0,14432
45,2024-11-11,2878555,3717921510,1300.0,1310.0,1280.0,1295.0,15.0,5204
46,2024-11-12,4326905,5530202775,1280.0,1295.0,1265.0,1265.0,-30.0,10206
47,2024-11-13,4182334,5275535820,1265.0,1275.0,1255.0,1255.0,-10.0,8709
48,2024-11-14,4605044,5717344476,1260.0,1265.0,1230.0,1235.0,-20.0,11474
49,2024-11-15,4349007,5454514520,1240.0,1275.0,1230.0,1270.0,35.0,7255
50,2024-11-18,3985278,4960974080,1260.0,1265.0,1230.0,1240.0,-30.0,7815
51,2024-11-19,4531599,5776061685,1255.0,1290.0,1245.0,1285.0,45.0,7013
52,2024-11-20,4926471,6292653555,1285.0,1300.0,1260.0,1275.0,-10.0,7151
53,2024-11-21,2634995,3323655575,1265.0,1270.0,1255.0,1265.0,-10.0,4531
54,2024-11-22,6437379,8349403790,1280.0,1310.0,1270.0,1310.0,45.0,10922
55,2024-11-25,7734600,10046168660,1325.0,1330.0,1280.0,1280.0,-30.0,8760
56,2024-11-26,3272636,4185567280,1280.0,1290.0,1270.0,1280.0,0.0,5069
57,2024-11-27,3069870,3882721705,1270.0,1285.0,1250.0,1250.0,-30.0,7171
58,2024-11-28,4374911,5459813114,1260.0,1265.0,1240.0,1255.0,5.0,6775
59,2024-11-29,4324490,5418649990,1235.0,1270.0,1225.0,1255.0,0.0,5275
60,2024-12-02,4705833,6127313545,1275.0,1315.0,1270.0,1310.0,55.0,10639
61,2024-12-03,6211010,8141226882,1325.0,1330.0,1295.0,1315.0,5.0,7911
62,2024-12-04,4844752,6364952020,1315.0,1325.0,1305.0,1320.0,5.0,6345
63,2024-12-05,5559581,7367160465,1325.0,1335.0,1310.0,1325.0,5.0,10447
64,2024-12-06,4364288,5747214795,1325.0,1340.0,1300.0,1305.0,-20.0,11555
65,2024-12-09,4592126,6045281525,1320.0,1325.0,1300.0,1325.0,20.0,5865
66,2024-12-10,8230114,11015978916,1315.0,1360.0,1310.0,1350.0,25.0,12323
67,2024-12-11,7633823,10191659690,1320.0,1355.0,1305.0,1350.0,0.0,9374
68,2024-12-12,8447774,11722376470,1370.0,1400.0,1370.0,1380.0,30.0,20476
69,2024-12-13,6733740,9392980005,1385.0,1410.0,1365.0,1410.0,30.0,14746
70,2024-12-16,7521031,10583170115,1435.0,1440.0,1385.0,1385.0,-25.0,18946
71,2024-12-17,9362088,13364542220,1390.0,1445.0,1390.0,1425.0,40.0,18088
72,2024-12-18,6198374,8798918600,1430.0,1430.0,1405.0,1420.0,-5.0,9091
73,2024-12-19,6719997,9496773480,1400.0,1430.0,1395.0,1420.0,0.0,10465
74,2024-12-20,5731484,8030795624,1420.0,1425.0,1390.0,1390.0,-30.0,8536
75,2024-12-23,4417200,6243376090,1405.0,1425.0,1400.0,1410.0,20.0,6948
76,2024-12-24,3278608,4639180175,1430.0,1430.0,1405.0,1405.0,-5.0,5156
77,2024-12-25,2449652,3471607295,1420.0,1430.0,1410.0,1410.0,5.0,4418
78,2024-12-26,2448448,3484465905,1420.0,1430.0,1415.0,1420.0,10.0,4902
79,2024-12-27,2406377,3443523815,1420.0,1440.0,1420.0,1430.0,10.0,5985
80,2024-12-30,2890276,4117831075,1430.0,1435.0,1420.0,1420.0,-10.0,5362
81,2024-12-31,3371199,4756664780,1410.0,1425.0,1400.0,1415.0,-5.0,7737
82,2025-01-02,7374055,10011026495,1395.0,1400.0,1335.0,1350.0,0.0,26063
83,2025-01-03,6413343,8684840857,1365.0,1370.0,1335.0,1365.0,15.0,10151
