,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,35096170,1936319833,55.6,55.6,54.8,55.4,-0.1,10816
1,2024-09-03,27896571,1542192127,55.2,55.6,55.0,55.1,-0.3,7645
2,2024-09-04,85748502,4574666003,53.0,54.1,52.3,53.3,-1.8,31144
3,2024-09-05,37783857,2041606336,53.9,54.6,53.6,53.9,0.6,10951
4,2024-09-06,24617263,1337850400,54.3,54.5,53.6,54.5,0.6,8368
5,2024-09-09,46437090,2480087923,52.9,53.8,52.6,53.8,-0.7,12827
6,2024-09-10,34262285,1824628704,53.8,53.8,52.9,53.3,-0.5,13169
7,2024-09-11,24122229,1298680795,53.3,54.0,53.2,54.0,0.7,7614
8,2024-09-12,35327391,1946021545,55.1,55.4,54.9,55.2,1.2,16058
9,2024-09-13,30635902,1672171622,55.2,55.3,54.3,54.6,-0.6,13103
10,2024-09-16,24475651,1334080574,54.6,54.8,54.3,54.5,-0.1,8209
11,2024-09-18,57765815,3099924581,54.1,54.2,53.3,53.8,-0.7,21750
12,2024-09-19,44964271,2415397778,53.7,54.2,53.5,53.7,-0.1,12279
13,2024-09-20,71866316,3856598605,54.1,54.4,53.1,53.8,0.1,16026
14,2024-09-23,30909169,1666640071,53.8,54.0,53.4,54.0,0.2,6404
15,2024-09-24,43459670,2340211816,54.0,54.1,53.6,53.9,-0.1,9007
16,2024-09-25,52411766,2854245872,54.3,54.8,54.1,54.5,0.6,14003
17,2024-09-26,47535593,2609714296,54.9,55.1,54.7,54.9,0.4,11632
18,2024-09-27,40025086,2206836431,55.4,55.4,55.0,55.0,0.1,12339
19,2024-09-30,42157880,2284601698,54.8,55.2,53.8,53.8,-1.2,16556
20,2024-10-01,24979119,1343617543,53.6,54.2,53.6,53.7,-0.1,6872
21,2024-10-04,63348072,3334351645,52.6,52.9,52.2,52.6,-1.1,20984
22,2024-10-07,43397182,2289218942,53.0,53.3,52.3,52.9,0.3,13025
23,2024-10-08,39756365,2082160354,52.1,52.6,52.1,52.6,-0.3,12381
24,2024-10-09,42465533,2211089841,52.3,52.5,51.7,51.9,-0.7,17032
25,2024-10-11,32833335,1706873469,51.8,52.3,51.7,51.8,-0.1,11425
26,2024-10-14,27090440,1418945028,52.1,52.6,52.0,52.5,0.7,9501
27,2024-10-15,25326253,1331772833,52.6,52.8,52.4,52.6,0.1,8892
28,2024-10-16,61244501,3168793406,51.4,51.9,51.3,51.7,-0.9,16272
29,2024-10-17,32439299,1678108222,51.6,51.9,51.6,51.7,0.0,11511
30,2024-10-18,79201330,4033204117,51.5,51.7,50.5,50.5,-1.2,36277
31,2024-10-21,63151405,3188180026,50.3,50.9,50.0,50.9,0.4,21439
32,2024-10-22,51036231,2584157300,50.4,50.9,50.4,50.7,-0.2,15928
33,2024-10-23,50524600,2541876221,50.7,50.7,50.2,50.2,-0.5,24408
34,2024-10-24,50120168,2503375238,49.95,50.1,49.85,49.9,-0.3,22113
35,2024-10-25,47613099,2378572118,49.95,50.2,49.8,49.8,-0.1,18297
36,2024-10-28,49591853,2453395777,49.8,50.0,49.25,49.25,-0.55,24284
37,2024-10-29,82221016,3972885533,48.85,48.9,48.15,48.4,-0.85,42033
38,2024-10-30,54660571,2630969697,48.5,48.65,48.0,48.15,-0.25,26089
39,2024-11-01,142032069,6583091523,45.75,47.0,45.65,46.6,-1.55,60487
40,2024-11-04,60431583,2790352342,46.6,46.7,46.0,46.0,-0.6,29296
41,2024-11-05,85444501,3873861983,45.5,45.65,45.05,45.35,-0.65,49407
42,2024-11-06,79644028,3651727549,45.0,46.45,45.0,45.85,0.5,34175
43,2024-11-07,93698066,4396138575,45.95,47.95,45.9,47.15,1.3,40038
44,2024-11-08,63092705,2969197361,47.4,47.8,46.65,46.65,-0.5,29346
45,2024-11-11,46564971,2150935396,46.45,46.65,45.7,46.55,-0.1,18820
46,2024-11-12,70364045,3251351479,45.95,46.95,45.75,46.1,-0.45,28019
47,2024-11-13,53138929,2443600366,45.9,46.35,45.7,45.8,-0.3,22155
48,2024-11-14,79049126,3572529777,45.6,45.6,45.0,45.0,-0.8,38267
49,2024-11-15,52930527,2389302760,45.0,45.4,44.6,45.0,0.0,19155
50,2024-11-18,69335119,3140782677,44.9,45.8,44.85,45.1,0.1,26371
51,2024-11-19,60279202,2741930999,45.2,46.0,45.2,45.2,0.1,20844
52,2024-11-20,61462099,2771168697,45.2,45.45,44.9,44.9,-0.3,26964
53,2024-11-21,67566092,3009085991,44.55,44.75,44.4,44.4,-0.5,30695
54,2024-11-22,50873807,2276582261,44.75,45.2,44.45,44.45,0.05,18925
55,2024-11-25,77140885,3473635047,45.1,45.45,44.9,44.9,0.45,16610
56,2024-11-26,42091454,1906011676,44.8,45.7,44.6,45.4,0.5,15740
57,2024-11-27,89385803,3965087977,44.85,44.9,43.95,44.4,-1.0,47277
58,2024-11-28,84388891,3671257090,43.95,44.1,43.0,43.9,-0.5,37776
59,2024-11-29,66391636,2896668773,43.9,44.1,43.25,43.55,-0.35,23914
60,2024-12-02,38808605,1719335977,43.95,44.6,43.8,44.6,1.05,16394
61,2024-12-03,50827676,2269664791,45.1,45.15,44.3,44.8,0.2,23313
62,2024-12-04,51839157,2292858660,44.25,44.45,44.0,44.45,-0.35,18698
63,2024-12-05,57737775,2525664378,44.05,44.2,43.6,43.6,-0.85,25442
64,2024-12-06,43886931,1911666388,43.15,43.95,43.15,43.5,-0.1,15461
65,2024-12-09,33312746,1458808384,43.5,44.05,43.5,44.05,0.55,13141
66,2024-12-10,33052078,1442680109,43.8,43.95,43.5,43.7,-0.35,15587
