,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,9557958,436186023,45.9,45.95,45.45,45.45,-0.15,4908
1,2024-09-03,16107503,723673275,45.35,45.4,44.6,44.6,-0.85,10442
2,2024-09-04,28457809,1205251613,42.6,42.9,41.25,42.25,-2.35,16533
3,2024-09-05,15384884,652107429,42.75,43.2,41.8,41.8,-0.45,8444
4,2024-09-06,17856382,766075028,42.35,43.35,41.8,43.3,1.5,9079
5,2024-09-09,21578598,909964587,41.65,42.6,41.65,42.25,-1.05,11015
6,2024-09-10,18435617,771631467,42.8,42.8,41.25,41.45,-0.8,9755
7,2024-09-11,9226188,383758104,41.65,41.9,41.35,41.35,-0.1,5763
8,2024-09-12,16865456,722492760,42.8,43.25,42.55,42.85,1.5,8510
9,2024-09-13,8357247,358606452,42.85,43.15,42.6,43.05,0.2,5493
10,2024-09-16,7331164,318347907,43.35,43.6,43.1,43.55,0.5,4329
11,2024-09-18,12927030,555088706,43.6,43.7,42.5,42.5,-1.05,8345
12,2024-09-19,12983173,562107590,42.8,43.85,42.5,43.85,1.35,6878
13,2024-09-20,19316136,841189844,44.1,44.25,43.2,43.2,-0.65,8268
14,2024-09-23,9313654,406599576,43.7,43.85,43.4,43.7,0.5,4289
15,2024-09-24,15606613,673056400,43.65,43.65,42.8,43.3,-0.4,7711
16,2024-09-25,20243730,891774585,43.95,44.35,43.8,43.85,0.55,9630
17,2024-09-26,17773069,779836831,44.3,44.5,43.4,43.65,-0.2,9230
18,2024-09-27,16362576,726339228,44.1,44.8,44.05,44.35,0.7,8960
19,2024-09-30,20953594,920061855,44.0,44.65,43.1,43.1,-1.25,9398
20,2024-10-01,15410700,680832705,43.5,44.8,43.5,44.4,1.3,8145
21,2024-10-04,18198908,802016358,44.35,44.7,43.6,43.8,-0.6,9014
22,2024-10-07,26480857,1138622961,43.75,43.75,42.7,43.2,-0.6,14310
23,2024-10-08,22591310,958408196,42.75,42.85,42.2,42.2,-1.0,11894
24,2024-10-09,61386883,2736475608,43.0,45.4,42.95,44.2,2.0,31123
25,2024-10-11,27741361,1238270612,44.5,45.1,44.3,44.4,0.2,17410
26,2024-10-14,12321814,546245265,44.5,44.75,44.05,44.2,-0.2,6986
27,2024-10-15,24194782,1088493545,44.55,45.6,44.4,44.9,0.7,13009
28,2024-10-16,15843775,705646646,44.25,45.05,43.9,44.8,-0.1,9467
29,2024-10-17,15840404,715723259,45.0,45.5,44.85,45.5,0.7,8083
30,2024-10-18,30372167,1392273763,46.2,46.6,45.15,45.5,0.0,16406
31,2024-10-21,13910288,633544186,46.0,46.0,45.3,45.6,0.1,8861
32,2024-10-22,18394022,845662796,45.7,46.35,45.55,46.0,0.4,9624
33,2024-10-23,12511381,571652249,46.05,46.1,45.4,45.85,-0.15,7450
34,2024-10-24,13754170,626031062,45.55,45.95,45.2,45.2,-0.65,6684
35,2024-10-25,18431533,848668623,45.6,46.35,45.3,46.3,1.1,10637
36,2024-10-28,18917230,862198566,46.5,46.6,45.1,45.4,-0.9,10255
37,2024-10-29,13787812,623750913,45.1,45.7,44.75,45.65,0.25,7347
38,2024-10-30,13395152,611726044,45.95,46.2,45.3,45.4,-0.25,6461
39,2024-11-01,16181773,731767319,44.5,45.8,44.2,45.7,0.3,8887
40,2024-11-04,15235934,697181667,45.7,46.05,45.25,45.95,0.25,6228
41,2024-11-05,111898913,5447940467,45.6,50.3,45.6,50.2,4.25,48701
42,2024-11-06,165264884,8655541336,52.0,53.8,51.4,52.1,1.9,84643
43,2024-11-07,79167552,4157450691,52.0,53.4,51.6,52.5,0.4,46824
44,2024-11-08,76417976,4048645046,53.3,54.1,51.8,52.4,-0.1,38979
45,2024-11-11,109993785,5928777647,53.2,54.8,52.7,54.1,1.7,50041
46,2024-11-12,107418471,5514015782,51.6,52.3,50.5,50.6,-3.5,55896
47,2024-11-13,37484630,1908297668,50.3,51.5,50.2,51.0,0.4,18111
48,2024-11-14,32359882,1623853292,50.8,51.1,49.5,50.0,-1.0,16690
49,2024-11-15,24059314,1198897534,50.6,50.6,49.25,49.25,-0.75,13082
50,2024-11-18,44638124,2225313477,49.3,51.1,48.9,48.9,-0.35,22762
51,2024-11-19,25299012,1251957040,49.0,50.2,49.0,49.2,0.3,14579
52,2024-11-20,48477593,2411186472,50.0,50.7,49.0,49.0,-0.2,23288
53,2024-11-21,62954126,3197876410,49.0,52.0,48.7,51.0,2.0,32110
54,2024-11-22,47105436,2420326942,51.9,52.2,50.7,50.7,-0.3,25315
55,2024-11-25,31323748,1587397846,50.9,51.3,50.2,50.2,-0.5,14624
56,2024-11-26,29154079,1481581218,49.85,51.4,49.6,50.8,0.6,14365
57,2024-11-27,31936770,1592052555,50.7,51.2,48.85,48.85,-1.95,19611
58,2024-11-28,24525459,1189783529,49.0,49.3,48.0,48.2,-0.65,13658
59,2024-11-29,17102482,831424202,47.85,49.4,47.8,49.0,0.8,8912
60,2024-12-02,15671682,770296089,49.5,49.7,48.75,48.95,-0.05,9544
61,2024-12-03,15307861,762423175,49.4,50.2,49.4,50.0,1.05,8647
62,2024-12-04,13331865,670104386,50.1,50.7,49.8,50.6,0.6,7874
63,2024-12-05,14552053,735574753,50.9,51.1,50.2,50.2,-0.4,7940
64,2024-12-06,9187061,463454081,50.4,50.9,50.2,50.5,0.3,6056
65,2024-12-09,12947853,655990438,50.5,51.2,50.3,50.3,-0.2,7667
66,2024-12-10,16086403,801242242,50.8,51.0,49.3,49.4,-0.9,10002
67,2024-12-11,12530298,623267945,48.9,50.3,48.9,49.6,0.2,6991
68,2024-12-12,30417938,1544271315,50.0,51.4,49.55,51.0,1.4,15535
69,2024-12-13,21442260,1055020272,50.6,50.7,49.55,49.6,-1.4,10210
70,2024-12-16,16789900,809349245,50.0,50.0,48.5,48.5,-1.1,7567
71,2024-12-17,12272799,605952557,48.6,49.65,48.6,49.65,1.15,5852
72,2024-12-18,10890564,534584562,49.4,49.6,48.65,49.15,-0.5,6645
73,2024-12-19,15150427,747264468,48.0,50.2,47.9,50.2,1.05,7745
74,2024-12-20,27886755,1387607807,49.75,50.5,49.45,49.45,-0.75,11420
75,2024-12-23,19038988,959409820,50.0,50.9,50.0,50.2,0.75,8211
76,2024-12-24,12300891,619670149,50.7,50.8,50.1,50.4,0.2,5502
77,2024-12-25,10717200,540027124,50.8,50.8,50.1,50.5,0.1,4879
78,2024-12-26,14373682,728125041,50.5,51.3,50.2,50.5,0.0,7053
79,2024-12-27,11054839,560691130,50.9,51.2,50.2,50.8,0.3,5775
80,2024-12-30,6693257,338191239,51.0,51.0,50.3,50.4,-0.4,3636
81,2024-12-31,6817002,341309330,50.1,50.4,49.85,50.1,-0.3,5101
82,2025-01-02,20766446,1057958299,50.3,51.6,50.1,50.7,0.6,10979
83,2025-01-03,38185191,1976160174,51.3,52.5,50.6,52.0,1.3,19562
84,2025-01-06,42132161,2224140685,52.9,53.7,52.2,52.5,0.5,23749
85,2025-01-07,25739040,1346204334,53.1,53.3,51.7,51.7,-0.8,13393
86,2025-01-08,17822620,933670597,51.6,52.7,51.6,52.6,0.9,9838
87,2025-01-09,19585500,1006975524,52.1,52.4,50.8,50.8,-1.8,12730
88,2025-01-10,19837457,1007348639,51.5,51.7,50.1,50.3,-0.5,12128
89,2025-01-13,25282660,1273044635,50.3,51.0,49.9,50.0,-0.3,12106
90,2025-01-14,29095971,1442913619,50.7,50.7,48.85,49.9,-0.1,16953
91,2025-01-15,16298372,802052792,50.2,50.4,48.6,48.6,-1.3,9973
92,2025-01-16,9855766,486453331,49.55,49.9,49.1,49.2,0.6,5670
93,2025-01-17,9057894,445965248,49.45,49.45,48.95,49.4,0.2,5231
94,2025-01-20,9468831,471897096,49.7,50.2,49.4,49.95,0.55,5161
95,2025-01-21,14825654,744089637,50.3,50.7,49.9,49.9,-0.05,7521
96,2025-01-22,18918962,933449115,50.1,50.3,48.85,49.3,-0.6,10750
97,2025-02-03,27657906,1263983417,46.3,46.4,45.1,46.0,-3.3,17159
98,2025-02-04,24981578,1134460365,46.75,46.75,44.5,44.5,-1.5,14216
99,2025-02-05,9283730,421633261,45.0,45.65,45.0,45.45,0.95,6002
