,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,323948,66788449,211.0,211.0,203.0,203.0,-4.5,435
1,2024-09-03,310140,63583030,203.5,206.5,203.0,205.5,2.5,410
2,2024-09-04,648989,127706873,195.0,202.0,191.0,196.5,-9.0,996
3,2024-09-05,304352,60300098,198.0,200.5,196.0,196.5,0.0,389
4,2024-09-06,159605,31698837,196.5,200.0,195.5,200.0,3.5,232
5,2024-09-09,277390,55888633,195.0,207.5,195.0,207.5,7.5,355
6,2024-09-10,449768,90248384,205.5,208.0,197.0,197.0,-10.5,824
7,2024-09-11,680055,135441830,202.5,205.5,195.0,195.0,-2.0,705
8,2024-09-12,501084,101269899,200.0,203.5,199.0,203.5,8.5,578
9,2024-09-13,234964,47416618,203.5,204.0,200.0,202.0,-1.5,674
10,2024-09-16,144200,29378144,202.0,204.5,202.0,204.5,2.5,202
11,2024-09-18,164633,33254068,202.5,204.0,200.0,200.0,-4.5,481
12,2024-09-19,280304,57337560,202.5,206.0,201.0,206.0,6.0,1028
13,2024-09-20,1486601,317837715,208.0,219.0,207.5,210.5,4.5,3223
14,2024-09-23,451401,95910321,213.5,214.5,210.5,211.5,1.0,1124
15,2024-09-24,283324,59321010,212.0,212.0,207.0,209.5,-2.0,2155
16,2024-09-25,259896,54936196,212.0,213.0,210.5,211.0,1.5,1446
17,2024-09-26,230161,48425732,212.0,213.0,208.5,209.0,-2.0,841
18,2024-09-27,599616,128326192,209.0,216.0,209.0,213.0,4.0,700
19,2024-09-30,305194,63647409,210.0,211.5,206.5,206.5,-6.5,1585
20,2024-10-01,157168,32406588,208.0,208.0,204.5,208.0,1.5,330
21,2024-10-04,181037,37584484,208.0,211.5,205.0,208.0,0.0,335
22,2024-10-07,236278,49330343,208.5,210.0,207.5,209.0,1.0,441
23,2024-10-08,271849,56181343,209.5,209.5,204.0,208.5,-0.5,349
24,2024-10-09,309460,64648585,209.0,211.0,206.5,207.0,-1.5,413
25,2024-10-11,438535,88892660,207.0,207.5,200.5,201.0,-6.0,844
26,2024-10-14,184619,37661067,202.5,206.0,202.0,206.0,5.0,282
27,2024-10-15,278612,57038785,206.0,207.5,203.5,205.0,-1.0,402
28,2024-10-16,124948,25336585,202.0,203.5,202.0,202.5,-2.5,374
29,2024-10-17,172328,35073478,202.5,205.5,202.5,202.5,0.0,217
30,2024-10-18,281596,57620828,205.0,207.0,203.5,203.5,1.0,370
31,2024-10-21,266449,54162457,204.0,205.0,201.5,205.0,1.5,327
32,2024-10-22,255686,52952095,207.0,208.5,204.5,208.0,3.0,317
33,2024-10-23,789198,165956762,209.5,214.0,204.5,213.5,5.5,974
34,2024-10-24,781231,166230958,212.5,217.0,207.5,207.5,-6.0,1059
35,2024-10-25,471277,99556593,208.0,213.5,207.5,213.5,6.0,589
36,2024-10-28,291706,61501210,215.0,215.0,209.0,209.0,-4.5,835
37,2024-10-29,235937,48531463,209.0,210.0,204.0,206.0,-3.0,365
38,2024-10-30,282172,58156916,208.0,210.5,203.0,203.5,-2.5,357
39,2024-11-01,381482,76745031,198.5,205.0,197.0,204.5,1.0,496
40,2024-11-04,1305183,273550819,210.0,216.0,204.5,205.5,1.0,1314
41,2024-11-05,1116271,234125369,208.0,212.0,207.0,211.5,6.0,1688
42,2024-11-06,4760443,1066685069,215.0,232.5,215.0,232.0,20.5,5024
43,2024-11-07,3171850,723143428,231.0,231.5,223.0,228.0,-4.0,5929
44,2024-11-08,1233879,277733084,231.0,232.0,220.5,220.5,-7.5,2429
45,2024-11-11,5072724,1208797757,242.5,242.5,231.0,234.0,13.5,4591
46,2024-11-12,3143885,742698716,234.0,241.0,232.5,233.0,-1.0,5953
47,2024-11-13,2137471,502893387,233.0,239.0,229.5,237.0,4.0,4526
48,2024-11-14,1379825,323551607,233.5,238.0,230.0,235.0,-2.0,2592
49,2024-11-15,916349,211053231,234.5,234.5,227.0,231.5,-3.5,4606
50,2024-11-18,643986,144833612,229.0,231.0,222.5,222.5,-9.0,3217
51,2024-11-19,708025,162826678,223.0,234.0,223.0,231.5,9.0,855
52,2024-11-20,459947,104651526,230.0,232.0,225.0,227.0,-4.5,951
53,2024-11-21,455095,102919331,228.0,229.0,223.0,224.5,-2.5,665
54,2024-11-22,565637,129671221,227.5,231.5,227.5,228.0,3.5,592
55,2024-11-25,3155367,764406168,233.0,249.0,232.5,239.5,11.5,4155
56,2024-11-26,2316897,567450031,240.0,248.5,236.5,245.5,6.0,6230
57,2024-11-27,2570968,625972095,248.0,251.5,235.5,236.0,-9.5,11662
58,2024-11-28,1193380,275721765,234.5,238.0,225.0,232.5,-3.5,7783
59,2024-11-29,465387,108925614,229.0,236.5,229.0,236.0,3.5,2050
60,2024-12-02,692779,161961638,236.0,237.0,231.5,234.0,-2.0,840
61,2024-12-03,937673,221152417,237.5,240.5,233.5,234.0,0.0,2134
62,2024-12-04,1574757,380416834,234.0,246.5,234.0,244.0,10.0,2457
63,2024-12-05,1329448,325239263,243.5,248.5,239.0,245.0,1.0,4425
64,2024-12-06,600462,145232636,243.5,246.0,240.0,241.0,-4.0,2881
65,2024-12-09,399544,95672733,241.5,242.0,237.0,239.0,-2.0,1333
66,2024-12-10,379679,90214024,241.0,241.0,235.0,239.0,0.0,1655
67,2024-12-11,2847642,694526902,251.0,253.5,235.0,235.0,-4.0,4227
68,2024-12-12,3698857,910487290,241.0,253.5,240.0,242.0,7.0,7480
69,2024-12-13,1383368,339183521,243.0,248.5,242.5,246.0,4.0,3694
70,2024-12-16,1198520,291191607,250.0,251.0,238.0,239.0,-7.0,5580
71,2024-12-17,1557833,384913364,241.0,250.0,241.0,249.5,10.5,1953
72,2024-12-18,898273,218652050,246.5,246.5,241.0,244.5,-5.0,3167
73,2024-12-19,568086,138338548,238.5,246.0,238.0,246.0,1.5,1264
74,2024-12-20,469063,113916532,245.0,245.5,240.5,242.0,-4.0,860
75,2024-12-23,375000,90894049,244.0,245.0,241.0,241.0,-1.0,500
76,2024-12-24,339659,81678542,244.0,244.0,238.5,239.5,-1.5,452
77,2024-12-25,218592,52340730,239.5,241.0,238.5,239.5,0.0,403
78,2024-12-26,390331,92868605,240.5,242.0,236.0,236.5,-3.0,704
79,2024-12-27,348411,81790459,235.0,237.0,233.0,234.0,-2.5,510
80,2024-12-30,466376,108615033,232.0,236.5,230.5,233.0,-1.0,610
81,2024-12-31,374210,86292715,233.0,233.0,229.0,231.5,-1.5,414
82,2025-01-02,373131,85401235,230.5,232.0,227.0,228.0,-3.5,671
83,2025-01-03,280794,65075386,230.5,234.0,229.0,231.5,3.5,341
84,2025-01-06,2211357,544915199,234.0,251.0,234.0,249.0,17.5,2638
85,2025-01-07,2673942,680970798,251.0,262.5,247.0,255.5,6.5,7123
86,2025-01-08,1362977,340287396,251.0,254.0,246.5,247.5,-8.0,4084
87,2025-01-09,714294,174782512,248.0,248.5,241.0,243.5,-4.0,934
88,2025-01-10,362482,88423077,242.0,246.5,242.0,245.0,1.5,505
89,2025-01-13,1800758,404637722,242.0,242.0,220.5,220.5,-24.5,2011
90,2025-01-14,489299,108257160,223.0,224.0,219.0,221.0,0.5,631
91,2025-01-15,423299,92448782,225.0,225.0,216.0,217.0,-4.0,543
92,2025-01-16,318400,70332674,222.0,223.0,219.0,219.0,2.0,423
93,2025-01-17,203350,44658816,219.0,221.0,217.0,220.5,1.5,276
94,2025-01-20,367072,82349187,221.0,227.5,221.0,225.0,4.5,456
95,2025-01-21,390386,88340296,226.0,228.0,223.0,228.0,3.0,468
96,2025-01-22,483952,111350079,229.0,234.0,227.5,230.0,2.0,793
97,2025-02-03,394763,87604883,222.0,226.0,219.0,221.5,-8.5,804
98,2025-02-04,289936,64840540,222.0,226.0,222.0,223.0,1.5,361
99,2025-02-05,414885,94309959,224.5,229.5,224.5,229.0,6.0,664
100,2025-02-06,256070,58508047,230.5,232.0,227.0,227.5,-1.5,1093
101,2025-02-07,357839,82672121,226.5,232.5,226.5,231.0,3.5,440
102,2025-02-10,190640,43559243,228.0,230.0,227.0,228.5,-2.5,840
103,2025-02-11,1758899,441459149,251.0,251.0,250.0,251.0,22.5,1838
104,2025-02-12,4414376,1123920231,256.0,261.0,247.0,256.0,5.0,4205
