,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,4860655,2691112880,547.0,562.0,542.0,556.0,19.0,6037
1,2024-09-03,1844059,1018874276,553.0,557.0,550.0,550.0,-6.0,2580
2,2024-09-04,4466195,2359653716,522.0,537.0,512.0,528.0,-22.0,20425
3,2024-09-05,2633165,1384308848,530.0,535.0,520.0,521.0,-7.0,5016
4,2024-09-06,2425780,1277261067,522.0,536.0,516.0,527.0,6.0,2766
5,2024-09-09,3577884,1888152925,520.0,534.0,518.0,533.0,6.0,3634
6,2024-09-10,3541178,1875661298,536.0,539.0,522.0,527.0,-6.0,3525
7,2024-09-11,2104309,1104214787,526.0,530.0,520.0,523.0,-4.0,2455
8,2024-09-12,3276181,1763816398,535.0,543.0,530.0,539.0,16.0,3998
9,2024-09-13,1939960,1047246778,537.0,543.0,533.0,543.0,4.0,2386
10,2024-09-16,1210530,655199009,541.0,546.0,538.0,544.0,1.0,1737
11,2024-09-18,2731380,1495381376,541.0,551.0,541.0,547.0,3.0,3485
12,2024-09-19,5495838,3095448054,555.0,569.0,551.0,569.0,22.0,8521
13,2024-09-20,8932833,5274740672,572.0,598.0,572.0,591.0,22.0,9645
14,2024-09-23,4691379,2748410999,588.0,592.0,581.0,589.0,-2.0,5191
15,2024-09-24,3421978,2019458469,590.0,596.0,580.0,594.0,5.0,4319
16,2024-09-25,4513835,2649351017,597.0,598.0,582.0,586.0,-8.0,5441
17,2024-09-26,4383756,2531579069,583.0,589.0,572.0,575.0,-11.0,6140
18,2024-09-27,3099582,1770156185,578.0,583.0,567.0,568.0,-7.0,4930
19,2024-09-30,4070069,2276121452,565.0,571.0,553.0,553.0,-15.0,4965
20,2024-10-01,3374205,1908465345,555.0,577.0,553.0,572.0,19.0,3922
21,2024-10-04,3834240,2159241105,568.0,571.0,559.0,562.0,-10.0,4384
22,2024-10-07,4229003,2446146267,570.0,584.0,569.0,579.0,17.0,4756
23,2024-10-08,2829927,1628896721,572.0,582.0,568.0,577.0,-2.0,2912
24,2024-10-09,2298168,1333517362,579.0,586.0,577.0,577.0,0.0,2750
25,2024-10-11,2591820,1522072443,591.0,592.0,580.0,585.0,8.0,3722
26,2024-10-14,2012077,1177898688,581.0,591.0,577.0,583.0,-2.0,3513
27,2024-10-15,5063568,3027502809,586.0,607.0,586.0,599.0,16.0,6813
28,2024-10-16,2628770,1555238360,590.0,597.0,587.0,591.0,-8.0,3619
29,2024-10-17,1968943,1174443408,597.0,602.0,591.0,596.0,5.0,4264
30,2024-10-18,5108185,3087058588,602.0,613.0,596.0,596.0,0.0,6439
31,2024-10-21,3717952,2211070360,609.0,610.0,586.0,590.0,-6.0,8572
32,2024-10-22,3876793,2313547168,590.0,602.0,586.0,600.0,10.0,3581
33,2024-10-23,2622732,1551490635,595.0,598.0,588.0,591.0,-9.0,3212
34,2024-10-24,2102382,1234183301,589.0,592.0,584.0,584.0,-7.0,2859
35,2024-10-25,1732140,1024975188,590.0,594.0,587.0,591.0,7.0,2052
36,2024-10-28,1663578,989944589,596.0,598.0,591.0,595.0,4.0,2203
37,2024-10-29,2398655,1398031273,592.0,594.0,577.0,584.0,-11.0,4513
38,2024-10-30,3461466,2000012242,587.0,588.0,575.0,575.0,-9.0,4289
39,2024-11-01,2981754,1713555655,553.0,584.0,552.0,583.0,8.0,3158
40,2024-11-04,2400127,1419834409,580.0,597.0,580.0,596.0,13.0,3310
41,2024-11-05,2327460,1386079100,595.0,600.0,592.0,596.0,0.0,2520
42,2024-11-06,3739105,2258860376,596.0,608.0,595.0,606.0,10.0,4729
43,2024-11-07,3259726,1991658879,602.0,616.0,601.0,607.0,1.0,4574
44,2024-11-08,4342861,2699712270,610.0,627.0,610.0,621.0,14.0,6321
45,2024-11-11,7405526,4516728220,625.0,625.0,598.0,614.0,-7.0,8050
46,2024-11-12,5082315,3129791438,605.0,624.0,604.0,612.0,-2.0,5707
47,2024-11-13,2948691,1802741374,611.0,617.0,607.0,611.0,-1.0,3373
48,2024-11-14,6514720,4064904944,615.0,631.0,613.0,623.0,12.0,6207
49,2024-11-15,8728495,5393288557,625.0,646.0,604.0,607.0,-16.0,8957
50,2024-11-18,11158749,6886298217,614.0,623.0,610.0,612.0,5.0,8614
51,2024-11-19,13122586,8265436521,619.0,642.0,617.0,622.0,10.0,10581
52,2024-11-20,11020116,6890423300,623.0,637.0,616.0,619.0,-3.0,10826
53,2024-11-21,9349250,5759739417,620.0,625.0,610.0,610.0,-9.0,10990
54,2024-11-22,10186323,6251166492,614.0,618.0,608.0,611.0,1.0,8389
55,2024-11-25,14052208,8574296475,612.0,623.0,602.0,602.0,-9.0,9289
56,2024-11-26,9025998,5522249455,604.0,619.0,595.0,617.0,15.0,7859
57,2024-11-27,7752311,4657863343,614.0,617.0,592.0,594.0,-23.0,9891
58,2024-11-28,5076900,2956673222,594.0,595.0,576.0,581.0,-13.0,8025
59,2024-11-29,4370258,2561007366,579.0,597.0,574.0,588.0,7.0,4265
60,2024-12-02,3229794,1936159512,594.0,603.0,591.0,602.0,14.0,3588
61,2024-12-03,5363294,3190374990,610.0,612.0,586.0,595.0,-7.0,7664
62,2024-12-04,3122838,1870599812,594.0,603.0,592.0,601.0,6.0,3214
63,2024-12-05,6319368,3793330562,600.0,608.0,596.0,600.0,-1.0,3337
64,2024-12-06,6125669,3663343556,600.0,606.0,591.0,598.0,-2.0,5135
65,2024-12-09,2564371,1550387858,599.0,608.0,597.0,608.0,10.0,3161
66,2024-12-10,2669274,1618740593,615.0,617.0,600.0,605.0,-3.0,5000
67,2024-12-11,2012837,1212704788,602.0,606.0,598.0,604.0,-1.0,2262
68,2024-12-12,2206599,1339034242,608.0,610.0,603.0,608.0,4.0,2302
69,2024-12-13,2169318,1327512498,611.0,615.0,606.0,615.0,7.0,3118
70,2024-12-16,3464098,2092840578,618.0,618.0,594.0,601.0,-14.0,7221
71,2024-12-17,4013509,2401123392,600.0,603.0,595.0,595.0,-6.0,3486
72,2024-12-18,2503570,1515544719,596.0,609.0,596.0,609.0,14.0,2517
73,2024-12-19,3686176,2200338225,598.0,602.0,586.0,602.0,-7.0,5085
74,2024-12-20,3815400,2289518353,597.0,605.0,596.0,600.0,-2.0,3121
75,2024-12-23,4460075,2744872733,609.0,622.0,606.0,615.0,15.0,5665
76,2024-12-24,2763600,1702309713,615.0,620.0,610.0,615.0,0.0,3223
77,2024-12-25,1594368,980972076,619.0,621.0,612.0,613.0,-2.0,1696
78,2024-12-26,1553528,959533692,618.0,622.0,616.0,616.0,3.0,1873
79,2024-12-27,1273077,792059462,620.0,624.0,617.0,624.0,8.0,2630
80,2024-12-30,1209573,750754373,621.0,625.0,617.0,617.0,-7.0,1794
81,2024-12-31,1574080,969672909,615.0,619.0,612.0,616.0,-1.0,1968
82,2025-01-02,4495811,2756842770,616.0,635.0,602.0,605.0,-11.0,8144
83,2025-01-03,4497573,2797408228,613.0,628.0,613.0,623.0,18.0,5390
84,2025-01-06,3476134,2177458532,630.0,632.0,618.0,629.0,6.0,5108
85,2025-01-07,5203328,3326172576,631.0,648.0,628.0,648.0,19.0,7670
