,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,883449,92603903,104.5,107.0,103.5,104.0,0.0,782
1,2024-09-03,771511,79291151,105.5,105.5,101.0,101.0,-3.0,836
2,2024-09-04,1934478,184228604,93.0,98.0,92.8,94.7,-6.3,1632
3,2024-09-05,1165511,110108513,96.7,97.0,92.2,92.5,-2.2,1209
4,2024-09-06,582069,54115674,94.0,94.0,92.1,93.0,0.5,586
5,2024-09-09,892688,81843274,90.4,93.4,90.1,93.1,0.1,771
6,2024-09-10,1717392,159034856,93.8,96.5,88.7,89.7,-3.4,1958
7,2024-09-11,930654,83621894,91.2,91.2,88.9,89.3,-0.4,1033
8,2024-09-12,1888758,176309695,91.1,95.7,90.8,93.1,3.8,1637
9,2024-09-13,931773,86417389,94.4,94.5,91.7,92.0,-1.1,824
10,2024-09-16,708648,65023545,92.8,93.2,91.0,91.5,-0.5,629
11,2024-09-18,649571,59314071,91.5,92.8,90.1,90.1,-1.4,730
12,2024-09-19,3323075,315811372,90.4,98.3,90.4,96.8,6.7,2910
13,2024-09-20,2419531,232419986,97.2,98.4,94.6,95.2,-1.6,2410
14,2024-09-23,6309877,634039881,95.2,104.0,95.2,101.5,6.3,5286
15,2024-09-24,4979036,503845488,101.5,104.5,99.0,99.6,-1.9,4557
16,2024-09-25,7074665,743430216,102.0,108.0,101.5,103.5,3.9,5473
17,2024-09-26,1836508,189621064,105.5,105.5,102.0,102.5,-1.0,1561
18,2024-09-27,1479419,150479274,104.0,104.5,100.0,101.0,-1.5,1296
19,2024-09-30,896756,89289126,100.0,101.0,98.6,99.0,-2.0,826
20,2024-10-01,804718,79723599,99.1,101.5,98.0,98.5,-0.5,809
21,2024-10-04,695869,67520583,98.5,98.5,96.2,96.3,-2.2,680
22,2024-10-07,1008654,97850267,97.5,98.8,96.0,96.8,0.5,859
23,2024-10-08,586368,56315040,96.5,96.7,95.2,96.6,-0.2,529
24,2024-10-09,5754856,592775267,97.6,106.0,97.6,101.0,4.4,4231
25,2024-10-11,3850622,400028178,104.0,105.0,101.5,105.0,4.0,3110
26,2024-10-14,9027954,996827576,107.5,113.0,107.0,110.5,5.5,6791
27,2024-10-15,7263669,801559421,111.0,114.5,106.5,110.0,-0.5,6996
28,2024-10-16,1950437,211216778,107.0,110.5,106.5,108.0,-2.0,1735
29,2024-10-17,4178854,459772298,108.5,112.5,107.0,110.5,2.5,3667
30,2024-10-18,2954481,325222380,111.5,113.0,107.5,111.0,0.5,2596
31,2024-10-21,3927604,441277577,114.0,114.5,110.5,113.5,2.5,3856
32,2024-10-22,1492559,166372424,112.0,113.5,110.5,111.5,-2.0,1306
33,2024-10-23,1294827,141956404,111.5,112.0,108.5,108.5,-3.0,1242
34,2024-10-24,1711498,183650415,108.0,110.5,105.0,105.0,-3.5,1390
