,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,202632,17416743,86.0,86.3,85.6,85.7,-0.3,474
1,2024-09-03,167927,14432281,85.4,86.4,85.3,85.9,0.2,170
2,2024-09-04,511650,42542928,84.0,84.0,81.9,82.6,-3.3,615
3,2024-09-05,231446,19322374,83.1,84.1,82.6,83.6,1.0,220
4,2024-09-06,172051,14379690,84.5,84.5,82.4,84.2,0.6,287
5,2024-09-09,176752,14665264,82.1,83.8,82.1,83.6,-0.6,280
6,2024-09-10,225551,18880241,83.8,84.5,82.5,82.7,-0.9,242
7,2024-09-11,132924,11036241,82.4,83.4,82.4,82.8,0.1,160
8,2024-09-12,201687,16771620,83.4,83.6,82.9,83.0,0.2,227
9,2024-09-13,101958,8490244,83.0,83.6,83.0,83.5,0.5,102
10,2024-09-16,149032,12639238,83.6,85.1,83.6,85.0,1.5,177
11,2024-09-18,269668,22679486,84.8,85.1,83.5,83.5,-1.5,482
12,2024-09-19,314395,26572503,83.0,85.5,83.0,85.4,1.9,252
13,2024-09-20,208200,17716443,86.0,86.0,84.7,85.0,-0.4,510
14,2024-09-23,116019,9860728,84.9,85.4,84.7,85.0,0.0,213
15,2024-09-24,91656,7812946,85.1,85.8,84.9,85.2,0.2,92
16,2024-09-25,151189,12922074,85.2,85.9,85.1,85.6,0.4,154
17,2024-09-26,203235,17426819,85.6,86.5,85.0,85.0,-0.6,199
18,2024-09-27,147822,12664501,86.4,86.4,85.0,85.9,0.9,159
19,2024-09-30,157874,13439066,85.8,85.9,84.9,85.0,-0.9,237
20,2024-10-01,72322,6122291,84.5,84.8,84.5,84.7,-0.3,120
21,2024-10-04,147987,12402130,84.2,84.5,83.2,83.6,-1.1,202
22,2024-10-07,367119,31671555,83.7,86.9,83.7,86.7,3.1,380
23,2024-10-08,149075,12783070,86.6,86.6,85.4,85.4,-1.3,620
24,2024-10-09,229117,19583348,85.5,86.5,84.9,85.2,-0.2,372
25,2024-10-11,202233,17204281,85.7,85.7,84.6,84.6,-0.6,187
26,2024-10-14,214042,18117143,85.1,85.3,84.3,85.3,0.7,287
27,2024-10-15,248361,21420716,85.3,86.8,85.3,86.5,1.2,297
28,2024-10-16,928787,81638160,86.7,89.2,85.9,88.2,1.7,690
29,2024-10-17,369199,32762134,88.8,89.5,87.8,88.4,0.2,496
30,2024-10-18,230531,20398545,88.9,89.2,87.9,88.1,-0.3,809
31,2024-10-21,386068,34579918,89.0,90.2,88.7,89.5,1.4,408
32,2024-10-22,209626,18818494,89.6,90.3,89.4,89.6,0.1,659
33,2024-10-23,190871,16966965,89.8,89.9,88.5,88.5,-1.1,464
34,2024-10-24,231437,20529117,88.1,89.4,88.0,88.7,0.2,309
35,2024-10-25,145877,12926668,89.7,89.7,88.1,88.3,-0.4,584
36,2024-10-28,164968,14428521,88.3,88.6,86.8,87.0,-1.3,351
37,2024-10-29,276913,23758734,86.6,86.7,85.4,86.0,-1.0,315
38,2024-10-30,115330,9908371,86.0,86.3,85.6,85.9,-0.1,122
39,2024-11-01,158465,13725037,86.4,87.3,85.3,87.2,1.3,196
40,2024-11-04,112475,9768571,87.8,87.8,86.3,86.5,-0.7,152
41,2024-11-05,106925,9320622,86.5,87.6,86.5,86.8,0.3,102
42,2024-11-06,85417,7447491,86.5,87.6,86.5,87.2,0.4,116
43,2024-11-07,810776,73217658,87.2,91.3,87.2,90.3,3.1,740
44,2024-11-08,260559,23322704,90.5,90.6,88.8,88.9,-1.4,813
45,2024-11-11,1218669,103430236,87.1,87.2,84.2,84.5,-4.4,2021
46,2024-11-12,794874,65819941,84.0,84.0,82.3,82.3,-2.2,850
47,2024-11-13,390815,32170490,82.0,82.7,82.0,82.1,-0.2,406
48,2024-11-14,529828,43179053,82.1,82.5,80.5,80.8,-1.3,672
49,2024-11-15,241375,19682640,80.8,82.4,80.8,81.4,0.6,287
50,2024-11-18,248224,20055497,80.5,81.5,80.5,80.6,-0.8,265
51,2024-11-19,299987,24483917,80.6,82.8,80.5,81.9,1.3,270
52,2024-11-20,124126,10154727,82.0,82.0,81.5,82.0,0.1,293
53,2024-11-21,252446,20833554,81.8,83.2,81.5,83.0,1.0,219
54,2024-11-22,194842,16194773,83.0,83.5,82.7,83.0,0.0,211
55,2024-11-25,313596,26344899,83.0,84.8,83.0,84.8,1.8,223
56,2024-11-26,120783,10150140,84.7,84.7,83.6,83.6,-1.2,129
57,2024-11-27,180949,14920600,83.4,83.8,81.8,81.8,-1.8,249
58,2024-11-28,209863,17222421,81.1,83.3,80.7,82.8,1.0,218
59,2024-11-29,350451,29001147,82.0,83.7,81.5,82.5,-0.3,223
60,2024-12-02,295599,24508589,82.3,84.3,82.0,82.7,0.2,258
61,2024-12-03,78690,6542914,82.9,83.5,82.9,83.0,0.3,135
62,2024-12-04,105489,8765133,83.8,83.8,82.8,82.9,-0.1,325
63,2024-12-05,122755,10186797,82.8,83.4,82.5,83.2,0.3,128
64,2024-12-06,297795,25077573,83.2,84.5,83.2,84.3,1.1,280
65,2024-12-09,123663,10370052,84.5,84.5,83.4,84.0,-0.3,260
66,2024-12-10,1182691,102850722,88.0,88.0,85.5,86.9,2.9,1026
67,2024-12-11,425978,37225377,87.5,87.8,86.9,87.4,0.5,983
68,2024-12-12,337318,29628009,87.4,88.6,87.2,87.9,0.5,521
69,2024-12-13,419374,36337720,87.7,87.9,85.7,86.0,-1.9,911
70,2024-12-16,179374,15329930,86.1,86.4,84.9,84.9,-1.1,194
71,2024-12-17,152464,12932957,85.4,85.6,84.3,84.3,-0.6,297
72,2024-12-18,186216,15665900,84.1,85.0,83.6,84.5,0.2,171
73,2024-12-19,211143,17786360,83.7,85.4,83.6,84.4,-0.1,240
74,2024-12-20,180674,15267983,84.2,85.4,83.8,84.5,0.1,188
75,2024-12-23,106737,9147864,84.5,86.1,84.5,85.9,1.4,127
76,2024-12-24,431621,37803347,86.8,88.3,86.8,87.3,1.4,492
77,2024-12-25,400901,35401042,87.6,88.9,87.6,88.7,1.4,420
78,2024-12-26,536455,48079824,89.4,90.1,88.7,88.7,0.0,519
79,2024-12-27,158632,13987527,88.9,88.9,87.8,88.2,-0.5,176
80,2024-12-30,167689,14635375,87.6,87.7,86.9,86.9,-1.3,191
81,2024-12-31,85340,7432640,86.5,87.6,86.5,87.6,0.7,100
82,2025-01-02,151676,13245013,87.9,87.9,86.8,87.0,-0.6,203
83,2025-01-03,112808,9795095,87.5,87.5,86.6,86.7,-0.3,234
84,2025-01-06,1098528,98518384,86.8,91.3,86.8,90.0,3.3,1321
85,2025-01-07,971972,88699331,91.4,93.2,89.7,90.2,0.2,1619
86,2025-01-08,253710,22816120,90.1,90.4,89.1,90.1,-0.1,505
87,2025-01-09,746617,68439703,92.3,93.0,90.7,91.2,1.1,1806
88,2025-01-10,581148,52655037,91.0,92.2,89.7,90.4,-0.8,1662
89,2025-01-13,597354,53697429,90.4,90.8,88.4,90.8,0.4,818
90,2025-01-14,197804,17927650,90.7,91.4,90.2,90.9,0.1,706
91,2025-01-15,527970,48627782,91.8,92.6,91.3,91.3,0.4,672
92,2025-01-16,362654,33405933,92.9,92.9,91.5,91.5,0.2,497
93,2025-01-17,293770,27075824,92.2,92.7,91.2,92.0,0.5,994
94,2025-01-20,313072,28823107,92.1,92.6,91.3,92.4,0.4,368
95,2025-01-21,600331,55887611,93.0,94.5,91.6,91.6,-0.8,1222
96,2025-01-22,470647,43744430,92.9,93.4,92.0,93.3,1.7,678
97,2025-02-03,422290,39379582,92.8,93.8,91.8,93.8,0.5,898
98,2025-02-04,672559,63703916,94.8,95.7,93.6,95.7,1.9,1611
99,2025-02-05,4246312,432730857,96.6,105.0,95.5,105.0,9.3,3587
100,2025-02-06,6023767,629295068,106.0,106.5,102.0,103.0,-2.0,5670
101,2025-02-07,6416512,705569266,103.0,113.0,102.5,112.0,9.0,8273
102,2025-02-10,13960503,1689634037,114.0,123.0,112.0,123.0,11.0,10361
103,2025-02-11,24739457,3235058075,126.5,135.0,125.0,128.5,5.5,16419
104,2025-02-12,17739544,2410725214,131.0,140.5,130.0,136.5,8.0,13463
105,2025-02-13,9783797,1337181745,139.5,141.5,133.0,136.0,-0.5,9353
106,2025-02-14,9455684,1275460193,137.5,140.5,130.5,133.0,-3.0,6666
107,2025-02-17,5264214,716072618,136.0,139.0,132.5,138.0,5.0,4531
108,2025-02-18,11568756,1686810280,137.0,151.5,136.0,151.5,13.5,7819
109,2025-02-19,13506039,2195214003,159.0,166.5,156.5,166.5,15.0,8162
110,2025-02-20,46891223,7951477053,173.0,176.0,162.0,166.5,0.0,31025
111,2025-02-21,28498130,4939659132,165.0,183.0,163.5,172.5,6.0,22159
112,2025-02-24,14179024,2429495434,170.0,178.5,165.5,167.5,-5.0,10829
113,2025-02-25,13765226,2296962392,166.0,171.5,162.5,165.0,-2.5,11496
114,2025-02-26,16346411,2708905805,165.0,173.5,158.0,163.0,-2.0,13556
115,2025-02-27,15985656,2466306477,163.0,164.5,147.0,152.5,-10.5,11112
116,2025-03-03,5650985,848310962,149.5,153.5,147.5,149.5,-3.0,4420
117,2025-03-04,7864249,1171418541,146.0,153.5,144.5,148.0,-1.5,5284
118,2025-03-05,9945755,1482833403,150.5,156.0,145.5,146.5,-1.5,6839
119,2025-03-06,6685326,955472393,146.5,148.5,139.5,141.5,-5.0,4837
120,2025-03-07,8735007,1224323495,141.0,147.5,136.5,139.0,-2.5,5807
121,2025-03-10,6196950,850651742,139.0,142.0,133.5,137.0,-2.0,4344
122,2025-03-11,15558621,2178611707,136.5,144.0,132.0,142.5,5.5,12542
123,2025-03-12,9382450,1341152614,142.5,147.0,140.0,142.0,-0.5,8209
124,2025-03-13,6714480,962316202,143.5,147.5,139.5,142.5,0.5,4992
125,2025-03-14,5708469,799575768,144.0,144.0,136.5,142.0,-0.5,4828
126,2025-03-17,4348557,622326109,142.0,146.5,140.5,142.0,0.0,4552
127,2025-03-18,7877313,1108537229,144.0,144.0,137.5,142.0,0.0,6147
128,2025-03-19,3161535,441587458,143.0,143.0,137.0,137.0,-5.0,2977
129,2025-03-20,5501376,779938790,139.5,144.0,139.0,141.5,4.5,4021
130,2025-03-21,3351573,465750319,142.0,142.5,137.0,137.0,-4.5,2838
131,2025-03-24,7134136,934749383,139.0,139.0,127.5,127.5,-9.5,5509
132,2025-03-25,4634011,612529082,130.5,135.0,129.5,131.0,3.5,3523
133,2025-03-26,2059719,269720749,131.0,132.5,129.0,131.5,0.5,2820
134,2025-03-27,1906680,242691636,130.0,130.0,126.0,126.0,-5.5,2014
