,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,36343903,6688191942,185.5,187.0,182.0,183.0,-1.5,26722
1,2024-09-03,52160276,9664621237,184.0,187.0,183.0,185.0,2.0,30186
2,2024-09-04,126923199,22545752187,175.0,181.0,172.0,179.5,-5.5,88719
3,2024-09-05,77629690,13796237402,180.0,181.0,175.0,175.0,-4.5,72711
4,2024-09-06,39222622,6922689688,175.5,178.0,175.0,176.5,1.5,28471
5,2024-09-09,68938987,11869037943,172.0,174.0,170.5,172.0,-4.5,63220
6,2024-09-10,92555358,15703874968,173.5,174.0,167.5,169.0,-3.0,78401
7,2024-09-11,29538055,5032175690,170.0,172.0,169.5,169.5,0.5,20075
8,2024-09-12,53142993,9359414247,174.5,177.5,174.0,177.5,8.0,39767
9,2024-09-13,37100441,6557941556,179.0,179.5,175.0,176.0,-1.5,27286
10,2024-09-16,54484267,9745444472,177.0,182.0,175.0,181.0,5.0,34487
11,2024-09-18,78892097,13867710200,179.0,179.5,173.5,174.0,-7.0,72219
12,2024-09-19,41818994,7338504656,174.5,176.5,173.0,176.5,2.5,24742
13,2024-09-20,82199775,14730717699,180.0,182.0,177.0,177.0,0.5,39913
14,2024-09-23,30951518,5552858366,178.0,180.5,177.5,180.0,3.0,26766
15,2024-09-24,57714716,10452057970,179.0,184.0,178.0,183.0,3.0,38239
16,2024-09-25,119878344,22641200780,186.5,191.0,186.0,188.5,5.5,81722
17,2024-09-26,66162758,12583833926,192.0,193.0,188.5,189.5,1.0,64179
18,2024-09-27,69739488,13370192685,192.0,194.0,190.0,191.0,1.5,57434
19,2024-09-30,64605410,12219149922,190.0,191.0,187.5,187.5,-3.5,76067
20,2024-10-01,36339680,6812209357,189.0,190.0,185.5,187.0,-0.5,33125
21,2024-10-04,118705879,22937372648,188.0,196.5,188.0,194.0,7.0,71996
22,2024-10-07,84399003,16617477858,199.0,199.0,195.0,197.5,3.5,83028
23,2024-10-08,56919495,11111098449,197.0,197.5,194.0,194.0,-3.5,41542
24,2024-10-09,84123315,16699561256,198.0,200.0,197.0,199.0,5.0,52273
25,2024-10-11,71856959,14407126388,200.0,202.0,199.0,200.0,1.0,61591
26,2024-10-14,36897701,7314343806,200.0,200.0,196.5,199.0,-1.0,30561
27,2024-10-15,129198222,26474993881,201.0,207.5,200.5,207.0,8.0,82815
28,2024-10-16,99708717,20478795445,204.0,207.5,203.5,205.0,-2.0,61667
29,2024-10-17,66198561,13716403160,207.5,209.0,204.0,208.5,3.5,42868
30,2024-10-18,107497437,22496182726,210.0,211.0,207.0,207.5,-1.0,63732
31,2024-10-21,59461934,12553871788,210.0,213.5,209.0,210.0,2.5,42327
32,2024-10-22,94132714,20135549269,211.0,216.0,209.0,215.5,5.5,63914
33,2024-10-23,51836095,11146585671,214.5,217.0,213.0,216.0,0.5,52331
34,2024-10-24,80712284,17138812263,215.0,215.5,210.0,211.5,-4.5,77588
35,2024-10-25,49896574,10691350004,212.5,216.0,212.0,216.0,4.5,35110
36,2024-10-28,96697162,21028802878,218.5,221.5,214.0,215.0,-1.0,65676
37,2024-10-29,87991240,18457446806,213.0,213.0,207.0,209.5,-5.5,91406
38,2024-10-30,68400059,14511199772,209.5,215.5,209.0,211.5,2.0,46335
39,2024-11-01,89610123,18433074201,202.0,208.5,201.5,208.0,-3.5,80888
40,2024-11-04,58094813,12294890607,209.0,214.0,208.0,214.0,6.0,39861
41,2024-11-05,43852449,9367062523,212.0,215.5,211.0,214.0,0.0,38403
42,2024-11-06,67838254,14573660427,215.0,217.0,212.5,213.5,-0.5,45706
43,2024-11-07,77417403,16779105487,212.0,219.0,212.0,217.0,3.5,53480
44,2024-11-08,54800994,11986609909,219.5,220.0,217.5,218.0,1.0,51977
45,2024-11-11,42180625,9234072034,219.5,220.0,217.5,220.0,2.0,31177
46,2024-11-12,69315077,14949730622,217.5,218.5,214.0,214.0,-6.0,57578
47,2024-11-13,55926693,11973365753,212.5,216.5,212.5,214.5,0.5,36731
48,2024-11-14,72322171,15335395727,215.0,215.5,209.0,211.5,-3.0,55336
49,2024-11-15,102463857,21409852373,212.0,214.5,206.0,207.0,-4.5,90848
50,2024-11-18,61852042,12613633700,205.0,208.0,202.0,202.5,-4.5,63316
51,2024-11-19,60416837,12275277231,203.5,205.0,201.0,203.5,1.0,45425
52,2024-11-20,44351353,9149397305,206.5,208.5,205.0,206.0,2.5,30182
53,2024-11-21,50295948,10213455556,205.0,205.0,202.0,202.5,-3.5,40002
54,2024-11-22,37504512,7668676032,205.5,207.0,203.0,203.0,0.5,27903
55,2024-11-25,80800240,16909706981,206.0,210.5,205.5,210.5,7.5,32913
56,2024-11-26,95313693,19363557785,207.0,207.0,202.0,202.5,-8.0,99867
57,2024-11-27,96019881,19063838432,200.5,201.0,196.5,196.5,-6.0,110119
58,2024-11-28,58511555,11432751066,196.0,199.0,193.0,195.5,-1.0,58622
59,2024-11-29,50800936,9954052225,193.5,199.0,192.5,195.5,0.0,37878
60,2024-12-02,47905269,9428699635,198.5,199.5,195.5,196.0,0.5,41679
61,2024-12-03,52170125,10312565933,198.5,200.0,196.5,196.5,0.5,47992
62,2024-12-04,50379504,10055268944,197.5,201.5,197.0,201.0,4.5,32459
63,2024-12-05,46475440,9319676695,203.0,203.5,199.0,199.0,-2.0,47064
64,2024-12-06,47526532,9465077239,199.5,201.5,197.5,198.0,-1.0,36972
65,2024-12-09,41114306,8084426101,198.5,199.0,195.0,195.0,-3.0,55012
66,2024-12-10,58994150,11375383210,193.0,195.0,192.0,192.0,-3.0,73633
67,2024-12-11,66246732,12596425979,190.0,194.0,189.0,189.0,-3.0,86964
68,2024-12-12,50634757,9624979364,190.5,193.0,188.5,188.5,-0.5,51432
69,2024-12-13,55417050,10371852143,188.5,189.5,185.5,186.5,-2.0,78777
70,2024-12-16,75228642,13834643194,188.0,189.5,181.5,182.0,-4.5,96744
71,2024-12-17,55667607,10220503792,181.0,186.0,181.0,183.0,1.0,47278
72,2024-12-18,47937386,8823563402,183.0,185.5,182.5,184.5,1.5,36056
73,2024-12-19,65029900,11756961039,181.0,182.0,179.0,181.0,-3.5,68455
74,2024-12-20,56744328,10296646083,181.0,184.0,180.0,181.0,0.0,33841
