,date,capacity,turnover,open,high,low,close,change,transaction
0,2024-09-02,555855,53371781,96.8,98.0,95.2,95.6,-2.4,683
1,2024-09-03,409701,38953928,95.6,97.0,93.6,93.9,-1.7,551
2,2024-09-04,705430,63072364,89.4,91.2,86.7,88.8,-5.1,836
3,2024-09-05,454960,40491717,90.0,91.8,87.0,87.5,-1.3,539
4,2024-09-06,300464,26419775,86.7,88.7,86.7,87.8,0.3,392
5,2024-09-09,241246,20764690,85.5,87.4,84.3,87.0,-0.8,339
6,2024-09-10,771080,70674770,91.0,94.4,88.7,89.4,2.4,867
7,2024-09-11,422309,37105667,89.4,89.5,87.0,87.4,-2.0,454
8,2024-09-12,364473,32693744,89.0,91.5,88.5,88.9,1.5,393
9,2024-09-13,245422,21800913,90.8,90.8,88.3,88.9,0.0,272
10,2024-09-16,247697,22257875,90.0,91.0,89.0,90.1,1.2,284
11,2024-09-18,361797,32465780,89.4,90.5,89.0,89.0,-1.1,362
12,2024-09-19,249023,22389199,90.2,90.5,89.2,90.4,1.4,313
13,2024-09-20,586211,53603330,91.6,92.3,90.5,90.7,0.3,605
14,2024-09-23,267655,24099566,91.7,91.7,89.5,89.7,-1.0,341
15,2024-09-24,329396,29921320,89.7,92.0,89.3,91.4,1.7,393
16,2024-09-25,355878,32774670,91.5,92.5,91.5,92.0,0.6,567
17,2024-09-26,333751,30421925,92.0,92.6,90.1,90.1,-1.9,825
18,2024-09-27,335770,30341131,90.1,91.4,89.6,89.6,-0.5,400
19,2024-09-30,267347,23822782,89.0,90.1,88.6,89.2,-0.4,307
20,2024-10-01,803155,73504535,88.9,94.4,88.0,92.0,2.8,902
21,2024-10-04,411907,37090149,91.9,92.0,89.2,89.3,-2.7,492
22,2024-10-07,959073,89566437,90.3,95.6,88.3,93.5,4.2,920
23,2024-10-08,1162248,110806255,95.5,96.9,94.1,95.8,2.3,1370
24,2024-10-09,830589,76210389,93.0,93.8,90.1,90.9,-4.9,1458
25,2024-10-11,383869,34673246,92.5,92.5,89.4,89.4,-1.5,452
26,2024-10-14,356306,31775916,92.0,92.0,88.3,89.1,-0.3,489
27,2024-10-15,264287,23477185,89.9,90.2,88.4,88.6,-0.5,376
28,2024-10-16,521994,45648734,89.0,89.7,86.2,86.8,-1.8,499
29,2024-10-17,278070,24076924,85.2,87.2,85.2,87.0,0.2,351
30,2024-10-18,257844,22366271,87.0,87.8,86.0,86.2,-0.8,352
31,2024-10-21,235000,20453617,86.2,88.2,86.0,88.2,2.0,319
32,2024-10-22,188528,16539878,88.2,88.2,86.7,87.8,-0.4,263
33,2024-10-23,275249,24357737,88.4,89.1,88.0,88.5,0.7,344
34,2024-10-24,219298,19083024,88.0,88.3,86.5,86.5,-2.0,291
35,2024-10-25,172527,14842126,85.3,86.9,85.3,85.8,-0.7,284
36,2024-10-28,250289,21220100,86.8,86.8,84.2,84.5,-1.3,336
37,2024-10-29,407675,35195424,84.5,88.0,84.5,86.8,2.3,485
38,2024-10-30,723919,64829315,88.5,91.1,88.2,88.6,1.8,788
39,2024-11-01,806783,66277400,79.9,84.0,79.8,83.5,-5.1,968
40,2024-11-04,2222806,169227365,80.2,80.5,75.2,75.4,-8.1,2429
41,2024-11-05,864824,63852172,75.2,75.3,72.3,74.3,-1.1,993
42,2024-11-06,1852350,143112878,73.3,81.0,72.1,80.8,6.5,2415
43,2024-11-07,2339196,200497439,85.0,87.9,83.3,83.6,2.8,2389
44,2024-11-08,1199465,95644875,82.6,82.6,78.0,78.0,-5.6,1339
45,2024-11-11,683629,54235430,79.0,81.2,78.0,78.1,0.1,668
46,2024-11-12,810708,60926576,78.9,79.0,74.0,74.4,-3.7,950
47,2024-11-13,383300,28139017,74.4,74.6,73.0,73.3,-1.1,475
48,2024-11-14,1033593,72247879,73.4,73.9,68.7,69.2,-4.1,1173
49,2024-11-15,849816,57954565,69.0,70.0,67.3,68.3,-0.9,846
50,2024-11-18,473378,32150305,67.7,69.1,67.1,67.5,-0.8,473
51,2024-11-19,1235110,90863157,74.2,74.2,71.7,74.2,6.7,1178
52,2024-11-20,1518956,115146606,75.9,78.5,74.2,74.5,0.3,1325
53,2024-11-21,615088,44586390,74.5,74.5,71.5,72.5,-2.0,696
54,2024-11-22,506967,36666635,74.2,74.2,71.1,71.1,-1.4,580
55,2024-11-25,254044,18458172,71.2,73.4,71.2,72.3,1.2,308
56,2024-11-26,189554,13713201,72.9,73.3,71.8,72.0,-0.3,212
57,2024-11-27,382189,26945134,72.9,72.9,69.5,69.5,-2.5,399
58,2024-11-28,245560,17236081,70.0,71.4,69.5,69.7,0.2,296
59,2024-11-29,239274,16878079,70.8,71.8,69.5,70.3,0.6,270
60,2024-12-02,285312,19877319,71.0,71.0,69.2,69.2,-1.1,296
61,2024-12-03,1540676,115659658,73.0,76.1,73.0,76.1,6.9,1389
62,2024-12-04,2449831,192538382,76.1,83.4,74.4,82.0,5.9,2277
63,2024-12-05,1532172,125545056,82.0,85.0,80.5,81.3,-0.7,2007
64,2024-12-06,839004,66899222,81.3,81.6,78.5,78.9,-2.4,935
65,2024-12-09,836612,67369192,81.3,82.2,79.0,80.1,1.2,726
66,2024-12-10,544462,42073987,79.5,79.5,76.1,76.2,-3.9,702
67,2024-12-11,399146,29747663,74.8,75.6,73.6,74.1,-2.1,457
68,2024-12-12,265562,19643852,75.5,75.7,73.1,73.3,-0.8,402
69,2024-12-13,296198,21531881,73.4,73.8,72.1,72.1,-1.2,333
70,2024-12-16,437421,31208834,72.1,73.5,69.5,70.9,-1.2,388
